證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2618,長榮航          ,"75,301,046","13,442,621","61,858,425",0,0,0,"748,256","12,919,000","-12,170,744","-6,494,863","344,000","7,722,000","-7,378,000","1,424,110","540,973","883,137","43,192,818"
00632R,元大台灣50反1   ,"5,833,000","8,148,000","-2,315,000",0,0,0,0,0,0,"39,140,687","2,920,000","2,422,000","498,000","69,201,407","30,558,720","38,642,687","36,825,687"
00919,群益台灣精選高息,"40,393,311","9,398,600","30,994,711",0,0,0,0,0,0,"4,185,147","305,000",0,"305,000","8,323,621","4,443,474","3,880,147","35,179,858"
00665L,富邦恒生國企正2 ,"5,047,000","2,489,000","2,558,000",0,0,0,0,0,0,"26,299,645",0,0,0,"31,373,565","5,073,920","26,299,645","28,857,645"
2892,第一金          ,"26,087,144","4,804,617","21,282,527",0,0,0,"124,378",0,"124,378","192,880","251,000","109,000","142,000","283,880","233,000","50,880","21,599,785"
00712,復華富時不動產  ,"6,690,000","265,000","6,425,000",0,0,0,0,0,0,"11,347,199",0,0,0,"13,412,999","2,065,800","11,347,199","17,772,199"
2353,宏碁            ,"31,372,546","15,272,000","16,100,546",0,0,0,"96,176","617,000","-520,824","370,019","109,000","246,000","-137,000","657,360","150,341","507,019","15,949,741"
2887,台新新光金      ,"39,530,942","34,577,320","4,953,622",0,0,0,"10,636,728",0,"10,636,728","356,801","128,000","125,000","3,000","1,052,687","698,886","353,801","15,947,151"
2303,聯電            ,"49,869,583","26,793,449","23,076,134",0,0,0,"2,387,589","459,000","1,928,589","-9,543,451","1,012,990","7,658,989","-6,645,999","423,103","3,320,555","-2,897,452","15,461,272"
2884,玉山金          ,"30,363,980","16,382,370","13,981,610",0,0,0,"350,123",0,"350,123","834,706","110,000","168,101","-58,101","1,103,807","211,000","892,807","15,166,439"
2890,永豐金          ,"25,587,885","11,473,921","14,113,964",0,0,0,"848,541","187,000","661,541","242,563","251,000","99,000","152,000","517,127","426,564","90,563","15,018,068"
3481,群創            ,"114,058,546","100,551,011","13,507,535",0,0,0,"162,658","649,000","-486,342","1,957,608","5,494,000","3,945,020","1,548,980","2,383,848","1,975,220","408,628","14,978,801"
2883,凱基金          ,"40,764,894","27,687,235","13,077,659",0,0,0,"467,918","114,000","353,918","880,572","388,000","166,000","222,000","1,238,389","579,817","658,572","14,312,149"
5880,合庫金          ,"19,734,992","5,960,124","13,774,868",0,0,0,"131,655",0,"131,655","-88,028","56,000","83,000","-27,000","134,972","196,000","-61,028","13,818,495"
2886,兆豐金          ,"15,021,030","6,221,737","8,799,293",0,0,0,"3,498,049",0,"3,498,049","751,443","253,000","123,000","130,000","822,808","201,365","621,443","13,048,785"
2867,三商壽          ,"14,995,000","2,583,090","12,411,910",0,0,0,0,0,0,"-15,000","338,000","353,000","-15,000",0,0,0,"12,396,910"
00753L,中信中國50正2   ,"7,488,000","1,593,000","5,895,000",0,0,0,0,0,0,"4,903,801",0,0,0,"7,211,744","2,307,943","4,903,801","10,798,801"
2603,長榮            ,"11,822,950","2,620,769","9,202,181",0,0,0,"76,974","5,000","71,974","225,126","8,000","40,346","-32,346","357,144","99,672","257,472","9,499,281"
2889,國票金          ,"13,727,278","5,507,000","8,220,278",0,0,0,0,0,0,"72,000","109,000","20,000","89,000",0,"17,000","-17,000","8,292,278"
2377,微星            ,"13,721,611","6,059,502","7,662,109",0,0,0,"30,000",0,"30,000","409,550","245,000","85,000","160,000","357,233","107,683","249,550","8,101,659"
03142T,力積電中信5B售03,0,0,0,0,0,0,0,0,0,"7,332,000",0,0,0,"8,292,000","960,000","7,332,000","7,332,000"
00918,大華優利高填息30,"3,272,320","1,248,500","2,023,820",0,0,0,0,0,0,"5,220,033",0,0,0,"9,588,702","4,368,669","5,220,033","7,243,853"
00637L,元大滬深300正2  ,"3,641,000","896,000","2,745,000",0,0,0,0,0,0,"4,494,864",0,0,0,"12,802,932","8,308,068","4,494,864","7,239,864"
2880,華南金          ,"10,992,373","4,811,130","6,181,243",0,0,0,"140,164",0,"140,164","723,446","252,000","115,000","137,000","826,446","240,000","586,446","7,044,853"
1216,統一            ,"13,859,967","8,409,937","5,450,030",0,0,0,"117,526",0,"117,526","270,077","24,000","33,000","-9,000","392,077","113,000","279,077","5,837,633"
1718,中纖            ,"4,563,499","607,662","3,955,837",0,0,0,0,0,0,"1,852,000","335,000","160,000","175,000","1,774,000","97,000","1,677,000","5,807,837"
6116,彩晶            ,"18,391,456","12,431,400","5,960,056",0,0,0,0,0,0,"-363,635","37,000","78,000","-41,000","125,861","448,496","-322,635","5,596,421"
00650L,復華香港正2     ,"2,084,000","233,000","1,851,000",0,0,0,0,0,0,"3,465,781",0,0,0,"4,843,622","1,377,841","3,465,781","5,316,781"
00878,國泰永續高股息  ,"3,646,770","4,313,600","-666,830",0,0,0,0,0,0,"5,971,801",0,0,0,"12,113,599","6,141,798","5,971,801","5,304,971"
00940,元大台灣價值高息,"1,696,000","6,134,000","-4,438,000",0,0,0,0,0,0,"9,362,611",0,0,0,"12,066,120","2,703,509","9,362,611","4,924,611"
3026,禾伸堂          ,"6,296,702","4,605,896","1,690,806",0,0,0,"2,813,000",0,"2,813,000","-104,246","77,000","211,170","-134,170","325,974","296,050","29,924","4,399,560"
6282,康舒            ,"9,418,526","6,075,100","3,343,426",0,0,0,"600,000",0,"600,000","380,783","335,000","408,000","-73,000","578,341","124,558","453,783","4,324,209"
061605,奇鋐統一66購01  ,0,0,0,0,0,0,0,0,0,"4,319,000",0,0,0,"4,649,000","330,000","4,319,000","4,319,000"
071469,國企2X元大61購01,0,0,0,0,0,0,0,0,0,"4,252,000",0,0,0,"4,290,000","38,000","4,252,000","4,252,000"
2324,仁寶            ,"13,767,735","9,483,610","4,284,125",0,0,0,"80,072",0,"80,072","-186,996","17,000","23,000","-6,000","313,116","494,112","-180,996","4,177,201"
072932,日月光元大5C購15,0,0,0,0,0,0,0,0,0,"3,854,000",0,0,0,"4,199,000","345,000","3,854,000","3,854,000"
070374,T50反1凱基5C購05,0,0,0,0,0,0,0,0,0,"3,789,000",0,0,0,"3,810,000","21,000","3,789,000","3,789,000"
9105,泰金寶-DR       ,"11,218,300","7,268,000","3,950,300",0,0,0,0,0,0,"-164,309","9,000","9,342",-342,"13,616","177,583","-163,967","3,785,991"
03113T,南亞科台新5A售08,0,0,0,0,0,0,0,0,0,"3,779,000",0,0,0,"4,496,000","717,000","3,779,000","3,779,000"
2610,華航            ,"27,594,430","23,869,000","3,725,430",0,0,0,"98,000",0,"98,000","-72,230","67,000","124,000","-57,000","283,000","298,230","-15,230","3,751,200"
2615,萬海            ,"4,917,676","1,604,591","3,313,085",0,0,0,"21,125",0,"21,125","124,646","11,000","15,000","-4,000","136,466","7,820","128,646","3,458,856"
073245,金像電元大5C購04,0,0,0,0,0,0,0,0,0,"3,316,000",0,0,0,"3,803,000","487,000","3,316,000","3,316,000"
3035,智原            ,"4,986,058","2,081,308","2,904,750",0,0,0,"1,200",0,"1,200","359,182","59,000","23,000","36,000","378,921","55,739","323,182","3,265,132"
2357,華碩            ,"3,983,368","893,020","3,090,348",0,0,0,"68,706","2,000","66,706","64,181","56,000","21,000","35,000","59,858","30,677","29,181","3,221,235"
1909,榮成            ,"7,589,136","4,441,320","3,147,816",0,0,0,0,0,0,"43,806","124,000","80,194","43,806",0,0,0,"3,191,622"
6505,台塑化          ,"6,911,461","3,847,984","3,063,477",0,0,0,"3,141",0,"3,141","104,625","38,000","52,000","-14,000","206,675","88,050","118,625","3,171,243"
2881,富邦金          ,"19,706,778","16,021,473","3,685,305",0,0,0,"426,098","364,000","62,098","-627,651","72,000","570,000","-498,000","190,084","319,735","-129,651","3,119,752"
2834,臺企銀          ,"16,020,474","12,854,000","3,166,474",0,0,0,"70,000",0,"70,000","-230,000","41,000","55,000","-14,000","24,000","240,000","-216,000","3,006,474"
2609,陽明            ,"7,767,732","5,035,115","2,732,617",0,0,0,"98,481",0,"98,481","91,192","24,000","24,873",-873,"127,120","35,055","92,065","2,922,290"
074395,貿聯台新61購04  ,0,0,0,0,0,0,0,0,0,"2,907,000",0,0,0,"3,020,000","113,000","2,907,000","2,907,000"
00715L,期街口布蘭特正2 ,"2,564,500","1,207,000","1,357,500",0,0,0,0,0,0,"1,538,323",0,0,0,"5,002,067","3,463,744","1,538,323","2,895,823"
072687,超豐元大63購01  ,0,0,0,0,0,0,0,0,0,"2,888,000",0,0,0,"3,465,000","577,000","2,888,000","2,888,000"
069145,惠特元大63購01  ,0,0,0,0,0,0,0,0,0,"2,862,000",0,0,0,"3,570,000","708,000","2,862,000","2,862,000"
00664R,國泰臺灣加權反1 ,"146,000","146,000",0,0,0,0,0,0,0,"2,837,237",0,0,0,"11,799,000","8,961,763","2,837,237","2,837,237"
2601,益航            ,"5,281,100","2,519,098","2,762,002",0,0,0,0,0,0,"48,510","54,510","6,000","48,510",0,0,0,"2,810,512"
2478,大毅            ,"4,779,318","2,026,017","2,753,301",0,0,0,"10,000",0,"10,000","-20,481","12,000","16,175","-4,175","19,538","35,844","-16,306","2,742,820"
070246,華邦電凱基5C購05,"2,000",0,"2,000",0,0,0,0,0,0,"2,714,000",0,0,0,"3,061,000","347,000","2,714,000","2,716,000"
071533,永光統一66購01  ,0,0,0,0,0,0,0,0,0,"2,686,000",0,0,0,"2,700,000","14,000","2,686,000","2,686,000"
071268,晶豪科元大66購02,0,0,0,0,0,0,0,0,0,"2,592,000",0,0,0,"2,630,000","38,000","2,592,000","2,592,000"
6901,鑽石投資        ,"2,770,000","239,000","2,531,000",0,0,0,0,0,0,"7,028","381,028","374,000","7,028",0,0,0,"2,538,028"
00881,國泰台灣科技龍頭,"4,586,180","2,017,000","2,569,180",0,0,0,0,0,0,"-76,043","53,000",0,"53,000","5,789,165","5,918,208","-129,043","2,493,137"
3605,宏致            ,"6,181,685","3,990,000","2,191,685",0,0,0,0,0,0,"255,687","36,000","25,000","11,000","284,568","39,881","244,687","2,447,372"
064951,鉅祥元大5A購03  ,0,0,0,0,0,0,0,0,0,"2,416,000",0,0,0,"3,970,000","1,554,000","2,416,000","2,416,000"
066453,世芯凱基63購01  ,0,0,0,0,0,0,0,0,0,"2,337,000",0,0,0,"2,412,000","75,000","2,337,000","2,337,000"
2385,群光            ,"2,993,470","738,425","2,255,045",0,0,0,"35,229","4,000","31,229","37,175","4,000","3,825",175,"44,000","7,000","37,000","2,323,449"
00939,統一台灣高息動能,"445,030","424,000","21,030",0,0,0,0,0,0,"2,239,908",0,0,0,"3,700,667","1,460,759","2,239,908","2,260,938"
00900,富邦特選高股息30,"537,005","844,000","-306,995",0,0,0,0,0,0,"2,425,927",0,0,0,"3,420,797","994,870","2,425,927","2,118,932"
3022,威強電          ,"3,471,516","1,545,300","1,926,216",0,0,0,0,0,0,"149,632","13,049","11,570","1,479","155,829","7,676","148,153","2,075,848"
5521,工信            ,"3,964,000","1,919,000","2,045,000",0,0,0,0,0,0,"-4,000","9,000","13,000","-4,000",0,0,0,"2,041,000"
2367,燿華            ,"4,459,074","2,451,050","2,008,024",0,0,0,0,0,0,"-5,736","98,000","76,000","22,000","96,394","124,130","-27,736","2,002,288"
03478T,臺股指凱基66售01,0,0,0,0,0,0,0,0,0,"2,002,000",0,0,0,"2,392,000","390,000","2,002,000","2,002,000"
2105,正新            ,"4,260,453","2,568,000","1,692,453",0,0,0,"123,000","11,000","112,000","165,394","13,000","36,000","-23,000","196,450","8,056","188,394","1,969,847"
3189,景碩            ,"3,511,756","1,252,256","2,259,500",0,0,0,"1,191",0,"1,191","-302,596","21,000","294,999","-273,999","36,403","65,000","-28,597","1,958,095"
