證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00712,復華富時不動產  ,"41,338,000","3,000","41,335,000",0,0,0,0,0,0,"12,517,394",0,0,0,"19,664,194","7,146,800","12,517,394","53,852,394"
2883,凱基金          ,"65,911,335","39,934,599","25,976,736",0,0,0,"80,099","3,179,202","-3,099,103","2,956,606","171,000","154,775","16,225","3,032,450","92,069","2,940,381","25,834,239"
2887,台新新光金      ,"62,781,474","33,146,071","29,635,403",0,0,0,"35,515","7,071,000","-7,035,485","1,645,999","68,000","400,960","-332,960","2,445,991","467,032","1,978,959","24,245,917"
2618,長榮航          ,"34,899,779","20,074,108","14,825,671",0,0,0,"6,393,203","73,011","6,320,192","-455,600","1,128,000","472,000","656,000","929,299","2,040,899","-1,111,600","20,690,263"
2892,第一金          ,"25,147,232","13,001,158","12,146,074",0,0,0,"8,694,185","998,000","7,696,185","147,916","89,000","162,000","-73,000","257,916","37,000","220,916","19,990,175"
00919,群益台灣精選高息,"17,028,597","11,900,676","5,127,921",0,0,0,0,0,0,"9,913,083","403,000",0,"403,000","16,055,713","6,545,630","9,510,083","15,041,004"
2834,臺企銀          ,"20,695,015","6,086,687","14,608,328",0,0,0,"2,000","18,371","-16,371","47,000","27,000","2,000","25,000","31,000","9,000","22,000","14,638,957"
2882,國泰金          ,"35,148,166","18,106,151","17,042,015",0,0,0,"151,979","3,428,286","-3,276,307","126,904","43,000","82,000","-39,000","571,048","405,144","165,904","13,892,612"
00953B,群益優選非投等債,"8,171,500","520,000","7,651,500",0,0,0,0,0,0,"6,021,800",0,0,0,"7,521,000","1,499,200","6,021,800","13,673,300"
2886,兆豐金          ,"15,448,286","19,847,361","-4,399,075",0,0,0,"15,044,505","27,723","15,016,782","2,252,796","111,000","150,000","-39,000","2,294,796","3,000","2,291,796","12,870,503"
2890,永豐金          ,"35,129,703","26,796,266","8,333,437",0,0,0,"2,674,941","251,687","2,423,254","2,003,991","68,000","29,000","39,000","2,184,150","219,159","1,964,991","12,760,682"
2884,玉山金          ,"39,208,305","24,684,203","14,524,102",0,0,0,"516,806","3,887,346","-3,370,540","1,284,323","12,000","802,000","-790,000","2,298,951","224,628","2,074,323","12,437,885"
1314,中石化          ,"64,535,050","54,963,023","9,572,027",0,0,0,0,0,0,"296,432","1,113,000","806,568","306,432",0,"10,000","-10,000","9,868,459"
2885,元大金          ,"26,920,860","20,582,979","6,337,881",0,0,0,"1,742,838","112,748","1,630,090","1,453,766","40,000","14,000","26,000","1,486,254","58,488","1,427,766","9,421,737"
1718,中纖            ,"6,917,130","2,229,000","4,688,130",0,0,0,0,0,0,"4,715,000","520,000","220,000","300,000","4,415,000",0,"4,415,000","9,403,130"
5880,合庫金          ,"11,871,206","4,414,822","7,456,384",0,0,0,"11,000","23,427","-12,427","400,430","45,000",0,"45,000","355,430",0,"355,430","7,844,387"
00673R,期元大S&P原油反1,"123,000","274,000","-151,000",0,0,0,0,0,0,"7,889,538",0,0,0,"8,095,554","206,016","7,889,538","7,738,538"
2634,漢翔            ,"12,381,540","4,434,250","7,947,290",0,0,0,"17,000",0,"17,000","-269,615","181,000","189,000","-8,000","147,868","409,483","-261,615","7,694,675"
8112,至上            ,"8,706,336","4,466,350","4,239,986",0,0,0,"2,972,000","36,000","2,936,000","436,137","70,000","107,000","-37,000","597,939","124,802","473,137","7,612,123"
6770,力積電          ,"61,964,525","51,984,796","9,979,729",0,0,0,"5,000","19,000","-14,000","-2,823,747","1,206,000","2,977,000","-1,771,000","649,582","1,702,329","-1,052,747","7,141,982"
2458,義隆            ,"9,188,950","3,866,348","5,322,602",0,0,0,"1,618,000","11,188","1,606,812","193,618","142,000","78,000","64,000","272,940","143,322","129,618","7,123,032"
3042,晶技            ,"17,461,032","9,002,982","8,458,050",0,0,0,"134,000","1,000","133,000","-1,576,940","75,000","1,151,000","-1,076,000","96,804","597,744","-500,940","7,014,110"
2812,台中銀          ,"9,824,979","2,597,000","7,227,979",0,0,0,"17,000","17,517",-517,"-317,000","17,000",0,"17,000","24,000","358,000","-334,000","6,910,462"
2801,彰銀            ,"10,959,975","5,002,409","5,957,566",0,0,0,"1,000","41,829","-40,829","96,000","32,000",0,"32,000","65,000","1,000","64,000","6,012,737"
1409,新纖            ,"46,796,460","40,898,550","5,897,910",0,0,0,"57,000","5,000","52,000",647,"198,000","197,000","1,000","499,567","499,920",-353,"5,950,557"
2105,正新            ,"8,742,069","3,969,750","4,772,319",0,0,0,"160,000","51,430","108,570","655,442","10,000","14,000","-4,000","668,656","9,214","659,442","5,536,331"
2880,華南金          ,"13,308,767","10,475,954","2,832,813",0,0,0,"6,000",0,"6,000","2,643,855","88,000","232,000","-144,000","2,810,855","23,000","2,787,855","5,482,668"
00665L,富邦恒生國企正2 ,"4,763,000","4,252,000","511,000",0,0,0,0,0,0,"4,863,735",0,0,0,"11,510,694","6,646,959","4,863,735","5,374,735"
00632R,元大台灣50反1   ,"5,447,000","6,486,000","-1,039,000",0,0,0,0,0,0,"6,210,449","3,807,000","1,397,000","2,410,000","42,798,766","38,998,317","3,800,449","5,171,449"
1609,大亞            ,"16,636,485","10,870,270","5,766,215",0,0,0,0,0,0,"-614,216","67,000","405,335","-338,335","271,381","547,262","-275,881","5,151,999"
2867,三商壽          ,"7,362,000","4,691,000","2,671,000",0,0,0,0,0,0,"2,445,000","2,448,000","3,000","2,445,000",0,0,0,"5,116,000"
071678,緯穎台新5C購10  ,0,0,0,0,0,0,0,0,0,"4,984,000",0,0,0,"4,995,000","11,000","4,984,000","4,984,000"
2889,國票金          ,"5,685,902","758,134","4,927,768",0,0,0,0,0,0,"44,000","48,000","4,000","44,000",0,0,0,"4,971,768"
071679,緯穎台新5C購11  ,0,0,0,0,0,0,0,0,0,"4,970,000",0,0,0,"5,053,000","83,000","4,970,000","4,970,000"
00918,大華優利高填息30,"2,619,750","1,402,031","1,217,719",0,0,0,0,0,0,"3,614,998",0,0,0,"7,026,212","3,411,214","3,614,998","4,832,717"
00402A,主動安聯美國科技,"31,000","184,000","-153,000",0,0,0,0,0,0,"4,985,148",0,0,0,"4,996,000","10,852","4,985,148","4,832,148"
2484,希華            ,"22,636,500","17,698,780","4,937,720",0,0,0,0,0,0,"-110,000","45,000","157,000","-112,000","2,000",0,"2,000","4,827,720"
2327,國巨*           ,"28,707,025","21,421,000","7,286,025",0,0,0,"38,613","628,000","-589,387","-2,085,827","548,100","1,985,200","-1,437,100","815,364","1,464,091","-648,727","4,610,811"
5876,上海商銀        ,"8,043,300","5,542,730","2,500,570",0,0,0,"605,000","18,000","587,000","1,285,000","535,000",0,"535,000","779,000","29,000","750,000","4,372,570"
