編號,公布日期,證券代號,證券名稱,累計,處置條件,處置起迄時間,處置措施,處置內容,備註
1,115/07/02,059570,強茂凱基5B購03,1,連續三次,115/07/03～115/07/16,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年七月三日起至一百十五年七月十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260602&endDate=20260702&stockNo=059570' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=059570' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
2,115/07/06,066762,國巨永豐65購01,1,連續三次,115/07/07～115/07/20,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年七月七日起至一百十五年七月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260606&endDate=20260706&stockNo=066762' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=066762' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
3,115/06/26,085788,T50反1中信5C購01,1,連續三次,115/06/29～115/07/10,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年六月二十九日起至一百十五年七月十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260526&endDate=20260626&stockNo=085788' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=085788' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
4,115/06/23,1303,南亞,1,連續三次,115/06/24～115/07/07,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年六月二十四日起至一百十五年七月七日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260523&endDate=20260623&stockNo=1303' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1303' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
5,115/07/02,1435,中福,2,連續三次,115/07/03～115/07/16,第二次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年七月三日起至一百十五年七月十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260602&endDate=20260702&stockNo=1435' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1435' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
5,115/06/29,1435,中福,2,連續三次,115/06/30～115/07/13,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年六月三十日起至一百十五年七月十三日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260529&endDate=20260629&stockNo=1435' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1435' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
6,115/07/03,1447,力鵬,1,連續三次,115/07/06～115/07/17,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年七月六日起至一百十五年七月十七日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260603&endDate=20260703&stockNo=1447' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1447' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
7,115/07/06,1515,力山,1,連續三次,115/07/07～115/07/20,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年七月七日起至一百十五年七月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260606&endDate=20260706&stockNo=1515' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1515' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
8,115/07/03,1617,榮星,1,連續三次,115/07/06～115/07/17,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年七月六日起至一百十五年七月十七日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260603&endDate=20260703&stockNo=1617' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1617' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
9,115/07/06,1718,中纖,1,連續三次,115/07/07～115/07/20,第二次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年七月七日起至一百十五年七月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260606&endDate=20260706&stockNo=1718' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1718' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
