編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,050328,華固凱基56購01,1,最近六個營業日累積收盤價漲幅達32.54%﹝第一款﹞。,115.05.22,12.50,-----
2,058462,汎銓元大59購05,1,最近六個營業日累積收盤價漲幅達55.13%﹝第一款﹞。,115.05.22,16.10,-----
3,058498,汎銓國票5A購01,1,最近六個營業日累積收盤價跌幅達38.10%﹝第一款﹞。,115.05.22,13.70,-----
4,1727,中華化,1,最近六個營業日累積收盤價漲幅達26.33%。且05月22日之週轉率為11.80%﹝第四款﹞。,115.05.22,102.00,275.68
5,2313,華通,1,最近九十個營業日起迄兩個營業日之收盤價漲幅達193.86% ﹝第二款﹞。05月21日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.68%，且05月21日當日沖銷成交量占該日總成交量比率68.55%<font color='#FF0000'>﹝第十三款﹞</font>。,115.05.22,278.00,49.03
6,2327,國巨*,1,最近六個營業日累積收盤價漲幅達32.37%。且六個營業日起迄兩個營業日收盤價價差達173.50元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達120.70% ﹝第二款﹞。六個營業日起迄兩個營業日收盤價價差達173.50元且當日收盤價為最近六個營業日收盤價最高者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.22,629.00,49.53
7,2337,旺宏,1,最近九十個營業日起迄兩個營業日之收盤價漲幅達244.86% ﹝第二款﹞。,115.05.22,149.50,-----
8,2375,凱美,1,最近六個營業日累積收盤價漲幅達30.09%。且05月22日之成交量為最近六十個營業日日平均成交量之5.92倍﹝第三款﹞。且05月22日之週轉率為26.09%﹝第四款﹞。,115.05.22,134.50,40.88
9,2404,漢唐,1,六個營業日起迄兩個營業日收盤價價差達155.00元且當日收盤價為最近六個營業日收盤價最高者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.22,1155.00,21.47
10,2424,隴華,1,最近六個營業日累積收盤價跌幅達45.29%﹝第一款﹞。,115.05.22,14.60,-----
11,2455,全新,1,05月22日之本益比為 134.07，且股價淨值比為21.43 。另當日週轉率為 8.63%，暨元大證券商成交賣出金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為28.05%。單一投資人當日買進該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.05.22,425.00,134.07
12,2478,大毅,1,最近六個營業日累積收盤價漲幅達45.95%﹝第一款﹞。,115.05.22,127.50,34.37
13,2484,希華,1,最近六個營業日累積收盤價漲幅達26.68%。且05月22日之週轉率為21.64%﹝第四款﹞。且05月22日元大證券商買進之比率為37.15%﹝第五款﹞。,115.05.22,49.30,66.62
14,2485,兆赫,1,最近九十個營業日起迄兩個營業日之收盤價漲幅達185.71% ﹝第二款﹞。最近六個營業日之累積週轉率為94.43%。且05月22日之週轉率為11.61%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.22,73.00,1825.00
15,2492,華新科,1,最近六個營業日累積收盤價漲幅達30.23%。且六個營業日起迄兩個營業日收盤價價差達86.50 元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達127.62% ﹝第二款﹞。,115.05.22,292.50,56.03
16,2911,麗嬰房,1,最近六個營業日累積收盤價漲幅達57.24%﹝第一款﹞。,115.05.22,8.69,2.26
17,3026,禾伸堂,1,最近六個營業日累積收盤價漲幅達30.79%。且六個營業日起迄兩個營業日收盤價價差達149.50元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達145.61% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達303.81% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達349.52% ﹝第二款﹞。六個營業日起迄兩個營業日收盤價價差達149.50元且當日收盤價為最近六個營業日收盤價最高者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.22,476.50,61.40
18,3037,欣興,1,六個營業日起迄兩個營業日收盤價價差達149.00元且當日收盤價為最近六個營業日收盤價最高者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.22,970.00,142.65
19,3048,益登,1,最近六個營業日累積收盤價漲幅達39.78%﹝第一款﹞。,115.05.22,74.50,26.80
20,3090,日電貿,1,最近六個營業日累積收盤價漲幅達52.99%。且六個營業日起迄兩個營業日收盤價價差達73.00 元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達115.00% ﹝第二款﹞。,115.05.22,215.00,44.79
21,3149,正達,1,最近六個營業日之累積週轉率為84.61%。且05月22日之週轉率為16.02%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.22,59.10,-----
22,3167,大量,1,05月22日之本益比為80.99，且股價淨值比為20.55 。另當日週轉率為 6.91%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.05.22,831.00,80.99
23,4722,國精化,1,05月22日之本益比為 169.53，且股價淨值比為9.38。另當日週轉率為 6.73%，單一投資人當日賣出該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.05.22,286.50,169.53
24,4916,事欣科,1,最近六個營業日累積收盤價漲幅達40.31%﹝第一款﹞。且05月22日之成交量為最近六十個營業日日平均成交量之6.38倍﹝第三款﹞。且05月22日之週轉率為40.70%﹝第四款﹞。,115.05.22,98.30,17.52
25,4989,榮科,1,最近六個營業日之累積週轉率為50.53%。且05月22日之週轉率為12.84%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.22,99.40,-----
26,6742,澤米,1,最近六個營業日累積收盤價漲幅達38.62%﹝第一款﹞。且05月22日之成交量為最近六十個營業日日平均成交量之9.86倍﹝第三款﹞。且05月22日之週轉率為14.44%﹝第四款﹞。,115.05.22,61.50,-----
27,6806,森崴能源,1,最近六個營業日累積收盤價跌幅達59.23%﹝第一款﹞。,115.05.22,9.27,-----
28,6834,天二科技,1,最近六個營業日累積收盤價漲幅達39.30%﹝第一款﹞。且05月22日之成交量為最近六十個營業日日平均成交量之6.69倍﹝第三款﹞。且05月22日之週轉率為13.89%﹝第四款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達110.44% ﹝第二款﹞。,115.05.22,70.50,115.57
29,6924,榮惠-KY創,1,最近六個營業日累積收盤價漲幅達35.38%﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達159.63% ﹝第二款﹞。,115.05.22,168.50,25.26
30,7610,聯友金屬-創,1,最近六個營業日累積收盤價漲幅達37.87%。且六個營業日起迄兩個營業日收盤價價差達302.00元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達151.25% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達338.59% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達750.34% ﹝第二款﹞。,115.05.22,1250.00,77.40
31,7730,暉盛-創,1,最近六十個營業日起迄兩個營業日之收盤價漲幅達132.08% ﹝第二款﹞。,115.05.22,230.00,119.17
32,7769,鴻勁,1,六個營業日起迄兩個營業日收盤價價差達835.00元且當日收盤價為最近六個營業日收盤價最高者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.22,7730.00,96.46
33,8046,南電,1,六個營業日起迄兩個營業日收盤價價差達148.00元且當日收盤價為最近六個營業日收盤價最高者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.22,934.00,197.88
34,8261,富鼎,1,最近六個營業日之累積週轉率為77.12%。且05月22日之週轉率為13.70%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.22,160.00,27.40
35,9103,美德醫療-DR,1,公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價55.76 % 且當日收盤價為最近六個營業日收盤價最高者﹝第八款﹞。,115.05.22,5.20,-----
