編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,055810,訊芯凱基5A購01,1,最近六個營業日累積收盤價跌幅達32.14%﹝第一款﹞。,115.07.08,22.00,-----
2,2426,鼎元,1,07月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.95%，且07月07日當日沖銷成交量占該日總成交量比率70.46%<font color='#FF0000'>﹝第十三款﹞</font>。,115.07.08,73.50,-----
3,2454,聯發科,1,六個營業日起迄兩個營業日收盤價價差達315.50元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.08,3995.00,63.67
4,2466,冠西電,1,最近六個營業日累積收盤價漲幅達42.04%﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達103.14% ﹝第二款﹞。,115.07.08,96.90,130.95
5,2484,希華,1,最近六個營業日累積收盤價漲幅達25.99%。且07月08日之週轉率為42.05%﹝第四款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達167.92% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達207.15% ﹝第二款﹞。,115.07.08,92.30,124.73
6,2492,華新科,1,六個營業日起迄兩個營業日收盤價價差達129.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.08,474.00,90.80
7,2601,益航,1,最近六個營業日累積收盤價漲幅達34.06%﹝第一款﹞。且07月08日之成交量為最近六十個營業日日平均成交量之7.46倍﹝第三款﹞。,115.07.08,7.55,-----
8,3055,蔚華科,1,最近六個營業日累積收盤價漲幅達39.26%﹝第一款﹞。,115.07.08,168.50,-----
9,4169,泰宗,1,最近六個營業日累積收盤價漲幅達26.60%。且六個營業日起迄兩個營業日收盤價價差達76.50 元﹝第一款﹞。,115.07.08,279.00,871.88
10,4764,雙鍵,1,07月08日之本益比為 168.09，且股價淨值比為11.16 。另當日週轉率為 6.68%，單一投資人當日買進該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.07.08,316.00,168.09
11,4904,遠傳,1,07月07日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率28.54%，且07月07日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.28倍<font color='#FF0000'>﹝第十二款﹞</font>。,115.07.08,93.20,23.65
12,5434,崇越,1,07月07日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率12.02%，且07月07日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.36倍<font color='#FF0000'>﹝第十二款﹞</font>。,115.07.08,509.00,21.60
13,6446,藥華藥,1,最近六十個營業日起迄兩個營業日之收盤價漲幅達138.31% ﹝第二款﹞。,115.07.08,1530.00,95.92
14,6515,穎崴,1,六個營業日起迄兩個營業日收盤價價差達1185.00 元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.08,7705.00,157.89
15,6525,捷敏-KY,1,最近六個營業日累積收盤價漲幅達29.96%。且07月08日凱基證券商賣出之比率為40.01%﹝第五款﹞。,115.07.08,199.00,32.78
16,6573,虹揚-KY,1,最近三十個營業日起迄兩個營業日之收盤價漲幅達104.07% ﹝第二款﹞。,115.07.08,27.55,21.03
17,6831,邁科,1,最近九十個營業日起迄兩個營業日之收盤價漲幅達182.96% ﹝第二款﹞。,115.07.08,819.00,166.46
18,7769,鴻勁,1,六個營業日起迄兩個營業日收盤價價差達905.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.08,6055.00,75.56
19,8261,富鼎,1,最近六個營業日累積收盤價漲幅達26.66%。且六個營業日起迄兩個營業日收盤價價差達50.50 元﹝第一款﹞。且07月08日之週轉率為13.25%﹝第四款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達213.51% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達253.65% ﹝第二款﹞。,115.07.08,348.00,59.59
20,911868,同方友友-DR,1,公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價166.67% ﹝第八款﹞。,115.07.08,1.22,-----
