編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,053230,道瓊銀富邦61購02,1,最近六個營業日累積收盤價跌幅達33.13%﹝第一款﹞。,115.07.07,0.12,-----
2,1466,聚隆,1,最近六個營業日累積收盤價漲幅達28.18%。且07月07日之成交量為最近六十個營業日日平均成交量之12.79 倍﹝第三款﹞。,115.07.07,19.40,-----
3,2327,國巨*,1,六個營業日起迄兩個營業日收盤價價差達235.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,905.00,71.26
4,2360,致茂,1,六個營業日起迄兩個營業日收盤價價差達195.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,1965.00,61.97
5,2434,統懋,1,最近六個營業日累積收盤價漲幅達28.50%。且07月07日之週轉率為13.02%﹝第四款﹞。,115.07.07,51.40,-----
6,2466,冠西電,1,最近六個營業日累積收盤價漲幅達47.40%﹝第一款﹞。且07月07日之成交量為最近六十個營業日日平均成交量之7.21倍﹝第三款﹞。,115.07.07,92.60,125.14
7,2601,益航,1,最近六個營業日累積收盤價漲幅達25.28%。且07月07日之成交量為最近六十個營業日日平均成交量之8.90倍﹝第三款﹞。,115.07.07,6.87,-----
8,2887Z1,台新新光己特,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.13倍。當日之成交量較最近六十個營業日之平均成交量放大為 15.98倍<font color='#FF0000'>﹝第九款﹞</font>。,115.07.07,17.50,-----
9,3008,大立光,1,六個營業日起迄兩個營業日收盤價價差達400.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,3890.00,24.28
10,3023,信邦,1,07月06日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率17.71%，且07月06日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.13倍<font color='#FF0000'>﹝第十二款﹞</font>。,115.07.07,325.00,25.45
11,3037,欣興,1,六個營業日起迄兩個營業日收盤價價差達228.02元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,840.00,123.53
12,3055,蔚華科,1,最近六個營業日累積收盤價漲幅達53.47%。且六個營業日起迄兩個營業日收盤價價差達60.00 元﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達180.70% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達162.29% ﹝第二款﹞。,115.07.07,176.00,-----
13,3443,創意,1,六個營業日起迄兩個營業日收盤價價差達365.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,4480.00,134.78
14,3605,宏致,1,最近六個營業日之累積週轉率為51.56%。且07月07日之週轉率為12.76%<font color='#FF0000'>﹝第十款﹞</font>。,115.07.07,84.90,24.54
15,4169,泰宗,1,最近六個營業日累積收盤價漲幅達26.56%。且六個營業日起迄兩個營業日收盤價價差達50.50 元﹝第一款﹞。,115.07.07,268.00,837.50
16,4904,遠傳,1,07月06日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率26.57%，且07月06日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.62倍<font color='#FF0000'>﹝第十二款﹞</font>。,115.07.07,103.00,26.14
17,6446,藥華藥,1,最近六十個營業日起迄兩個營業日之收盤價漲幅達131.06% ﹝第二款﹞。,115.07.07,1495.00,93.73
18,6525,捷敏-KY,1,最近六個營業日累積收盤價漲幅達45.50%。且六個營業日起迄兩個營業日收盤價價差達70.00 元﹝第一款﹞。且07月07日凱基證券商買進之比率為52.20%﹝第五款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達165.25% ﹝第二款﹞。,115.07.07,221.00,36.41
19,6805,富世達,1,六個營業日起迄兩個營業日收盤價價差達190.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,1490.00,38.03
20,8033,雷虎,1,07月07日之本益比為 308.96，且股價淨值比為16.38 。另當日週轉率為 5.20%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.07.07,207.00,308.96
21,8046,南電,1,六個營業日起迄兩個營業日收盤價價差達155.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,1030.00,218.22
22,8261,富鼎,1,最近六個營業日累積收盤價漲幅達34.86%。且六個營業日起迄兩個營業日收盤價價差達71.50 元﹝第一款﹞。且07月07日之週轉率為22.81%﹝第四款﹞。,115.07.07,342.00,58.56
23,8996,高力,1,六個營業日起迄兩個營業日收盤價價差達215.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.07.07,1335.00,95.22
