股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00892,富邦台灣半導體,207,37,,1074,1244,73323,1,1,,1,1,73323,, 
00893,國泰智能電動車,,21,,68,47,91221,,,,23,23,91221,, 
00894,中信小資高價30,14,11,,598,601,37127,,,,12,12,37127,, 
00895,富邦未來車,,,,69,69,37354,,,,11,11,37354,, 
00896,中信綠能及電動車,19,22,,1579,1576,98220,,,,,,98220,, 
00897,富邦基因免疫生技,208,12,,493,689,36003,,,,1,1,36003,, 
00898,國泰基因免疫革命,6,136,,625,495,36369,,,,,,36369,, 
00899,FT潔淨能源,,,,63,63,4033,,,,,,4033,, 
00900,富邦特選高股息30,24,7,,292,309,413006,4,,,4,,413006,, 
00901,永豐智能車供應鏈,,,,1,1,15837,,,,,,15837,, 
00902,中信電池及儲能,28,2,,2385,2411,56624,1,1,,50,50,56624,, 
00903,富邦元宇宙,,,,20,20,12555,,,,,,12555,, 
00904,新光臺灣半導體30,10,3,,699,706,41778,,,,1,1,41778,, 
00905,FT臺灣Smart,40,1,,305,344,86456,,,,,,86456,, 
00907,永豐優息存股,57,,,144,201,40533,,,,,,40533,, 
00908,富邦入息REITs+,,,,,,8854,,,,,,8854,, 
00909,國泰數位支付服務,42,48,,1101,1095,27051,,,,18,18,27051,, 
00910,第一金太空衛星,49,93,,3111,3067,32609,4,2,,7,5,32609,, 
00911,兆豐洲際半導體,6,2,,158,162,5600,,,,,,5600,, 
00912,中信臺灣智慧50,,,,44,44,14813,,,,,,14813,, 
00913,兆豐台灣晶圓製造,16,34,,1046,1028,10191,,1,,,1,10191,, 
00915,凱基優選高股息30,,3,,33,30,132120,,,,,,132120,, 
00916,國泰全球品牌50,1,49,,863,815,33354,,17,30,32,19,33354,, 
00917,中信特選金融,,1,,87,86,15619,,,,,,15619,, 
00918,大華優利高填息30,82,386,,5738,5434,882316,,,,12,12,882316,, 
00919,群益台灣精選高息,166,329,14,8513,8336,4518908,83,90,,104,111,4518908,2, 
00920,富邦ESG綠色電力,,,,26,26,5070,,,,,,5070,, 
00921,兆豐龍頭等權重,,,,1,1,13817,,,,,,13817,, 
00922,國泰台灣領袖50,150,55,,1346,1441,522796,,,,46,46,522796,, 
00923,群益台ESG低碳50,4,1,,180,183,212730,1,,,1,,212730,, 
00924,復華S&P500成長,11,3,,111,119,110775,,,,,,110775,, 
00926,凱基全球菁英55,,,,27,27,22370,,,,,,22370,, 
00927,群益半導體收益,1214,2862,2,14656,13006,270974,,,,5,5,270974,9, 
00929,復華台灣科技優息,464,162,,3812,4114,1137284,,,,,,1137284,1, 
00930,永豐ESG低碳高息,,,,20,20,33569,,,,,,33569,, 
00932,兆豐永續高息等權,,,,2,2,30820,,,,,,30820,, 
00934,中信成長高股息,2,99,,691,594,102506,,,,,,102506,, 
00935,野村臺灣新科技50,388,87,,5413,5714,191001,,12,,102,114,191001,, 
00936,台新永續高息中小,,,,10,10,51824,,,,,,51824,, 
00938,凱基優選30,2,,,4,6,23379,,,,,,23379,, 
00939,統一台灣高息動能,14,44,,190,160,300494,,,,,,300494,, 
00940,元大台灣價值高息,77,85,,1351,1343,1382841,,,,,,1382841,,X 
00941,中信上游半導體,11,6,,259,264,111322,,,,3,3,111322,, 
00943,兆豐電子高息等權,,,,26,26,10472,,,,,,10472,, 
00944,野村趨勢動能高息,,,,8,8,13895,,,,,,13895,, 
00945B,凱基美國非投等債,,26,,337,311,204704,,,,,,204704,, 
00946,群益科技高息成長,3,50,,595,548,117561,,,,,,117561,, 
00947,台新臺灣IC設計,195,281,,7853,7767,68591,,,,5,5,68591,8, 
00949,復華日本龍頭,,3,,107,104,44482,,,,,,44482,, 
00951,台新日本半導體,40,50,,1193,1183,51760,2,,,13,11,51760,, 
00952,凱基台灣AI50,15,11,,473,477,60943,,,,,,60943,, 
00953B,群益優選非投等債,15,70,,101636,101581,1072668,,,,,,1072668,, 
00954,中信日本半導體,155,512,,1674,1317,28186,2,2,,2,2,28186,9, 
00956,中信日經高股息,1,10,,88,79,8532,,,,,,8532,1, 
00960,野村全球航運龍頭,,12,,125,113,16248,,,,,,16248,, 
00961,FT臺灣永續高息,91,167,,1915,1839,75877,,,,,,75877,10, 
00962,台新AI優息動能,20,,,77,97,13605,,,,,,13605,, 
00963,中信全球高股息,,,,11,11,24483,,,,,,24483,, 
00964,中信亞太高股息,1,,,96,97,17031,,,,,,17031,, 
00965,元大航太防衛科技,5,13,,1722,1714,111248,,10,,48,58,111248,, 
00971,野村美國研發龍頭,,8,,23,15,15044,,,,,,15044,, 
00972,野村日本動能高息,,,,3,3,4793,,,,,,4793,, 
009800,中信NASDAQ,9,,,1611,1620,72472,,,,9,9,72472,, 
009801,中信美國創新科技,,1,,20,19,24404,,,,,,24404,, 
009802,富邦旗艦50,18,8,,1882,1892,133498,,6,,19,25,133498,, 
009803,玉山市值動能50,1,,,378,379,41582,,,,,,41582,, 
009804,聯邦台精彩50,173,33,,375,515,32348,,,,,,32348,, 
009805,新光美國電力基建,37,43,,16086,16080,160954,,,,,,160954,, 
009808,華南永昌優選50,,31,,87,56,10127,,,,,,10127,, 
009809,富邦淨零ESG50,,,,6,6,7590,,,,,,7590,, 
00980A,主動野村臺灣優選,172,76,,2840,2936,175932,,,,5,5,175932,2, 
009810,玉山全球藍籌100,,,,2,2,4788,,,,,,4788,, 
009811,統一美國50,1,1,,55,55,63987,,,,35,35,63987,, 
009812,野村日本東證,,,,3,3,25095,,,,,,25095,, 
009813,貝萊德標普卓越50,,2,,73,71,91706,,,,,,91706,, 
009816,凱基台灣TOP50,1994,1652,2,35937,36277,2624211,312,72,,1027,787,2624211,245, 
009817,國泰日本不動產,8,,,100,108,62109,,,,,,62109,, 
009818,華南永昌NASDAQxT,,,,15,15,13788,,,,,,13788,, 
009819,中信數據及電力,22,92,,5853,5783,172186,,,,,,172186,, 
00981A,主動統一台股增長,10624,9942,18,144171,144835,2288427,904,2253,,3176,4525,2288427,147, 
00981T,平衡凱基雙核收息,,,,129,129,48815,,,,,,48815,, 
009820,元大納斯達克精選,,5,5,3495,3485,339425,,,,,,339425,, 
009821,野村稀土關鍵資源,357,746,2,16493,16102,185960,,1,,1,2,185960,, 
009824,群益美國科技巨頭,1049,313,,4030,4766,180336,,,,,,180336,, 
00982A,主動群益台灣強棒,2108,275,8,7529,9354,536984,8,22,,157,171,536984,13, 
00982D,主動富邦動態入息,,,,122,122,18432,,,,,,18432,, 
00982T,平衡兆豐台美動能,,,,,,4649,,,,,,4649,, 
00983A,主動中信ARK創新,19,73,,511,457,26671,,,,7,7,26671,, 
00983D,主動富邦複合收益,,1,,74,73,25549,,,,,,25549,, 
00984A,主動安聯台灣高息,201,69,,1099,1231,134739,,,,,,134739,, 
00984D,主動聯博全球非投,1,52,,6281,6230,131014,,,,,,131014,, 
00985A,主動野村台灣50,7,90,,1628,1545,117072,,,,52,52,117072,, 
00985B,群益ESG投等債0-5,,20,,270,250,153250,,,,,,153250,, 
00986A,主動台新龍頭成長,13,,,125,138,10581,,,,,,10581,, 
00987A,主動台新優勢成長,51,40,,2203,2214,42660,3,12,,15,24,42660,1, 
00988A,主動統一全球創新,8802,5018,1,71847,75630,764484,300,81,,487,268,764484,64, 
00989A,主動摩根美國科技,3,21,,267,249,19029,,,,,,19029,, 
00990A,主動元大AI新經濟,2273,2723,51,20561,20060,589130,98,14,,238,154,589130,17, 
00991A,主動復華未來50,5747,12759,1,123793,116780,941104,140,47,,1356,1263,941104,109, 
00992A,主動群益科技創新,1221,4039,,30257,27439,586863,58,110,,185,237,586863,9, 
00993A,主動安聯台灣,223,7,4,1658,1870,197147,,8,,29,37,197147,, 
00994A,主動第一金台股優,70,2059,,6600,4611,74172,3,,,3,,74172,6, 
00995A,主動中信台灣卓越,55,194,,1872,1733,74383,3,8,,14,19,74383,, 
00996A,主動兆豐台灣豐收,213,4051,,7359,3521,80474,3,9,,9,15,80474,, 
00997A,主動群益美國增長,1832,556,4,13820,15092,318094,,679,,,679,318094,336, 
00999A,主動野村臺灣高息,70,91,,3171,3150,307504,,,,,,307504,, 
1101,台泥,976,207,2,34693,35460,1880795,4,3,,11,10,1880795,, 
1102,亞泥,125,127,,1110,1108,886640,,,,7,7,886640,, 
1103,嘉泥,10,,,4293,4303,208218,,,,,,208218,, 
1104,環泥,,8,,1546,1538,171670,,,,,,171670,, 
1108,幸福,1,,,386,387,101184,,,,,,101184,, 
1109,信大,1,,,283,284,85289,,,,,,85289,2, 
1110,東泥,22,,,2838,2860,143000,,,,,,143000,,X 
1201,味全,2,65,,1720,1657,126515,,,,,,126515,, 
1203,味王,,,,1,1,60000,,,,,,60000,, 
1210,大成,12,53,,702,661,223691,,,,5,5,223691,, 
1213,大飲,,,,,,,,,,,,,,OX 
1215,卜蜂,11,1,,350,360,73697,2,,,3,1,73697,, 
1216,統一,36,73,,791,754,1420503,,1,,8,9,1420503,, 
1217,愛之味,27,51,,828,804,123628,1,,,1,,123628,, 
1218,泰山,21,59,,1692,1654,124999,,,,119,119,124999,1, 
1219,福壽,5,,,649,654,85309,2,,,4,2,85309,, 
1220,台榮,4,5,,938,937,44269,,,,,,44269,, 
1225,福懋油,4,6,,6950,6948,60567,11,,,15,4,60567,, 
1227,佳格,6,7,,948,947,228772,,,,,,228772,, 
1229,聯華,158,79,,2828,2907,448990,,,,,,448990,, 
1231,聯華食,3,,,239,242,74613,,,,,,74613,, 
1232,大統益,4,7,,25,22,39993,,,,,,39993,, 
1233,天仁,,,,19,19,22647,,,,,,22647,, 
1234,黑松,,,,15,15,100467,,,,,,100467,, 
1235,興泰,,,,1185,1185,47144,,,,,,47144,, 
1236,宏亞,67,134,,295,228,21668,,,,,,21668,,X 
1256,鮮活果汁-KY,2,24,,444,422,8943,,,,,,8943,,X 
1301,台塑,1458,3174,,26101,24385,1591435,167,24,,435,292,1591435,4, 
1303,南亞,2928,3184,32,31339,31051,1982705,,,,,,1982705,, 
1304,台聚,501,1610,,13368,12259,297190,7,1,,240,234,297190,2, 
1305,華夏,152,488,,8342,8006,145262,37,20,,61,44,145262,3, 
1307,三芳,68,35,,1311,1344,99454,2,,,2,,99454,8, 
1308,亞聚,263,582,,7847,7528,148435,3,,,20,17,148435,, 
1309,台達化,320,695,,8887,8512,99396,72,2,,294,224,99396,1, 
1310,台苯,965,813,,13832,13984,131967,37,97,,153,213,131967,7, 
1312,國喬,2677,2193,5,19342,19821,276655,444,923,,5172,5651,276655,2, 
1313,聯成,392,418,,10804,10778,337711,43,5,,189,151,337711,10, 
1314,中石化,7699,12767,,73828,68760,946212,605,245,,1437,1077,946212,25, 
1315,達新,,,,22,22,24774,,,,,,24774,, 
1316,上曜,110,265,,10980,10825,93986,10,4,,32,26,93986,7, 
1319,東陽,47,261,,7163,6949,147869,202,,,204,2,147869,, 
1321,大洋,11,,,7282,7293,56807,,,,,,56807,, 
1323,永裕,1,2,,98,97,22818,,,,,,22818,, 
1324,地球,15,6,,1380,1389,18780,,,,,,18780,, 
1325,恆大,15,7,1,2009,2016,21320,,,,10,10,21320,, 
1326,台化,3752,3702,,27170,27220,1465296,249,124,,600,475,1465296,22, 
1337,再生-KY,12,14,,21371,21369,67238,,,,,,67238,, 
1338,廣華-KY,51,9,,3789,3831,20960,,,,,,20960,,X 
1339,昭輝,,5,,870,865,18534,,,,,,18534,, 
1340,勝悅-KY,,14,,1055,1041,38230,,,,,,38230,, 
1342,八貫,23,51,,664,636,19500,,,,,,19500,, 
1402,遠東新,479,230,,8564,8813,1338218,3,,2,61,56,1338218,10,X 
1409,新纖,7841,9521,,25622,23942,404602,164,316,,362,514,404602,239, 
1410,南染,5,3,,321,323,15500,,,,,,15500,, 
1413,宏洲,,,,,,,,,,,,,,OX 
1414,東和,32,13,,1119,1138,49500,,,,,,49500,, 
1416,廣豐,8,39,,3547,3516,46335,,,,,,46335,, 
1417,嘉裕,46,7,,1614,1653,47485,,,,,,47485,, 
1418,東華,,14,,764,750,11708,,,,,,11708,, 
1419,新紡,31,33,,1219,1217,75010,,,,,,75010,, 
1423,利華,,,,98,98,24912,,,,,,24912,, 
1432,大魯閣,,1,,141,140,22500,,,,40,40,22500,, 
1434,福懋,365,903,1,6710,6171,421166,8,,,11,3,421166,, 
1435,中福,,,,,,,,,,,,,,OX 
1436,華友聯,,1,,997,996,48537,,,,5,5,48537,, 
1437,勤益控,33,14,,1963,1982,50467,,,,,,50467,, 
1438,三地開發,16,5,,173,184,22801,,,,,,22801,, 
1439,雋揚,,,,1051,1051,23000,,,,,,23000,, 
1440,南紡,455,440,,5469,5484,414203,1,26,,2,27,414203,, 
1441,大東,,,,,,,,,,,,,,OX 
1442,名軒,3,39,,3029,2993,91552,,,,8,8,91552,, 
1443,立益物流,,,,31,31,33835,,,,,,33835,, 
1444,力麗,,7,,582,575,,,,,,,,,OX 
1445,大宇,1,5,,1388,1384,32666,,,,1,1,32666,, 
1446,宏和,18,18,,1929,1929,34427,,,,,,34427,,X 
1447,力鵬,,5,,991,986,,,,,,,,,OX 
1449,佳和,42,109,1,3455,3387,31778,3,,,8,5,31778,, 
1451,年興,,,,632,632,49500,,,,,,49500,, 
1452,宏益,15,21,,99,93,33160,,,,,,33160,, 
1453,大將,,,,1071,1071,28310,,,,,,28310,, 
1454,台富,,,,2177,2177,32458,,,,,,32458,, 
1455,集盛,215,150,,3639,3704,132922,4,1,,84,81,132922,1, 
1456,怡華,23,15,,837,845,23430,,,,,,23430,, 
1457,宜進,5,59,,779,725,79182,,,,1,1,79182,, 
1459,聯發,9,,,475,484,89657,,,,,,89657,, 
1460,宏遠,,,,,,,,,,,,,,OX 
1463,強盛新,37,32,,482,487,43317,,,,,,43317,, 
1464,得力,10,120,,2132,2022,106393,,,,1,1,106393,, 
1465,偉全,211,212,,3335,3334,25901,,,,,,25901,, 
1466,聚隆,614,1154,,3245,2705,27789,8,14,,17,23,27789,5, 
1467,南緯,329,69,,5754,6014,42052,15,20,,21,26,42052,10, 
1468,昶和,,,,,,,,,,,,,,OX 
1470,大統新創,,,,6,6,21441,,,,,,21441,, 
1471,首利,,,,,,,,,,,,,,OX 
1472,三洋實業,,,,3902,3902,8747,,,,2,2,8747,, 
1473,台南,,,,853,853,36538,,,,,,36538,, 
1474,弘裕,18,5,,3376,3389,32474,,,,,,32474,, 
1475,業旺,,,,446,446,16504,,,,,,16504,, 
1476,儒鴻,103,127,1,995,970,68591,1,2,,16,17,68591,, 
1477,聚陽,91,280,,1825,1636,61673,2,1,,7,6,61673,3, 
1503,士電,213,360,,3613,3466,130243,8,1,,32,25,130243,, 
1504,東元,642,896,2,31573,31317,594110,5,5,,46,46,594110,17, 
1506,正道,,,,,,,,,,,,,,OX 
1512,瑞利,,,,,,,,,,,,,,OX 
1513,中興電,310,592,1,9135,8852,125778,,,,,,125778,,X 
1514,亞力,420,1265,,7586,6741,68277,2,9,,123,130,68277,8, 
1515,力山,478,1132,,4413,3759,45368,124,8,,320,204,45368,377, 
1516,川飛,,,,2,2,,,,,,,,,OX 
1517,利奇,11,60,,1701,1652,55000,,,,,,55000,5, 
1519,華城,130,141,1,3950,3938,78970,1,2,,19,20,78970,, 
1521,大億,1,,,439,440,19057,,,,,,19057,, 
1522,堤維西,41,28,,4407,4420,78224,,,,16,16,78224,, 
1524,耿鼎,99,18,,4540,4621,41327,1,,,21,20,41327,, 
1525,江申,1,,,234,235,18350,,,,,,18350,, 
1526,日馳,1,12,,592,581,15000,,,,,,15000,, 
1527,鑽全,14,2,,592,604,34642,,,,,,34642,, 
1528,恩德,74,147,9,7574,7492,47832,37,7,,112,82,47832,, 
1529,樂事綠能,89,43,,3261,3307,38773,,,,1,1,38773,, 
1530,亞崴,,2,,298,296,23648,,,,,,23648,, 
1531,高林股,16,,6,1673,1683,45527,,,,1,1,45527,, 
1532,勤美,32,10,,2738,2760,105651,,,,,,105651,, 
1533,車王電,22,13,,531,540,24636,,,,9,9,24636,, 
1535,中宇,,1,,66,65,30935,,,,,,30935,, 
1536,和大,199,299,,8657,8557,69739,60,,,240,180,69739,11, 
1537,廣隆,,,,59,59,20515,,,,,,20515,, 
1538,正峰,,,,,,,,,,,,,,OX 
1539,巨庭,11,10,6,1315,1310,16342,,,,,,16342,, 
1540,喬福,14,21,,1720,1713,21368,,,,1,1,21368,1, 
1541,錩泰,1,2,,117,116,19700,,,,,,19700,, 
1558,伸興,,1,40,297,256,16133,,,,,,16133,, 
1560,中砂,60,102,,1549,1507,37518,19,4,,43,28,37518,, 
1563,巧新,607,342,,6013,6278,56402,,,,3,3,56402,4, 
1568,倉佑,135,323,12,5641,5441,25771,3,4,,3,4,25771,, 
1582,信錦,82,120,9,4862,4815,36067,1,4,,8,11,36067,, 
1583,程泰,,1,,90,89,27350,,,,,,27350,, 
1587,吉茂,12,37,,2103,2078,20013,,2,,3,5,20013,, 
1589,永冠-KY,,,,802,802,,,,,,,,,OX!
1590,亞德客-KY,1,7,,149,143,49999,,,,1,1,49999,, 
1597,直得,95,250,1,4247,4091,22315,4,3,,36,35,22315,2, 
1598,岱宇,9,10,,2152,2151,44785,,,,,,44785,, 
1603,華電,4,7,,2125,2122,47922,,,,2,2,47922,,X 
1604,聲寶,14,22,,252,244,96050,,,,,,96050,, 
1605,華新,1359,879,14,57221,57687,1107833,70,10,,681,621,1107833,1, 
1608,華榮,219,132,,8007,8094,158193,1,,,3,2,158193,, 
1609,大亞,2033,3086,,13969,12916,196315,144,57,,198,111,196315,14, 
1611,中電,45,19,,3242,3268,80683,2,,,8,6,80683,, 
1612,宏泰,58,27,,1837,1868,79020,,,,,,79020,, 
1614,三洋電,7,14,,367,360,67278,,,,,,67278,, 
1615,大山,4,5,,172,171,49165,,,,,,49165,, 
1616,億泰,30,42,,3164,3152,48537,,,,,,48537,,X 
1617,榮星,165,366,,2742,2541,42378,33,7,,48,22,42378,235, 
1618,合機,67,181,,3893,3779,48172,,,,3,3,48172,, 
1626,艾美特-KY,9,15,1,1685,1678,37455,,,,,,37455,, 
1702,南僑,4,21,,354,337,73533,,,,,,73533,, 
1707,葡萄王,17,13,,338,342,37034,,,,,,37034,, 
1708,東鹼,404,1373,,8423,7454,62250,12,29,2,246,261,62250,3, 
1709,和益,1250,828,,5221,5643,119254,,,,2,2,119254,4, 
1710,東聯,620,2380,,10588,8828,221425,127,22,,234,129,221425,, 
