股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00400A,主動國泰動能高息,2411,1133,5,10488,11761,443285,,,,,,443285,,X 
00401A,主動摩根台灣鑫收,16,18,,1130,1128,60223,,,,2,2,60223,, 
00402A,主動安聯美國科技,13,49,,3531,3495,194281,,,,1,1,194281,, 
00403A,主動統一升級50,13038,5271,327,102780,110220,3875004,245,530,1,1383,1667,3875004,407, 
00404A,主動聯博動能50,52,104,,2495,2443,83948,,,,,,83948,, 
00405A,主動富邦台灣龍耀,3647,508,2,20035,23172,705436,106,523,,152,569,705436,83, 
00406A,主動中信台灣收益,339,86,,5312,5565,186265,,299,,13,312,186265,, 
00407A,主動凱基台灣,2206,3704,,43035,41537,638309,,3,,5,8,638309,100, 
0050,元大台灣50,991,947,7,13038,13075,5217500,73,17,2,1077,1019,5217500,22, 
0051,元大中型100,,,,3,3,6125,,,,,,6125,, 
0052,富邦科技,290,643,1,12510,12156,643000,9,9,,78,78,643000,21, 
0053,元大電子,1,,,11,12,1372,,,,,,1372,, 
0055,元大MSCI金融,4,17,,238,225,22538,,,,,,22538,, 
0056,元大高股息,643,779,10,7595,7449,3442633,46,4,,95,53,3442633,2, 
0057,富邦摩台,,,,,,381,,,,,,381,, 
0061,元大寶滬深,,,,16,16,24404,,,,,,24404,, 
006203,元大MSCI台灣,1,,,,1,2554,,,,,,2554,, 
006204,永豐臺灣加權,,,,,,375,,,,,,375,, 
006205,富邦上証,,,,50,50,23984,,,,1,1,23984,, 
006206,元大上證50,,,,8,8,6944,,,,,,6944,, 
006207,復華滬深,,,,2,2,5223,,,,,,5223,, 
006208,富邦台50,28,19,,307,316,457385,,,,16,16,457385,, 
00631L,元大台灣50正2,16323,17893,46,228862,227246,1635462,2461,3865,,18234,19638,1635462,852, 
00632R,元大台灣50反1,20912,15217,45,286745,292395,604801,57,1116,,6330,7389,604801,800, 
00633L,富邦上証正2,201,45,,7495,7651,29739,13,,,666,653,29739,21, 
00634R,富邦上証反1,36,3,,2078,2111,11814,,,,,,11814,, 
00635U,期元大S&P黃金,191,122,,7007,7076,75878,11,3,,283,275,75878,2, 
00636,國泰中國A50,5,,,120,125,24706,,,,,,24706,, 
00637L,元大滬深300正2,613,314,,85969,86268,191276,132,48,,8498,8414,191276,5, 
00638R,元大滬深300反1,,,,719,719,6112,,,,4,4,6112,, 
00639,富邦深100,5,34,,546,517,24600,,,,7,7,24600,, 
00640L,富邦日本正2,2,12,,229,219,1854,,,,48,48,1854,, 
00641R,富邦日本反1,298,125,,10226,10399,19189,,9,,498,507,19189,3, 
00642U,期元大S&P石油,155,2104,,5943,3994,26330,3,17,,1505,1519,26330,, 
00643,群益深証中小,,3,,887,884,18125,,,,,,18125,, 
00645,富邦日本,,,,20,20,10999,,,,,,10999,, 
00646,元大S&P500,8,9,,69,68,140621,,,,2,2,140621,, 
00647L,元大S&P500正2,,4,,45,41,1604,,,,,,1604,, 
00648R,元大S&P500反1,330,6,,10882,11206,35172,,,,210,210,35172,, 
00650L,復華香港正2,391,531,,18710,18570,34459,2,28,,443,469,34459,3, 
00651R,復華香港反1,4,7,,1432,1429,8048,6,,,115,109,8048,, 
00652,富邦印度,1,1,,56,56,16508,,,,,,16508,, 
00653L,富邦印度正2,7,39,,2448,2416,3850,,,,5,5,3850,,@ 
00654R,富邦印度反1,5,,,540,545,4866,,,,62,62,4866,, 
00655L,國泰中國A50正2,30,14,,2138,2154,14614,4,,,248,244,14614,, 
00656R,國泰中國A50反1,,4,,157,153,5089,,,,,,5089,, 
00657,國泰日經225,,,,,,1646,,,,,,1646,, 
00660,元大歐洲50,,,,,,1882,,,,,,1882,, 
00661,元大日經225,,,,13,13,5856,,,,,,5856,, 
00662,富邦NASDAQ,2,53,,1183,1132,215882,,,,7,7,215882,, 
00663L,國泰臺灣加權正2,1592,1526,,9558,9624,36415,70,340,,1536,1806,36415,28, 
00664R,國泰臺灣加權反1,6021,1557,126,89802,94140,196393,,135,,661,796,196393,120, 
00665L,富邦恒生國企正2,1907,3433,,82396,80870,141116,8,3,,660,655,141116,19, 
00666R,富邦恒生國企反1,,,,357,357,3656,,,,12,12,3656,, 
00668,國泰美國道瓊,,,,,,1870,,,,,,1870,, 
00669R,國泰美國道瓊反1,324,15,,14477,14786,51279,,,,116,116,51279,, 
00670L,富邦NASDAQ正2,10,91,,1171,1090,18536,,6,,157,163,18536,, 
00671R,富邦NASDAQ反1,,26,,127292,127266,135096,32,,,2558,2526,135096,,O 
00673R,期元大S&P原油反1,246,1980,1,47073,45338,119137,10,51,,720,761,119137,, 
00674R,期元大S&P黃金反1,26,1,,271,296,3855,,1,,8,9,3855,, 
00675L,富邦臺灣加權正2,147,209,3,2947,2882,26821,2,34,,301,333,26821,5, 
00676R,富邦臺灣加權反1,348,535,,19120,18933,43208,3,14,,336,347,43208,15, 
00678,群益那斯達克生技,2,,,24,26,2112,,,,,,2112,, 
00680L,元大美債20正2,893,445,,63709,64157,376269,6,5,,660,659,376269,, 
00681R,元大美債20反1,,,,7,7,1898,,,,,,1898,, 
00682U,期元大美元指數,,,,12,12,1911,,,,,,1911,, 
00683L,期元大美元指正2,1,,,169,170,2858,,,,,,2858,, 
00684R,期元大美元指反1,,,,21,21,2422,,,,,,2422,, 
00685L,群益臺灣加權正2,39120,6197,658,86237,118502,993209,,422,,,422,993209,373, 
00686R,群益臺灣加權反1,509,2197,,16199,14511,47944,15,2,,59,46,47944,, 
00688L,國泰20年美債正2,83,601,,24593,24075,159903,,,,59,59,159903,, 
00689R,國泰20年美債反1,,,,,,1722,,,,,,1722,,X 
00690,兆豐藍籌30,5,,,84,89,20207,,,,,,20207,, 
00692,富邦公司治理,1,1,,71,71,153570,,,,,,153570,, 
00693U,期街口S&P黃豆,46,9,,2478,2515,21541,,,,1,1,21541,, 
00700,富邦恒生國企,,2,,187,185,8745,,,,,,8745,, 
00701,國泰股利精選30,5,11,,27,21,43472,,,,,,43472,, 
00702,國泰標普低波高息,,1,,3,2,1672,,,,,,1672,, 
00703,台新MSCI中國,,,,1,1,2387,,,,,,2387,, 
00706L,期元大S&P日圓正2,168,176,,7397,7389,39442,,,,359,359,39442,, 
00707R,期元大S&P日圓反1,,,,,,1463,,,,,,1463,,X 
00708L,期元大S&P黃金正2,428,356,1,10990,11061,31018,,25,,783,808,31018,5, 
00709,富邦歐洲,,,,3,3,3865,,,,,,3865,, 
00710B,復華彭博非投等債,,,,10,10,45190,,,,,,45190,, 
00711B,復華彭博新興債,,,,3,3,218065,,,,,,218065,, 
00712,復華富時不動產,124,530,,16264,15858,1314877,,1,,7,8,1314877,, 
00713,元大台灣高息低波,,107,2,356,247,435503,,,,,,435503,, 
00714,群益道瓊美國地產,,,,2,2,5266,,,,,,5266,, 
00715L,期街口布蘭特正2,639,495,,13823,13967,31797,71,217,,2791,2937,31797,20, 
00717,富邦美國特別股,,,,,,31651,,,,,,31651,, 
00728,第一金工業30,,,,1,1,9730,,,,,,9730,, 
00730,富邦臺灣優質高息,1,,,11,12,17761,,,,,,17761,, 
00731,復華富時高息低波,,1,,4,3,5525,,,,,,5525,, 
00733,富邦臺灣中小,29,,,52,81,16616,,,,,,16616,, 
00735,國泰臺韓科技,352,158,6,3806,3994,26947,38,13,,55,30,26947,15, 
00736,國泰新興市場,,,,,,1556,,,,,,1556,, 
00737,國泰AI機器人,2,,,66,68,5634,,,,,,5634,, 
00738U,期元大道瓊白銀,147,700,1,13647,13093,61699,4,5,,398,399,61699,, 
00739,元大MSCI A股,,,,,,6497,,,,,,6497,, 
00752,中信中國50,7,19,,985,973,72554,,,,2,2,72554,5, 
00753L,中信中國50正2,1057,2257,43,93141,91898,192789,10,101,,977,1068,192789,9, 
00757,統一FANG+,12,21,,408,399,69998,,,,6,6,69998,, 
00762,元大全球AI,1,,,53,54,12062,,,,,,12062,, 
00763U,期街口道瓊銅,19,47,,1571,1543,12391,,,,94,94,12391,, 
00770,國泰北美科技,,,,49,49,19864,,,,,,19864,, 
00771,元大US高息特別股,,,,1,1,3556,,,,,,3556,, 
00775B,新光投等債15+,,,,,,58025,,,,,,58025,,X 
00783,富邦中証500,,,,383,383,1757,,,,,,1757,, 
00830,國泰費城半導體,411,206,,5054,5259,189116,11,132,,279,400,189116,2, 
00850,元大臺灣ESG永續,,,,16,16,103861,,,,,,103861,, 
00851,台新全球AI,,,,2,2,1381,,,,,,1381,, 
00852L,國泰美國道瓊正2,1,,,38,39,2091,,,,56,56,2091,, 
00861,元大全球未來通訊,3,,,22,25,17103,,,,,,17103,, 
00865B,國泰US短期公債,,,,,,69811,,,,,,69811,, 
00875,國泰網路資安,4,,,4,8,3372,,,,,,3372,, 
00876,元大全球5G,1,,,11,12,18756,,,,,,18756,, 
00878,國泰永續高股息,31,59,1,2548,2519,4585947,3,1,,38,36,4585947,10, 
00881,國泰台灣科技龍頭,82,105,,1221,1198,593350,,1,,9,10,593350,, 
00882,中信中國高股息,207,105,2,3284,3384,511212,,,,,,511212,, 
00885,富邦越南,41,21,,516,536,154559,4,,,140,136,154559,, 
00891,中信關鍵半導體,376,130,44,3987,4189,413272,2,16,,31,45,413272,, 
