股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00646,元大S&P500,1,,,68,69,140621,,,,2,2,140621,, 
00647L,元大S&P500正2,,,,45,45,1604,,,,,,1604,, 
00648R,元大S&P500反1,25,22,,10879,10882,35172,,,,210,210,35172,, 
00650L,復華香港正2,513,691,,18888,18710,34959,14,40,,417,443,34959,2, 
00651R,復華香港反1,,,,1432,1432,8048,5,,,120,115,8048,, 
00652,富邦印度,,3,,59,56,16508,,,,,,16508,, 
00653L,富邦印度正2,13,18,,2453,2448,3850,5,1,,9,5,3850,,@ 
00654R,富邦印度反1,,,,540,540,4866,,,,62,62,4866,, 
00655L,國泰中國A50正2,10,110,,2238,2138,14614,3,1,,250,248,14614,, 
00656R,國泰中國A50反1,,,,157,157,5089,,,,,,5089,, 
00657,國泰日經225,,,,,,1646,,,,,,1646,, 
00660,元大歐洲50,,,,,,1882,,,,,,1882,, 
00661,元大日經225,,1,,14,13,5856,,,,,,5856,, 
00662,富邦NASDAQ,6,5,9,1191,1183,215882,,,,7,7,215882,, 
00663L,國泰臺灣加權正2,1042,1050,,9566,9558,36790,50,60,,1526,1536,36790,26, 
00664R,國泰臺灣加權反1,1426,249,17,88642,89802,196393,30,18,,673,661,196393,31, 
00665L,富邦恒生國企正2,1487,1766,,82675,82396,142116,13,162,,511,660,142116,44, 
00666R,富邦恒生國企反1,2,1,,356,357,3656,,,,12,12,3656,, 
00668,國泰美國道瓊,,,,,,1870,,,,,,1870,, 
00669R,國泰美國道瓊反1,68,22,,14431,14477,51279,,,,116,116,51279,, 
00670L,富邦NASDAQ正2,7,128,,1292,1171,18536,1,11,,147,157,18536,2, 
00671R,富邦NASDAQ反1,,2,,127294,127292,135096,20,,,2578,2558,135096,,O 
00673R,期元大S&P原油反1,774,12678,,58977,47073,121637,59,7,,772,720,121637,3, 
00674R,期元大S&P黃金反1,53,28,,246,271,3855,,,,8,8,3855,, 
00675L,富邦臺灣加權正2,184,142,,2905,2947,27071,3,,,304,301,27071,7, 
00676R,富邦臺灣加權反1,451,827,,19496,19120,43208,,18,,318,336,43208,, 
00678,群益那斯達克生技,2,,,22,24,2112,,,,,,2112,, 
00680L,元大美債20正2,34,817,,64492,63709,376269,6,,,666,660,376269,, 
00681R,元大美債20反1,,,,7,7,1898,,,,,,1898,, 
00682U,期元大美元指數,,,,12,12,1911,,,,,,1911,, 
00683L,期元大美元指正2,4,,,165,169,2858,1,,,1,,2858,, 
00684R,期元大美元指反1,,,,21,21,2422,,,,,,2422,, 
00685L,群益臺灣加權正2,,,,3600,3600,744834,,,,,,744834,, 
00686R,群益臺灣加權反1,136,85,,16148,16199,47944,1,,,60,59,47944,, 
00688L,國泰20年美債正2,635,49,,24007,24593,159903,,,,59,59,159903,, 
00689R,國泰20年美債反1,,,,,,1722,,,,,,1722,,X 
00690,兆豐藍籌30,1,,,83,84,20207,,,,,,20207,, 
00692,富邦公司治理,2,2,,71,71,153570,,,,,,153570,, 
00693U,期街口S&P黃豆,16,110,,2572,2478,21666,2,,,3,1,21666,, 
00700,富邦恒生國企,1,1,,187,187,8745,,,,,,8745,, 
00701,國泰股利精選30,,4,,31,27,43472,,,,,,43472,, 
00702,國泰標普低波高息,,,,3,3,1672,,,,,,1672,, 
00703,台新MSCI中國,,,,1,1,2387,,,,,,2387,, 
00706L,期元大S&P日圓正2,128,579,,7848,7397,39567,,26,,333,359,39567,, 
00707R,期元大S&P日圓反1,,,,,,1463,,,,,,1463,,X 
00708L,期元大S&P黃金正2,646,431,6,10781,10990,30893,19,21,,781,783,30893,1, 
00709,富邦歐洲,1,,,2,3,3865,,,,,,3865,, 
00710B,復華彭博非投等債,,,,10,10,45190,,,,,,45190,, 
00711B,復華彭博新興債,,,,3,3,218065,,,,,,218065,, 
00712,復華富時不動產,689,51,50,15676,16264,1321377,,,,7,7,1321377,, 
00713,元大台灣高息低波,116,11,,251,356,435878,,,,,,435878,35, 
00714,群益道瓊美國地產,,,,2,2,5266,,,,,,5266,, 
00715L,期街口布蘭特正2,784,198,,13237,13823,31797,475,47,,3219,2791,31797,59, 
00717,富邦美國特別股,,,,,,31651,,,,,,31651,, 
00728,第一金工業30,,,,1,1,9730,,,,,,9730,, 
00730,富邦臺灣優質高息,,,,11,11,17761,,,,,,17761,, 
00731,復華富時高息低波,,,,4,4,5525,,,,,,5525,, 
00733,富邦臺灣中小,20,,,32,52,16741,,,,,,16741,, 
00735,國泰臺韓科技,113,151,26,3870,3806,26822,11,10,,56,55,26822,3, 
00736,國泰新興市場,,1,,1,,1556,,,,,,1556,, 
00737,國泰AI機器人,12,,,54,66,5634,,,,,,5634,, 
00738U,期元大道瓊白銀,179,114,8,13590,13647,61824,,,,398,398,61824,3, 
00739,元大MSCI A股,,,,,,6497,,,,,,6497,, 
00752,中信中國50,11,6,,980,985,72929,,,,2,2,72929,, 
00753L,中信中國50正2,361,1911,2,94693,93141,193414,,188,,789,977,193414,12, 
00757,統一FANG+,17,27,,418,408,70373,,,,6,6,70373,, 
00762,元大全球AI,,,,53,53,12062,,,,,,12062,, 
00763U,期街口道瓊銅,25,31,,1577,1571,12391,,,,94,94,12391,20, 
00770,國泰北美科技,,,,49,49,19864,,,,,,19864,, 
00771,元大US高息特別股,,,,1,1,3556,,,,,,3556,, 
00775B,新光投等債15+,,,,,,58025,,,,,,58025,,X 
00783,富邦中証500,,,,383,383,1757,,,,,,1757,, 
00830,國泰費城半導體,189,184,1,5050,5054,186241,1,6,,274,279,186241,6, 
00850,元大臺灣ESG永續,,,,16,16,103861,,,,,,103861,, 
00851,台新全球AI,,,,2,2,1381,,,,,,1381,, 
00852L,國泰美國道瓊正2,1,,,37,38,2216,,,,56,56,2216,, 
00861,元大全球未來通訊,,,,22,22,17103,,,,,,17103,, 
00865B,國泰US短期公債,,,,,,68561,,,,,,68561,, 
00875,國泰網路資安,,,,4,4,3372,,,,,,3372,, 
00876,元大全球5G,2,23,,32,11,18756,,,,,,18756,, 
00878,國泰永續高股息,71,79,5,2561,2548,4585947,,,,38,38,4585947,5, 
00881,國泰台灣科技龍頭,63,83,1,1242,1221,593350,,,,9,9,593350,, 
00882,中信中國高股息,59,70,,3295,3284,509587,,,,,,509587,12, 
00885,富邦越南,13,53,,556,516,154934,,,,140,140,154934,, 
00891,中信關鍵半導體,184,406,,4209,3987,413272,9,1,,39,31,413272,1, 
00892,富邦台灣半導體,94,883,,1863,1074,72573,1,,,2,1,72573,, 
00893,國泰智能電動車,1,,,67,68,91221,,,,23,23,91221,, 
00894,中信小資高價30,5,1,,594,598,37127,17,,,29,12,37127,, 
00895,富邦未來車,,,,69,69,37354,,,,11,11,37354,, 
00896,中信綠能及電動車,5,50,,1624,1579,98845,,,,,,98845,, 
00897,富邦基因免疫生技,15,,,478,493,36003,,,,1,1,36003,, 
00898,國泰基因免疫革命,32,,,593,625,36994,,,,,,36994,2, 
00899,FT潔淨能源,,1,,64,63,4283,,,,,,4283,, 
00900,富邦特選高股息30,,35,,327,292,413381,,,,4,4,413381,, 
00901,永豐智能車供應鏈,,,,1,1,15837,,,,,,15837,, 
00902,中信電池及儲能,68,3,,2320,2385,56624,,10,,40,50,56624,, 
00903,富邦元宇宙,,,,20,20,12555,,,,,,12555,, 
00904,新光臺灣半導體30,16,5,,688,699,42028,,,,1,1,42028,, 
00905,FT臺灣Smart,9,2,,298,305,86331,,,,,,86331,, 
00907,永豐優息存股,,4,,148,144,40783,,,,,,40783,, 
00908,富邦入息REITs+,,,,,,8854,,,,,,8854,, 
00909,國泰數位支付服務,65,3,,1039,1101,27051,4,1,,21,18,27051,, 
00910,第一金太空衛星,30,140,,3221,3111,32734,,,,7,7,32734,, 
00911,兆豐洲際半導體,2,1,,157,158,5600,,,,,,5600,, 
00912,中信臺灣智慧50,,,,44,44,14563,,,,,,14563,, 
00913,兆豐台灣晶圓製造,31,128,,1143,1046,10191,,,,,,10191,1, 
00915,凱基優選高股息30,3,,,30,33,132245,,,,,,132245,, 
00916,國泰全球品牌50,6,18,,875,863,33354,,,20,52,32,33354,, 
00917,中信特選金融,,,,87,87,15619,,,,,,15619,, 
00918,大華優利高填息30,92,251,,5897,5738,885816,,,,12,12,885816,, 
00919,群益台灣精選高息,114,307,17,8723,8513,4518908,,1,,103,104,4518908,1, 
00920,富邦ESG綠色電力,,,,26,26,5070,,,,,,5070,, 
00921,兆豐龍頭等權重,,,,1,1,13942,,,,,,13942,, 
00922,國泰台灣領袖50,65,107,,1388,1346,522171,,,,46,46,522171,, 
00923,群益台ESG低碳50,,,,180,180,212730,,,,1,1,212730,, 
00924,復華S&P500成長,1,,,110,111,110900,,,,,,110900,, 
00926,凱基全球菁英55,,,,27,27,22370,,,,,,22370,, 
00927,群益半導體收益,1799,602,2,13461,14656,265349,,1,,4,5,265349,3, 
00929,復華台灣科技優息,222,309,,3899,3812,1137284,,,,,,1137284,6, 
00930,永豐ESG低碳高息,,1,,21,20,33569,,,,,,33569,, 
00932,兆豐永續高息等權,,,,2,2,30945,,,,,,30945,, 
00934,中信成長高股息,22,24,,693,691,102506,,,,,,102506,, 
00935,野村臺灣新科技50,123,628,1,5919,5413,191001,1,1,,102,102,191001,, 
00936,台新永續高息中小,,,,10,10,51824,,,,,,51824,, 
00938,凱基優選30,,2,,6,4,23379,,,,,,23379,, 
00939,統一台灣高息動能,1,15,,204,190,300619,,,,,,300619,, 
00940,元大台灣價值高息,52,20,,1319,1351,1383966,,,,,,1383966,,X 
00941,中信上游半導體,4,7,,262,259,111072,,,,3,3,111072,, 
00943,兆豐電子高息等權,,1,,27,26,10472,,,,,,10472,, 
00944,野村趨勢動能高息,,,,8,8,14020,,,,,,14020,, 
00945B,凱基美國非投等債,6,,,331,337,205579,,,,,,205579,, 
00946,群益科技高息成長,51,64,,608,595,118061,,,,,,118061,, 
00947,台新臺灣IC設計,159,247,,7941,7853,68466,1,1,,5,5,68466,12, 
00949,復華日本龍頭,2,,,105,107,44607,,,,,,44607,, 
00951,台新日本半導體,35,30,,1188,1193,51135,3,1,,15,13,51135,, 
00952,凱基台灣AI50,,4,,477,473,60943,,,,,,60943,, 
00953B,群益優選非投等債,1,6,,101641,101636,1072668,,,,,,1072668,, 
00954,中信日本半導體,132,18,,1560,1674,28186,,1,,1,2,28186,1, 
00956,中信日經高股息,3,,,85,88,8532,,,,,,8532,, 
00960,野村全球航運龍頭,5,21,,141,125,16248,,,,,,16248,, 
00961,FT臺灣永續高息,279,292,7,1935,1915,70752,,,,,,70752,16, 
00962,台新AI優息動能,,54,,131,77,13855,,,,,,13855,, 
00963,中信全球高股息,,,,11,11,24483,,,,,,24483,, 
00964,中信亞太高股息,1,2,,97,96,17031,,,,,,17031,, 
00965,元大航太防衛科技,3,29,,1748,1722,112123,,1,,47,48,112123,, 
00971,野村美國研發龍頭,8,,,15,23,15044,,,,,,15044,, 
00972,野村日本動能高息,,,,3,3,4793,,,,,,4793,, 
009800,中信NASDAQ,,18,,1629,1611,72472,,,,9,9,72472,, 
009801,中信美國創新科技,,,,20,20,25029,,,,,,25029,, 
009802,富邦旗艦50,73,8,,1817,1882,133498,,,,19,19,133498,1, 
009803,玉山市值動能50,1,11,,388,378,41582,,,,,,41582,, 
009804,聯邦台精彩50,116,2,,261,375,32348,,,,,,32348,, 
009805,新光美國電力基建,73,61,16,16090,16086,161454,,,,,,161454,, 
009808,華南永昌優選50,,,,87,87,10127,,,,,,10127,, 
009809,富邦淨零ESG50,,,,6,6,7715,,,,,,7715,, 
00980A,主動野村臺灣優選,117,14,,2737,2840,175932,,,,5,5,175932,2, 
009810,玉山全球藍籌100,,1,,3,2,4788,,,,,,4788,, 
009811,統一美國50,,1,,56,55,64987,,,,35,35,64987,, 
009812,野村日本東證,1,,,2,3,25095,,,,,,25095,, 
009813,貝萊德標普卓越50,1,,,72,73,91706,,,,,,91706,, 
009816,凱基台灣TOP50,2055,585,5,34472,35937,2624211,4,11,,1020,1027,2624211,14, 
009817,國泰日本不動產,1,5,,104,100,62234,,,,,,62234,, 
009818,華南永昌NASDAQxT,,,,15,15,13788,,,,,,13788,, 
009819,中信數據及電力,45,20,,5828,5853,173061,,,,,,173061,, 
00981A,主動統一台股增長,8111,3922,273,140255,144171,2287677,747,930,,2993,3176,2287677,212, 
00981T,平衡凱基雙核收息,,1,,130,129,48815,,,,,,48815,, 
009820,元大納斯達克精選,4,,,3491,3495,339675,,,,,,339675,, 
009821,野村稀土關鍵資源,526,1065,16,17048,16493,185960,,,,1,1,185960,, 
009824,群益美國科技巨頭,55,714,,4689,4030,180336,,,,,,180336,, 
00982A,主動群益台灣強棒,233,334,,7630,7529,536984,1,3,,155,157,536984,48, 
00982D,主動富邦動態入息,,,,122,122,18432,,,,,,18432,, 
00982T,平衡兆豐台美動能,,,,,,4649,,,,,,4649,, 
00983A,主動中信ARK創新,2,2,,511,511,27296,,,,7,7,27296,, 
00983D,主動富邦複合收益,,,,74,74,25549,,,,,,25549,, 
00984A,主動安聯台灣高息,397,46,,748,1099,129989,,,,,,129989,, 
00984D,主動聯博全球非投,51,13,,6243,6281,129764,,,,,,129764,, 
00985A,主動野村台灣50,11,20,,1637,1628,117072,1,,,53,52,117072,, 
00985B,群益ESG投等債0-5,,,,270,270,153250,,,,,,153250,, 
00986A,主動台新龍頭成長,23,,,102,125,10581,,,,,,10581,, 
00987A,主動台新優勢成長,55,34,,2182,2203,42660,3,3,,15,15,42660,, 
00988A,主動統一全球創新,4137,1940,18,69668,71847,754359,16,294,,209,487,754359,25, 
00989A,主動摩根美國科技,,,,267,267,19029,,,,,,19029,, 
00990A,主動元大AI新經濟,1647,880,38,19832,20561,581630,4,8,,234,238,581630,5, 
00991A,主動復華未來50,9292,2982,150,117633,123793,924229,64,13,,1407,1356,924229,49, 
00992A,主動群益科技創新,1447,510,,29320,30257,585613,72,2,,255,185,585613,7, 
00993A,主動安聯台灣,84,80,,1654,1658,197147,,,,29,29,197147,, 
00994A,主動第一金台股優,79,626,,7147,6600,74172,,3,,,3,74172,5, 
00995A,主動中信台灣卓越,52,91,,1911,1872,74383,,3,,11,14,74383,, 
00996A,主動兆豐台灣豐收,294,140,,7205,7359,80474,,3,,6,9,80474,, 
00997A,主動群益美國增長,327,391,10,13894,13820,303469,,,,,,303469,55, 
00999A,主動野村臺灣高息,33,27,3,3168,3171,308754,,,,,,308754,, 
1101,台泥,867,218,10,34054,34693,1880795,5,,,16,11,1880795,, 
1102,亞泥,32,27,2,1107,1110,886640,1,,,8,7,886640,, 
1103,嘉泥,,7,,4300,4293,208218,,,,,,208218,, 
1104,環泥,5,4,,1545,1546,171670,,,,,,171670,, 
1108,幸福,21,10,,375,386,101184,,,,,,101184,, 
1109,信大,3,4,,284,283,85289,,,,,,85289,, 
1110,東泥,58,3,,2783,2838,143000,,,,,,143000,,X 
1201,味全,66,6,,1660,1720,126515,,,,,,126515,, 
1203,味王,,,,1,1,60000,,,,,,60000,, 
1210,大成,8,63,,757,702,223691,1,,,6,5,223691,, 
1213,大飲,,,,,,,,,,,,,,OX 
1215,卜蜂,7,1,,344,350,73697,,,,3,3,73697,, 
1216,統一,52,60,,799,791,1420503,,2,,6,8,1420503,, 
1217,愛之味,71,5,,762,828,123628,,,,1,1,123628,, 
1218,泰山,16,5,,1681,1692,124999,1,1,,119,119,124999,, 
1219,福壽,150,137,,636,649,85309,,,,4,4,85309,, 
1220,台榮,2,,19,955,938,44269,,,,,,44269,, 
1225,福懋油,6,2,,6946,6950,60567,3,9,,9,15,60567,, 
1227,佳格,14,84,,1018,948,228772,,,,,,228772,, 
1229,聯華,45,53,,2836,2828,448990,,,,,,448990,,X 
1231,聯華食,6,1,,234,239,74613,,,,,,74613,, 
1232,大統益,18,1,,8,25,39993,,,,,,39993,, 
1233,天仁,,,,19,19,22647,,,,,,22647,, 
1234,黑松,,,,15,15,100467,,,,,,100467,, 
1235,興泰,295,95,,985,1185,47144,,,,,,47144,, 
1236,宏亞,12,12,,295,295,21668,,,,,,21668,,X 
1256,鮮活果汁-KY,61,20,,403,444,8943,,,,,,8943,,X 
1301,台塑,2874,6572,,29799,26101,1591435,174,26,,583,435,1591435,31, 
1303,南亞,2064,3471,3,32749,31339,1982705,,,,,,1982705,,X 
1304,台聚,2135,2752,,13985,13368,297190,60,4,,296,240,297190,2, 
1305,華夏,548,616,,8410,8342,145262,13,27,,47,61,145262,7, 
1307,三芳,106,118,,1323,1311,99454,,2,,,2,99454,10, 
1308,亞聚,1439,2966,,9374,7847,148435,24,5,,39,20,148435,13, 
1309,台達化,1430,3258,,10715,8887,99396,153,,,447,294,99396,68, 
1310,台苯,2951,6799,,17680,13832,131967,12,43,,122,153,131967,63, 
1312,國喬,3156,4476,2,20664,19342,276655,605,2137,,3640,5172,276655,13, 
1313,聯成,1340,4005,,13469,10804,337711,134,,,323,189,337711,151, 
1314,中石化,18765,22581,2,77646,73828,946212,772,668,,1541,1437,946212,134, 
1315,達新,,,,22,22,24774,,,,,,24774,, 
1316,上曜,207,123,20,10916,10980,93986,2,,,34,32,93986,1, 
1319,東陽,93,244,,7314,7163,147869,9,,,213,204,147869,1, 
1321,大洋,1,12,,7293,7282,56807,,,,,,56807,, 
1323,永裕,2,15,,111,98,22818,,,,,,22818,, 
1324,地球,18,,,1362,1380,18780,,,,,,18780,, 
1325,恆大,12,5,10,2012,2009,21320,,,,10,10,21320,, 
1326,台化,8871,16267,3,34569,27170,1465296,216,30,,786,600,1465296,76, 
1337,再生-KY,166,316,,21521,21371,67238,,,,,,67238,, 
1338,廣華-KY,6,4,,3787,3789,20960,,,,,,20960,,X 
1339,昭輝,7,,,863,870,18534,,,,,,18534,, 
1340,勝悅-KY,14,34,,1075,1055,38230,,,,,,38230,, 
1342,八貫,27,77,,714,664,19500,,,,,,19500,, 
1402,遠東新,262,395,,8697,8564,1338218,2,,,63,61,1338218,3, 
1409,新纖,9243,14028,,30407,25622,404602,580,236,,706,362,404602,156, 
1410,南染,4,,,317,321,15500,,,,,,15500,, 
1413,宏洲,,,,,,,,,,,,,,OX 
1414,東和,84,4,,1039,1119,49500,,,,,,49500,, 
1416,廣豐,26,21,,3542,3547,46335,,,,,,46335,2, 
1417,嘉裕,54,104,2,1666,1614,47485,,,,,,47485,10, 
1418,東華,16,,,748,764,11708,,,,,,11708,, 
1419,新紡,108,18,,1129,1219,75010,,,,,,75010,, 
1423,利華,,,,98,98,24912,,,,,,24912,, 
1432,大魯閣,20,1,,122,141,22500,,,,40,40,22500,, 
1434,福懋,3068,1480,,5122,6710,421166,1,6,,6,11,421166,2, 
1435,中福,,,,,,,,,,,,,,OX 
1436,華友聯,10,,,987,997,48537,,,,5,5,48537,, 
1437,勤益控,26,33,,1970,1963,50467,,,,,,50467,, 
1438,三地開發,1,4,,176,173,22801,,,,,,22801,, 
1439,雋揚,,,8,1059,1051,23000,,,,,,23000,, 
1440,南紡,960,861,,5370,5469,414203,,,,2,2,414203,14, 
1441,大東,,,,,,,,,,,,,,OX 
1442,名軒,2,72,,3099,3029,91552,,,,8,8,91552,, 
1443,立益物流,,,,31,31,33835,,,,,,33835,, 
1444,力麗,,,,582,582,,,,,,,,,OX 
1445,大宇,30,7,,1365,1388,32666,,,,1,1,32666,, 
1446,宏和,70,33,1,1893,1929,34427,,,,,,34427,,X 
1447,力鵬,,5,17,1013,991,,,,,,,,,OX 
1449,佳和,477,50,13,3041,3455,31778,,5,,3,8,31778,2, 
1451,年興,10,1,,623,632,49500,,,,,,49500,, 
1452,宏益,33,7,,73,99,33160,,,,,,33160,, 
1453,大將,,1,,1072,1071,28310,,,,,,28310,, 
1454,台富,,1,,2178,2177,32458,,,,,,32458,, 
1455,集盛,1187,1611,,4063,3639,132922,,84,,,84,132922,165, 
1456,怡華,30,11,,818,837,23430,,,,,,23430,, 
1457,宜進,44,24,,759,779,79182,,,,1,1,79182,, 
1459,聯發,,33,,508,475,89657,,,,,,89657,, 
1460,宏遠,,,,,,,,,,,,,,OX 
1463,強盛新,20,45,,507,482,43317,,,,,,43317,, 
1464,得力,58,88,,2162,2132,106393,,,,1,1,106393,, 
1465,偉全,253,227,,3309,3335,25901,,,,,,25901,, 
1466,聚隆,302,1338,5,4286,3245,27789,,10,,7,17,27789,1, 
1467,南緯,622,766,,5898,5754,42052,1,,,22,21,42052,, 
1468,昶和,,,,,,,,,,,,,,OX 
1470,大統新創,,,,6,6,21441,,,,,,21441,, 
1471,首利,,,,,,,,,,,,,,OX 
1472,三洋實業,,1,,3903,3902,8747,,,,2,2,8747,, 
1473,台南,,1,,854,853,36538,,,,,,36538,, 
1474,弘裕,109,200,,3467,3376,32474,,,,,,32474,1, 
1475,業旺,,1,,447,446,16504,,,,,,16504,, 
1476,儒鴻,11,33,1,1018,995,68591,2,,,18,16,68591,, 
1477,聚陽,119,79,,1785,1825,61673,,1,,6,7,61673,, 
1503,士電,294,315,1,3635,3613,130243,6,,,38,32,130243,1, 
1504,東元,827,1669,,32415,31573,594110,9,17,,38,46,594110,8, 
1506,正道,,,,,,,,,,,,,,OX 
1512,瑞利,,,,,,,,,,,,,,OX 
1513,中興電,576,643,,9202,9135,125778,,,,,,125778,,X 
1514,亞力,1459,853,,6980,7586,68277,,2,,121,123,68277,2, 
1515,力山,1439,1119,,4093,4413,45368,24,74,,270,320,45368,14, 
1516,川飛,,,,2,2,,,,,,,,,OX 
1517,利奇,115,62,,1648,1701,55000,,,,,,55000,, 
1519,華城,176,170,3,3947,3950,78970,3,1,1,22,19,78970,1, 
1521,大億,,,,439,439,19057,,,,,,19057,, 
1522,堤維西,31,16,,4392,4407,78224,,,,16,16,78224,, 
1524,耿鼎,40,4,,4504,4540,41327,,,,21,21,41327,, 
1525,江申,1,,,233,234,18350,,,,,,18350,, 
1526,日馳,10,59,,641,592,15000,,,,,,15000,, 
1527,鑽全,19,8,,581,592,34642,,,,,,34642,, 
1528,恩德,112,89,,7551,7574,47832,12,5,,119,112,47832,, 
1529,樂事綠能,43,92,,3310,3261,38773,,,,1,1,38773,, 
1530,亞崴,1,,,297,298,23648,,,,,,23648,, 
1531,高林股,19,,,1654,1673,45527,,,,1,1,45527,, 
1532,勤美,30,6,,2714,2738,105651,,,,,,105651,, 
1533,車王電,1,13,,543,531,24636,,,,9,9,24636,, 
1535,中宇,,,,66,66,30935,,,,,,30935,, 
1536,和大,220,371,2,8810,8657,69739,15,13,,242,240,69739,, 
1537,廣隆,,1,,60,59,20515,,,,,,20515,, 
1538,正峰,,,,,,,,,,,,,,OX 
1539,巨庭,7,19,,1327,1315,16342,,,,,,16342,, 
1540,喬福,41,35,,1714,1720,21368,,,,1,1,21368,, 
1541,錩泰,1,1,,117,117,19700,,,,,,19700,, 
1558,伸興,15,1,,283,297,16133,,,,,,16133,, 
1560,中砂,79,52,,1522,1549,37518,2,,88,133,43,37518,, 
1563,巧新,467,820,,6366,6013,56402,3,,,6,3,56402,1, 
1568,倉佑,48,41,,5634,5641,25771,7,3,,7,3,25771,, 
1582,信錦,44,27,,4845,4862,36067,5,,,13,8,36067,1, 
1583,程泰,,,,90,90,27350,,,,,,27350,, 
1587,吉茂,112,33,,2024,2103,20013,,,,3,3,20013,, 
1589,永冠-KY,,,,802,802,,,,,,,,,OX!
1590,亞德客-KY,15,6,,140,149,49999,,,,1,1,49999,, 
1597,直得,151,152,1,4249,4247,22315,3,2,,37,36,22315,, 
1598,岱宇,2,19,,2169,2152,44785,,,,,,44785,, 
1603,華電,9,4,,2120,2125,47922,,,,2,2,47922,1, 
1604,聲寶,61,40,,231,252,96050,,,,,,96050,, 
1605,華新,2079,1283,2,56427,57221,1107833,7,161,,527,681,1107833,139, 
1608,華榮,310,350,,8047,8007,158193,,,,3,3,158193,5, 
1609,大亞,2454,1355,,12870,13969,196315,12,167,,43,198,196315,3, 
1611,中電,72,67,,3237,3242,80683,,,,8,8,80683,, 
1612,宏泰,10,24,,1851,1837,79020,,,,,,79020,, 
1614,三洋電,1,,,366,367,67278,,,,,,67278,, 
1615,大山,11,5,,166,172,49165,,,,,,49165,, 
1616,億泰,95,77,,3146,3164,48537,,,,,,48537,,X 
1617,榮星,593,449,,2598,2742,42378,101,5,,144,48,42378,485, 
1618,合機,109,63,,3847,3893,48172,,1,,2,3,48172,1, 
1626,艾美特-KY,44,27,,1668,1685,37455,,,,,,37455,, 
1702,南僑,50,23,,327,354,73533,,,,,,73533,, 
1707,葡萄王,4,3,,337,338,37034,,,,,,37034,, 
1708,東鹼,703,995,13,8728,8423,62250,1,8,10,249,246,62250,4, 
1709,和益,1341,516,,4396,5221,119254,,,,2,2,119254,6, 
1710,東聯,1367,2193,,11414,10588,221425,42,93,,183,234,221425,10, 
1711,永光,1540,1151,,22006,22395,136938,2,29,,794,821,136938,26, 
