股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00400A,主動國泰動能高息,1603,605,87,9577,10488,435785,,,,,,435785,,X 
00401A,主動摩根台灣鑫收,8,11,,1133,1130,60223,,,,2,2,60223,, 
00402A,主動安聯美國科技,68,55,,3518,3531,196281,,,,1,1,196281,, 
00403A,主動統一升級50,7809,7182,36,102189,102780,3875004,235,128,,1490,1383,3875004,58, 
00404A,主動聯博動能50,217,44,,2322,2495,83823,,,,,,83823,1, 
00405A,主動富邦台灣龍耀,1762,735,,19008,20035,672186,29,,,181,152,672186,55, 
00406A,主動中信台灣收益,680,25,5,4662,5312,184140,,,,13,13,184140,, 
00407A,主動凱基台灣,2859,1519,10,41705,43035,628184,6,,,11,5,628184,, 
0050,元大台灣50,351,503,25,13215,13038,5213875,23,26,,1074,1077,5213875,35, 
0051,元大中型100,,,,3,3,6125,,,,,,6125,, 
0052,富邦科技,700,370,4,12184,12510,643000,6,7,,77,78,643000,7, 
0053,元大電子,,,,11,11,1372,,,,,,1372,, 
0055,元大MSCI金融,13,4,,229,238,22538,,,,,,22538,, 
0056,元大高股息,786,861,21,7691,7595,3429383,1,2,,94,95,3429383,2, 
0057,富邦摩台,,,,,,381,,,,,,381,, 
0061,元大寶滬深,,,,16,16,24529,,,,,,24529,, 
006203,元大MSCI台灣,,,,,,2554,,,,,,2554,, 
006204,永豐臺灣加權,,,,,,375,,,,,,375,, 
006205,富邦上証,,,,50,50,23984,,,,1,1,23984,, 
006206,元大上證50,,,,8,8,6944,,,,,,6944,, 
006207,復華滬深,,,,2,2,5223,,,,,,5223,, 
006208,富邦台50,10,48,,345,307,457385,,,,16,16,457385,, 
00631L,元大台灣50正2,8696,16461,25,236652,228862,1636587,1385,1894,,17725,18234,1636587,932, 
00632R,元大台灣50反1,9383,5587,193,283142,286745,604801,836,496,4,6674,6330,604801,219, 
00633L,富邦上証正2,74,12,,7433,7495,29739,6,7,,665,666,29739,58, 
00634R,富邦上証反1,1,10,4,2091,2078,11814,,,,,,11814,, 
00635U,期元大S&P黃金,187,147,,6967,7007,75878,7,2,,288,283,75878,2, 
00636,國泰中國A50,,,,120,120,24706,,,,,,24706,, 
00637L,元大滬深300正2,342,418,40,86085,85969,191276,281,37,,8742,8498,191276,35, 
00638R,元大滬深300反1,,,,719,719,6112,,,,4,4,6112,, 
00639,富邦深100,30,6,,522,546,24725,,,,7,7,24725,2, 
00640L,富邦日本正2,,7,,236,229,1854,,,,48,48,1854,, 
00641R,富邦日本反1,118,,,10108,10226,18939,9,,,507,498,18939,, 
00642U,期元大S&P石油,123,31,,5851,5943,26580,6,,,1511,1505,26580,, 
00643,群益深証中小,,,,887,887,18125,,,,,,18125,, 
00645,富邦日本,,,,20,20,10999,,,,,,10999,, 
