股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00400A,主動國泰動能高息,336,916,,15650,15070,384785,,60,,2,62,384785,3, 
00401A,主動摩根台灣鑫收,5,107,,900,798,65848,,,,,,65848,, 
00403A,主動統一升級50,11364,11715,138,198929,198440,4448754,3781,899,,4096,1214,4448754,270, 
0050,元大台灣50,759,416,1,9344,9686,4695000,124,18,,1318,1212,4695000,3, 
0051,元大中型100,2,,,50,52,6125,,,,,,6125,, 
0052,富邦科技,898,321,1,9946,10522,626500,38,2,,119,83,626500,1, 
0053,元大電子,2,,,7,9,1247,,,,,,1247,, 
0055,元大MSCI金融,33,40,,69,62,20288,,,,,,20288,, 
0056,元大高股息,111,513,11,2920,2507,3436758,18,4,,110,96,3436758,1, 
0057,富邦摩台,,,,,,381,,,,,,381,, 
0061,元大寶滬深,,,,137,137,25904,,,,,,25904,, 
006203,元大MSCI台灣,,,,,,2554,,,,,,2554,, 
006204,永豐臺灣加權,,,,,,375,,,,,,375,, 
006205,富邦上証,,,,9,9,25359,,,,1,1,25359,, 
006206,元大上證50,1,,,12,13,7319,,,,,,7319,, 
006207,復華滬深,,,,5,5,5598,,,,,,5598,, 
006208,富邦台50,25,16,,260,269,460135,,,,31,31,460135,, 
00631L,元大台灣50正2,14640,7000,8,134576,142208,1114212,2397,697,1,14598,12897,1114212,428, 
00632R,元大台灣50反1,8186,14812,31,294291,287634,574051,26,279,,4927,5180,574051,1051, 
00633L,富邦上証正2,112,100,,7431,7443,35239,66,7,,897,838,35239,, 
00634R,富邦上証反1,1,,,1866,1867,11814,,,,23,23,11814,, 
00635U,期元大S&P黃金,89,82,,4865,4872,73503,1,,,270,269,73503,, 
00636,國泰中國A50,,1,,38,37,26831,,,,,,26831,, 
00637L,元大滬深300正2,4504,659,,81190,85035,205276,426,7,,11481,11062,205276,219, 
00638R,元大滬深300反1,,,,920,920,6862,,,,4,4,6862,, 
00639,富邦深100,40,8,,587,619,28100,,,,7,7,28100,, 
00640L,富邦日本正2,1,20,,650,631,2354,,,,78,78,2354,, 
00641R,富邦日本反1,605,136,,7882,8351,18689,10,,,507,497,18689,, 
00642U,期元大S&P石油,59,495,,6637,6201,26205,17,36,,3679,3698,26205,, 
