股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00643,群益深証中小,43,5,,1007,1045,20393,,,,,,20393,, 
00645,富邦日本,,,,29,29,12749,,,,,,12749,, 
00646,元大S&P500,,,,141,141,136996,,,,2,2,136996,, 
00647L,元大S&P500正2,,,,26,26,1604,,,,,,1604,, 
00648R,元大S&P500反1,429,7,,9501,9923,36672,,,,155,155,36672,, 
00650L,復華香港正2,51,997,,15786,14840,30334,4,47,,1587,1630,30334,44, 
00651R,復華香港反1,,1,,1960,1959,8298,14,,,332,318,8298,, 
00652,富邦印度,,,,39,39,17008,,,,,,17008,, 
00653L,富邦印度正2,4,13,,2806,2797,4600,1,,,8,7,4600,, 
00654R,富邦印度反1,3,97,,730,636,5116,,,,71,71,5116,, 
00655L,國泰中國A50正2,54,34,,2235,2255,18114,,,,357,357,18114,, 
00656R,國泰中國A50反1,5,1,,232,236,5089,,,,,,5089,, 
00657,國泰日經225,,,,,,1646,,,,,,1646,, 
00660,元大歐洲50,,,,8,8,2007,,,,,,2007,, 
00661,元大日經225,,,,12,12,5981,,,,,,5981,, 
00662,富邦NASDAQ,2,14,,936,924,188007,,,,2,2,188007,, 
00663L,國泰臺灣加權正2,316,206,1,5630,5739,28165,126,62,,1994,1930,28165,9, 
00664R,國泰臺灣加權反1,3622,1449,,107353,109526,196018,,4,,426,430,196018,105, 
00665L,富邦恒生國企正2,192,1223,,77690,76659,114866,6,8,,1577,1579,114866,70, 
00666R,富邦恒生國企反1,,1,,540,539,3781,,,,12,12,3781,, 
00668,國泰美國道瓊,,,,74,74,2883,,,,,,2883,, 
00669R,國泰美國道瓊反1,556,10,,14880,15426,52154,3,,,189,186,52154,, 
00670L,富邦NASDAQ正2,24,135,,1385,1274,18786,2,9,,230,237,18786,, 
00671R,富邦NASDAQ反1,33,26,1,134754,134760,136721,42,,,2627,2585,136721,2,O 
00673R,期元大S&P原油反1,3665,1300,54,111102,113413,211762,307,1,,597,291,211762,, 
00674R,期元大S&P黃金反1,,,,115,115,,,,,,,,,OX 
00675L,富邦臺灣加權正2,112,51,,1533,1594,27071,11,8,,575,572,27071,1, 
00676R,富邦臺灣加權反1,730,1005,,21548,21273,43208,,16,,288,304,43208,14, 
00678,群益那斯達克生技,,,,11,11,1987,,,,,,1987,, 
00680L,元大美債20正2,2886,476,700,83530,85240,472019,1,12,,273,284,472019,, 
00681R,元大美債20反1,,,,18,18,1898,,,,,,1898,, 
00682U,期元大美元指數,,,,3,3,1911,,,,,,1911,, 
00683L,期元大美元指正2,,,,134,134,2858,,,,1,1,2858,, 
00684R,期元大美元指反1,,,,21,21,2422,,,,,,2422,, 
00685L,群益臺灣加權正2,75,13,4,375,433,10034,4,7,,18,21,10034,1, 
00686R,群益臺灣加權反1,393,752,,18854,18495,44569,,6,,23,29,44569,, 
00688L,國泰20年美債正2,827,657,1,37094,37263,198153,,,,20,20,198153,, 
00689R,國泰20年美債反1,,,,1,1,1722,,,,,,1722,, 
00690,兆豐藍籌30,4,1,,81,84,20207,,,,,,20207,, 
00692,富邦公司治理,,,,59,59,155320,,,,,,155320,, 
00693U,期街口S&P黃豆,893,575,,3778,4096,24916,,4,,8,12,24916,, 
00700,富邦恒生國企,,,,179,179,8995,,,,,,8995,, 
00701,國泰股利精選30,1,,,91,92,45472,,,,,,45472,, 
00702,國泰標普低波高息,,,,,,1672,,,,,,1672,, 
00703,台新MSCI中國,,,,2,2,2512,,,,,,2512,, 
00706L,期元大S&P日圓正2,94,10,,2713,2797,39567,,,,48,48,39567,, 
00707R,期元大S&P日圓反1,,,,,,1463,,,,,,1463,,X 
00708L,期元大S&P黃金正2,320,125,1,9435,9629,27393,4,6,,730,732,27393,3, 
00709,富邦歐洲,,,,2,2,3990,,,,,,3990,, 
00710B,復華彭博非投等債,,,,13,13,45815,,,,,,45815,, 
00711B,復華彭博新興債,,,,3,3,218065,,,,,,218065,, 
00712,復華富時不動產,167,20,1,14732,14878,1228377,20,,,89,69,1228377,, 
00713,元大台灣高息低波,4,15,,123,112,476878,,,,4,4,476878,, 
00714,群益道瓊美國地產,,,,3,3,5516,,,,,,5516,, 
00715L,期街口布蘭特正2,723,1038,,10262,9947,21297,47,19,,6851,6823,21297,24, 
00717,富邦美國特別股,,,,2,2,34901,,,,,,34901,, 
00728,第一金工業30,,,,,,9855,,,,,,9855,, 
00730,富邦臺灣優質高息,,,,37,37,18636,,,,,,18636,, 
00731,復華富時高息低波,2,,,6,8,6275,,,,,,6275,, 
00733,富邦臺灣中小,2,3,,49,48,18366,,2,,,2,18366,, 
00735,國泰臺韓科技,42,111,20,1951,1862,16947,3,5,,32,34,16947,, 
00736,國泰新興市場,,,,,,1681,,,,,,1681,, 
00737,國泰AI機器人,,,,54,54,5634,,,,,,5634,, 
00738U,期元大道瓊白銀,325,395,20,12006,11916,63574,2,10,,362,370,63574,3, 
00739,元大MSCI A股,,,,,,6497,,,,,,6497,, 
00752,中信中國50,2,,2,612,612,76554,,,,6,6,76554,, 
00753L,中信中國50正2,306,1825,,103542,102023,180414,,68,,1213,1281,180414,10, 
00757,統一FANG+,2,11,,415,406,74248,,,,13,13,74248,, 
00762,元大全球AI,,,,60,60,12062,,,,,,12062,, 
00763U,期街口道瓊銅,60,50,,1973,1983,13641,,,,104,104,13641,, 
00770,國泰北美科技,,1,,25,24,20739,,,,,,20739,, 
00771,元大US高息特別股,,,,,,3556,,,,,,3556,,X 
00775B,新光投等債15+,,,,,,58025,,,,,,58025,,X 
00783,富邦中証500,,,,452,452,2632,,,,,,2632,, 
00830,國泰費城半導體,370,170,,2917,3117,164866,28,5,,272,249,164866,1, 
00850,元大臺灣ESG永續,9,,2,33,40,104236,,,,,,104236,,X 
00851,台新全球AI,,,,1,1,1506,,,,,,1506,, 
00852L,國泰美國道瓊正2,1,40,,173,134,2216,,,,78,78,2216,, 
00861,元大全球未來通訊,1,,,12,13,17228,,,,,,17228,, 
00865B,國泰US短期公債,,,,354,354,58811,,,,,,58811,, 
00875,國泰網路資安,,,,1,1,3372,,,,,,3372,, 
00876,元大全球5G,1,,,7,8,18506,,,,,,18506,, 
00878,國泰永續高股息,324,1325,,6892,5891,4735947,,3,,,3,4735947,61, 
00881,國泰台灣科技龍頭,77,33,8,991,1027,588475,,,,39,39,588475,1, 
00882,中信中國高股息,10,35,,1950,1925,511837,,,,2,2,511837,, 
00885,富邦越南,5,12,,831,824,164809,,5,,168,173,164809,, 
00891,中信關鍵半導體,934,546,1,12165,12552,461522,,14,,,14,461522,13, 
00892,富邦台灣半導體,9,191,15,618,421,67198,,,,,,67198,, 
00893,國泰智能電動車,4,1,,100,103,93971,,,,23,23,93971,, 
00894,中信小資高價30,17,22,,937,932,38127,,,,,,38127,, 
00895,富邦未來車,1,17,,102,86,38854,,,,12,12,38854,, 
00896,中信綠能及電動車,171,3,,353,521,67845,,,,,,67845,4, 
00897,富邦基因免疫生技,,,,17,17,38378,,,,,,38378,, 
00898,國泰基因免疫革命,,,,23,23,40119,,,,,,40119,, 
00899,FT潔淨能源,1,2,,47,46,4158,,,,,,4158,, 
00900,富邦特選高股息30,12,38,,270,244,453631,,,,,,453631,22, 
00901,永豐智能車供應鏈,,,,10,10,16337,,,,,,16337,, 
00902,中信電池及儲能,12,47,,1194,1159,59874,3,,,40,37,59874,, 
00903,富邦元宇宙,,,,8,8,13555,,,,,,13555,, 
00904,新光臺灣半導體30,25,5,,924,944,43028,,,,1,1,43028,, 
00905,FT臺灣Smart,15,1,,172,186,83456,,,,,,83456,, 
00907,永豐優息存股,,,,29,29,46408,,,,,,46408,, 
00908,富邦入息REITs+,,,,,,9229,,,,,,9229,, 
00909,國泰數位支付服務,55,40,,1348,1363,35801,,4,,64,68,35801,4, 
00910,第一金太空衛星,146,262,,1577,1461,23109,,,,4,4,23109,2, 
00911,兆豐洲際半導體,6,23,,137,120,4600,,,,,,4600,, 
00912,中信臺灣智慧50,1,2,,5,4,14813,,,,,,14813,, 
00913,兆豐台灣晶圓製造,,5,,42,37,5066,,,,,,5066,, 
00915,凱基優選高股息30,18,1,,104,121,153370,,,,,,153370,2, 
00916,國泰全球品牌50,,,,2,2,15604,,,,,,15604,, 
00917,中信特選金融,1,83,,171,89,15994,,,,,,15994,, 
00918,大華優利高填息30,106,19,15,1971,2043,792066,,,,83,83,792066,, 
00919,群益台灣精選高息,1117,208,89,7395,8215,4428283,,25,,78,103,4428283,2, 
00920,富邦ESG綠色電力,1,,,51,52,4820,,,,,,4820,, 
00921,兆豐龍頭等權重,,,,,,15442,,,,,,15442,, 
00922,國泰台灣領袖50,23,,,1005,1028,492046,3,,,70,67,492046,, 
00923,群益台ESG低碳50,2,9,,543,536,212355,,,,7,7,212355,, 
00924,復華S&P500成長,,2,,85,83,113650,,,,,,113650,, 
00926,凱基全球菁英55,,,,24,24,21870,,,,,,21870,, 
00927,群益半導體收益,224,51,4,3042,3211,188724,,2,,14,16,188724,1, 
00929,復華台灣科技優息,440,122,1,2428,2745,1180659,,,,,,1180659,, 
00930,永豐ESG低碳高息,3,2,1,23,23,37319,,,,,,37319,,X 
00932,兆豐永續高息等權,,,,5,5,39820,,,,,,39820,, 
00934,中信成長高股息,,102,,492,390,102381,,,,,,102381,10, 
00935,野村臺灣新科技50,237,62,1,2779,2953,144501,3,1,,66,64,144501,4, 
00936,台新永續高息中小,,2,,11,9,64324,,,,,,64324,, 
00938,凱基優選30,1,,,50,51,20379,,,,,,20379,, 
00939,統一台灣高息動能,,6,,86,80,314244,,,,,,314244,, 
00940,元大台灣價值高息,6,135,,1156,1027,1488716,,,,,,1488716,6, 
00941,中信上游半導體,17,20,,200,197,114447,,,,1,1,114447,, 
00943,兆豐電子高息等權,,1,,5,4,10722,,,,,,10722,, 
00944,野村趨勢動能高息,,,,2,2,14770,,,,,,14770,, 
00945B,凱基美國非投等債,,20,,957,937,216829,,,,,,216829,, 
00946,群益科技高息成長,4,46,50,605,513,124436,,,,,,124436,, 
00947,台新臺灣IC設計,294,399,3,2621,2513,47091,6,8,,16,18,47091,5, 
00949,復華日本龍頭,2,2,,144,144,49107,,,,,,49107,, 
00951,台新日本半導體,75,5,,1403,1473,59760,,,,2,2,59760,, 
00952,凱基台灣AI50,36,21,,668,683,57318,,,,,,57318,, 
00953B,群益優選非投等債,31,910,,72418,71539,1106293,,,,,,1106293,, 
00954,中信日本半導體,86,28,,1135,1193,25311,,2,,,2,25311,, 
00956,中信日經高股息,,,,96,96,8657,,,,,,8657,, 
00960,野村全球航運龍頭,,,,63,63,17373,,,,,,17373,, 
00961,FT臺灣永續高息,4,90,,774,688,43252,,,,,,43252,, 
00962,台新AI優息動能,,,,95,95,12105,,,,,,12105,, 
00963,中信全球高股息,,,,11,11,22233,,,,,,22233,, 
00964,中信亞太高股息,5,,,64,69,16156,,,,,,16156,, 
00965,元大航太防衛科技,1,7,,3500,3494,130498,1,,,53,52,130498,, 
00971,野村美國研發龍頭,,,,60,60,17544,,,,,,17544,, 
00972,野村日本動能高息,,,,11,11,5043,,,,,,5043,, 
009800,中信NASDAQ,2,46,,1450,1406,72722,,,,9,9,72722,, 
009801,中信美國創新科技,,,,95,95,29279,,,,2,2,29279,, 
009802,富邦旗艦50,33,138,,2510,2405,131373,,6,,5,11,131373,, 
009803,玉山市值動能50,28,17,,128,139,32832,,,,,,32832,, 
009804,聯邦台精彩50,,23,,120,97,29723,,,,,,29723,, 
009805,新光美國電力基建,166,197,,18347,18316,177954,4,,,5,1,177954,, 
009808,華南永昌優選50,10,,,71,81,10627,,,,,,10627,, 
009809,富邦淨零ESG50,,,,4,4,8840,,,,,,8840,, 
00980A,主動野村臺灣優選,143,83,,4695,4755,192557,,53,,,53,192557,1, 
009810,玉山全球藍籌100,,,,,,4913,,,,,,4913,, 
009811,統一美國50,,,,126,126,73237,,,,35,35,73237,, 
009812,野村日本東證,,,,54,54,27970,,,,,,27970,, 
009813,貝萊德標普卓越50,,3,,254,251,112331,,,,,,112331,, 
009816,凱基台灣TOP50,605,1673,5,29946,28873,2147961,30,43,1,548,560,2147961,5, 
009817,國泰日本不動產,,1,,150,149,70984,,,,,,70984,, 
009818,華南永昌NASDAQxT,,,,4,4,15788,,,,,,15788,, 
009819,中信數據及電力,579,108,50,4467,4888,165686,1,,,1,,165686,, 
00981A,主動統一台股增長,7375,10675,201,187100,183599,2272677,532,918,,3910,4296,2272677,186, 
00981T,平衡凱基雙核收息,1,2,,26,25,44065,,,,,,44065,, 
009820,元大納斯達克精選,20,183,,1943,1780,449800,,,,200,200,449800,, 
00982A,主動群益台灣強棒,1257,944,,15703,16016,586109,,29,,,29,586109,26, 
00982D,主動富邦動態入息,5,,,130,135,20807,,,,,,20807,, 
00982T,平衡兆豐台美動能,,,,,,4774,,,,,,4774,, 
00983A,主動中信ARK創新,14,14,,869,869,54421,,,,6,6,54421,, 
00983D,主動富邦複合收益,,,,54,54,26299,,,,,,26299,, 
00984A,主動安聯台灣高息,42,3,,635,674,113239,,,,,,113239,, 
00984D,主動聯博全球非投,67,2,,3723,3788,56014,,,,,,56014,, 
00985A,主動野村台灣50,88,102,,2032,2018,129947,,17,,67,84,129947,, 
00985B,群益ESG投等債0-5,,,,277,277,128375,,,,,,128375,, 
00986A,主動台新龍頭成長,,3,,53,50,10831,,,,,,10831,, 
00987A,主動台新優勢成長,78,25,,3198,3251,49660,,8,,19,27,49660,4, 
00988A,主動統一全球創新,15660,6796,,69437,78301,499984,273,990,750,31243,31210,499984,12, 
00989A,主動摩根美國科技,,22,,154,132,21029,,,,,,21029,, 
00990A,主動元大AI新經濟,1090,3734,,12650,10006,452630,77,124,,170,217,452630,15, 
00991A,主動復華未來50,4422,3547,25,57748,58598,660104,49,162,,475,588,660104,66, 
00992A,主動群益科技創新,2240,5269,6,56880,53845,720738,81,205,,750,874,720738,30, 
00993A,主動安聯台灣,68,105,1,2017,1979,223397,7,15,,39,47,223397,2, 
00994A,主動第一金台股優,173,224,2,8556,8503,79172,5,,,8,3,79172,, 
00995A,主動中信台灣卓越,31,114,,2014,1931,81758,2,,,13,11,81758,, 
00996A,主動兆豐台灣豐收,144,229,,2961,2876,83474,15,23,,19,27,83474,, 
00997A,主動群益美國增長,436,1416,15,8358,7363,246344,,1,,2,3,246344,, 
00999A,主動野村臺灣高息,230,272,38,10864,10784,407129,,21,,2,23,407129,, 
1101,台泥,494,382,3,31094,31203,1880795,6,1,,87,82,1880795,3, 
1102,亞泥,5,69,,1387,1323,886640,,,,13,13,886640,, 
1103,嘉泥,2,3,,4132,4131,197561,,,,,,197561,, 
1104,環泥,3,2,,1042,1043,171670,,,,,,171670,, 
1108,幸福,,40,,798,758,101184,,,,,,101184,, 
1109,信大,4,,,307,311,85289,,,,,,85289,, 
1110,東泥,2,5,,2779,2776,143000,,,,,,143000,, 
1201,味全,2,14,,1280,1268,126515,2,,,2,,126515,, 
1203,味王,,1,,7,6,60000,,,,,,60000,, 
1210,大成,7,27,,1900,1880,223691,,,,,,223691,, 
1213,大飲,,,,,,,,,,,,,,OX 
1215,卜蜂,5,24,,281,262,73697,,,,,,73697,, 
1216,統一,6,150,,1081,937,1420503,,,,10,10,1420503,, 
1217,愛之味,,20,,1263,1243,123628,,,,,,123628,, 
1218,泰山,2,51,,1607,1558,124999,,,,,,124999,, 
1219,福壽,2,1,,1118,1119,85309,,,,,,85309,, 
1220,台榮,10,,7,1146,1149,44269,,,,,,44269,, 
1225,福懋油,,,,7140,7140,60567,,,,,,60567,, 
1227,佳格,4,2,26,1000,976,228772,,,,11,11,228772,, 
1229,聯華,48,6,27,2885,2900,448990,,41,,5,46,448990,, 
1231,聯華食,,,,264,264,74613,,,,,,74613,, 
1232,大統益,,,,4,4,39993,,,,,,39993,, 
1233,天仁,,,,57,57,22647,,,,,,22647,, 
1234,黑松,3,2,,25,26,100467,,,,,,100467,, 
1235,興泰,,,20,713,693,47144,,,,,,47144,, 
1236,宏亞,5,3,,194,196,21668,,,,,,21668,, 
1256,鮮活果汁-KY,3,4,,344,343,8943,,,,,,8943,, 
1301,台塑,588,444,24,18426,18546,1591435,1,2,,235,236,1591435,1, 
1303,南亞,2478,3573,2,42823,41726,1982705,77,431,,2686,3040,1982705,187, 
1304,台聚,298,168,20,12661,12771,297190,1,1,,124,124,297190,1, 
1305,華夏,109,225,13,7528,7399,145262,24,16,,269,261,145262,8, 
1307,三芳,31,6,,1679,1704,99454,,,,1,1,99454,, 
1308,亞聚,68,127,,8093,8034,148435,2,15,,8,21,148435,, 
1309,台達化,701,937,19,9286,9031,99396,15,28,,1410,1423,99396,5, 
1310,台苯,101,81,,11482,11502,131967,,1,,5,6,131967,, 
1312,國喬,128,219,,16114,16023,276655,10,,,16,6,276655,11, 
1313,聯成,305,200,,11253,11358,337711,,,,2,2,337711,, 
1314,中石化,509,308,,47180,47381,946212,3,1,,14,12,946212,6, 
1315,達新,,,,60,60,24774,,,,,,24774,, 
1316,上曜,204,170,50,11013,10997,93986,1,1,,17,17,93986,10, 
1319,東陽,99,94,4,5012,5013,147869,,19,,5,24,147869,, 
1321,大洋,26,31,,7096,7091,56807,,,,,,56807,, 
1323,永裕,57,5,,115,167,22818,,,,,,22818,, 
1324,地球,1,2,,1459,1458,18780,,,,,,18780,, 
1325,恆大,62,251,,2603,2414,21320,23,13,,40,30,21320,, 
1326,台化,617,344,,16668,16941,1465296,6,,,63,57,1465296,10, 
1337,再生-KY,1,1,,20922,20922,67238,,,,,,67238,, 
1338,廣華-KY,131,9,,2384,2506,20960,1,,,1,,20960,, 
1339,昭輝,,5,,643,638,18534,,,,,,18534,, 
1340,勝悅-KY,,,,968,968,38230,,,,,,38230,, 
1342,八貫,12,10,,529,531,19500,,,,,,19500,, 
1402,遠東新,293,301,,9643,9635,1338218,,,,228,228,1338218,, 
1409,新纖,118,470,4,10062,9706,404602,,,,3,3,404602,, 
1410,南染,,,,317,317,15500,,,,,,15500,, 
1413,宏洲,,,,,,,,,,,,,,OX 
1414,東和,73,82,,1016,1007,49500,,,,,,49500,, 
1416,廣豐,30,20,,3798,3808,46335,,,,,,46335,, 
1417,嘉裕,10,,,1534,1544,47485,,,,,,47485,, 
1418,東華,,,,718,718,11708,,,,,,11708,, 
1419,新紡,18,19,,1217,1216,75010,,,,3,3,75010,, 
1423,利華,,1,,69,68,24912,,,,,,24912,, 
1432,大魯閣,13,,,109,122,22500,,,,,,22500,, 
1434,福懋,4,33,,2598,2569,421166,,,,,,421166,, 
1435,中福,,,,,,,,,,,,,,OX!
1436,華友聯,,2,,903,901,48537,,,,11,11,48537,, 
1437,勤益控,,1,,1968,1967,50467,,,,30,30,50467,, 
1438,三地開發,1,,,61,62,22801,,,,,,22801,, 
1439,雋揚,,143,,1206,1063,23000,,,,7,7,23000,, 
1440,南紡,105,24,,4974,5055,414203,,,,,,414203,, 
1441,大東,,,,,,,,,,,,,,OX 
1442,名軒,20,33,,3121,3108,91552,,,,9,9,91552,, 
1443,立益物流,,,,35,35,33835,,,,,,33835,, 
1444,力麗,,,,1015,1015,,,,,,,,,OX 
1445,大宇,,,,1303,1303,32666,,,,,,32666,, 
1446,宏和,6,,,2262,2268,34427,,,,,,34427,, 
1447,力鵬,,62,,2493,2431,,,,,,,,,OX 
1449,佳和,45,24,4,3910,3927,31778,,,,,,31778,1, 
1451,年興,10,,,612,622,49500,,,,,,49500,, 
1452,宏益,3,3,,103,103,33160,,,,,,33160,, 
1453,大將,1,1,,1312,1312,28310,,,,,,28310,, 
1454,台富,,,,2091,2091,32458,,,,,,32458,, 
1455,集盛,,68,,2717,2649,132922,12,,,26,14,132922,, 
1456,怡華,2,,,317,319,23430,,,,,,23430,, 
1457,宜進,1,1,,603,603,79182,,,,,,79182,, 
1459,聯發,,1,,370,369,89657,,,,,,89657,, 
1460,宏遠,,,,,,,,,,,,,,OX 
1463,強盛新,,,,248,248,43317,,,,,,43317,, 
1464,得力,,8,,2005,1997,106393,,,,,,106393,, 
1465,偉全,23,18,,3335,3340,25901,,,,,,25901,, 
1466,聚隆,5,3,,4698,4700,27789,,,,1,1,27789,, 
1467,南緯,58,1,,4658,4715,42052,,,,,,42052,, 
1468,昶和,,,,,,,,,,,,,,OX 
1470,大統新創,,,,6,6,21441,,,,,,21441,, 
1471,首利,,,,,,,,,,,,,,OX 
1472,三洋實業,,5,,4149,4144,8747,,,,,,8747,, 
1473,台南,4,5,,819,818,36538,,,,,,36538,, 
1474,弘裕,,3,,3352,3349,32474,,,,,,32474,, 
1475,業旺,1,,,361,362,16504,,,,,,16504,, 
1476,儒鴻,84,4,,661,741,68591,,1,,3,4,68591,, 
1477,聚陽,37,12,,1436,1461,61673,1,12,,9,20,61673,, 
1503,士電,76,35,,2894,2935,130243,,1,,24,25,130243,, 
1504,東元,187,265,2,27501,27421,594110,22,3,,102,83,594110,1, 
1506,正道,,,,,,,,,,,,,,OX 
1512,瑞利,,,,,,,,,,,,,,OX 
1513,中興電,76,113,4,8915,8874,125778,,3,,18,21,125778,5, 
1514,亞力,153,85,1,7299,7366,68277,3,401,,191,589,68277,, 
1515,力山,7,2,,1967,1972,45368,,1,,2,3,45368,, 
1516,川飛,,,,18,18,,,,,,,,,OX 
1517,利奇,88,3,,1311,1396,55000,1,,,1,,55000,, 
1519,華城,82,67,6,3325,3334,78970,11,1,,50,40,78970,1, 
1521,大億,,,,421,421,19057,,,,,,19057,, 
1522,堤維西,43,10,,4629,4662,78224,,1,,29,30,78224,, 
1524,耿鼎,24,40,50,4658,4592,41327,10,,,17,7,41327,, 
1525,江申,1,,,249,250,18350,,,,,,18350,, 
1526,日馳,14,64,,622,572,15000,,,,,,15000,, 
1527,鑽全,,,,545,545,34642,,,,1,1,34642,, 
1528,恩德,431,364,,10272,10339,47832,7,11,,338,342,47832,6, 
1529,樂事綠能,17,28,2,3428,3415,38773,,,,,,38773,2, 
1530,亞崴,,,,133,133,23648,,,,,,23648,, 
1531,高林股,13,13,2,1925,1923,45527,,,,1,1,45527,, 
1532,勤美,26,13,5,2418,2426,105651,,,,,,105651,, 
1533,車王電,31,33,,741,739,24636,,,,,,24636,, 
1535,中宇,,,,49,49,30935,,,,,,30935,, 
1536,和大,96,175,,8720,8641,69739,15,18,,203,206,69739,, 
1537,廣隆,2,3,,33,32,20515,,,,,,20515,, 
1538,正峰,,,,,,,,,,,,,,OX 
1539,巨庭,4,1,,1219,1222,16342,,,,,,16342,, 
1540,喬福,17,26,,1883,1874,21368,,,,,,21368,, 
1541,錩泰,1,3,,115,113,19700,,,,,,19700,, 
1558,伸興,,,,294,294,16133,,,,,,16133,, 
1560,中砂,62,47,1,1902,1916,37441,4,10,,73,79,37441,, 
1563,巧新,12,24,,1067,1055,56402,,,,,,56402,, 
1568,倉佑,15,17,,3122,3120,25771,1,,,1,,25771,, 
1582,信錦,2228,1387,,7718,8559,36067,1,85,,48,132,36067,24, 
1583,程泰,2,1,,31,32,27350,,,,,,27350,, 
1587,吉茂,9,20,,2906,2895,20013,1,,,4,3,20013,, 
1589,永冠-KY,,,38,1776,1738,,,,,,,,,OX!
1590,亞德客-KY,3,12,1,182,172,49999,,,,1,1,49999,, 
1597,直得,455,380,,7185,7260,22315,18,6,,202,190,22315,425, 
1598,岱宇,12,7,,2162,2167,44785,2,,,7,5,44785,, 
1603,華電,23,2,,2331,2352,47922,,,,68,68,47922,, 
1604,聲寶,,,,261,261,96050,,,,,,96050,, 
1605,華新,1448,2460,11,50187,49164,1107833,134,7,,346,219,1107833,11, 
1608,華榮,107,40,,8451,8518,158193,,,,,,158193,1, 
1609,大亞,73,221,6,13731,13577,196315,,,,17,17,196315,, 
1611,中電,17,2,23,3464,3456,80683,1,,,2,1,80683,, 
1612,宏泰,7,9,,1394,1392,79020,,,,1,1,79020,1, 
1614,三洋電,,,,356,356,67278,,,,,,67278,, 
1615,大山,,2,,150,148,49165,,,,5,5,49165,, 
1616,億泰,45,7,,3555,3593,48537,2,2,,7,7,48537,, 
1617,榮星,,2,,1223,1221,42378,,,,,,42378,, 
1618,合機,19,10,6,3989,3992,48172,,,,4,4,48172,6, 
1626,艾美特-KY,2,,,2570,2572,37455,1,,,1,,37455,, 
1702,南僑,2,2,2,404,402,73533,,,,1,1,73533,, 
1707,葡萄王,,,,225,225,37034,,,,4,4,37034,, 
1708,東鹼,134,239,1,5633,5527,62250,25,,,37,12,62250,1, 
1709,和益,19,14,,1761,1766,119254,1,,,1,,119254,, 
1710,東聯,222,110,,7650,7762,221425,10,,,10,,221425,, 
1711,永光,546,929,5,24703,24315,136938,40,57,,1683,1700,136938,30, 
1712,興農,7,,,411,418,105123,,,,,,105123,, 
1713,國化,2,9,,3095,3088,37737,,,,,,37737,, 
1714,和桐,305,300,,6977,6982,247956,,,,5,5,247956,20, 
1717,長興,820,1789,9,30421,29443,293061,52,671,,420,1039,293061,17, 
1718,中纖,212,133,33,12597,12643,421476,4,,,9,5,421476,5, 
1720,生達,3,19,,390,374,44674,,,,,,44674,5, 
1721,三晃,,,,129,129,,,,,,,,,OX 
1722,台肥,45,218,,4107,3934,245000,,,,1,1,245000,, 
1723,中碳,8,68,,888,828,59226,,,,,,59226,, 
1725,元禎,,4,8,278,266,45457,,,,,,45457,, 
1726,永記,,,,8,8,40500,,,,,,40500,, 
