股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
2432,倚天酷碁-創,,,,281,281,15465,,,,,,15465,, 
2433,互盛電,,,,9,9,36124,,,,,,36124,, 
2434,統懋,2,,,23,25,2377,,,,,,2377,, 
2436,偉詮電,281,561,1,9432,9151,50023,13,88,,2319,2394,50023,6, 
2438,翔耀,,,,,,,,,,,,,,OX 
2439,美律,36,89,1,3565,3511,63456,,,,6,6,63456,, 
2440,太空梭,158,62,,820,916,25916,1,,,2,1,25916,, 
2441,超豐,847,611,1,12691,12926,142211,6,10,,2084,2088,142211,5, 
2442,新美齊,37,85,4,5416,5364,79113,,,,,,79113,, 
2444,兆勁,,,,,,,,,,,,,,OX 
2449,京元電子,1658,1003,13,23222,23864,305686,42,25,,129,112,305686,15, 
2450,神腦,1,,,92,93,64563,,,,4,4,64563,, 
2451,創見,172,391,6,4803,4578,107673,6,9,,93,96,107673,2, 
2453,凌群,9,16,1,2568,2560,25000,,,,1,1,25000,, 
2454,聯發科,1400,488,4,9389,10297,400976,10,3,19,122,96,400976,745, 
2455,全新,2119,746,,6933,8306,46301,238,281,6,1020,1057,46301,35, 
2457,飛宏,57,56,1,12343,12343,106193,2,3,,39,40,106193,, 
2458,義隆,458,223,,3004,3239,75970,17,13,,27,23,75970,1, 
2459,敦吉,3,,,128,131,26398,,,,,,26398,, 
2460,建通,,1,,366,365,,,,,,,,,OX 
2461,光群雷,6,18,,3974,3962,47971,,1,,8,9,47971,, 
2462,良得電,24,7,,2577,2594,30486,,,,5,5,30486,, 
2464,盟立,3074,3831,2,16026,15267,51587,187,95,59,1496,1345,51587,17, 
2465,麗臺,28,85,,2025,1968,17236,1,,,13,12,17236,, 
2466,冠西電,9,14,,5064,5059,40952,,,,15,15,40952,2, 
2467,志聖,197,87,,2104,2214,39188,6,2,5,67,58,39188,3, 
2468,華經,28,36,,3492,3484,17490,,,,10,10,17490,, 
2471,資通,6,5,,1431,1432,11813,,,,,,11813,, 
2472,立隆電,1404,2396,,9376,8384,41183,12,147,,94,229,41183,7, 
2474,可成,59,48,1,6043,6053,140342,1,,,7,6,140342,, 
2476,鉅祥,682,352,,27566,27896,54724,1,6,,23,28,54724,2, 
2477,美隆電,,11,1,1294,1282,39643,,,,46,46,39643,, 
2478,大毅,1420,814,,4439,5045,36182,1,140,,142,281,36182,29, 
2480,敦陽科,,,,443,443,26590,,,,,,26590,, 
2481,強茂,4189,3108,2,17629,18708,95528,100,93,2,854,845,95528,65, 
2482,連宇,10,1,29,2125,2105,19470,,,,,,19470,, 
2483,百容,16,11,5,367,367,26972,,,,,,26972,, 
2484,希華,905,1665,1,12227,11466,39855,2,110,,50,158,39855,53, 
2485,兆赫,1721,2235,2,20835,20319,79422,524,36,,1778,1290,79422,88, 
2486,一詮,72,275,,19047,18844,58580,,,8,8,,58580,,X 
2488,漢平,,1,,575,574,19999,,,,,,19999,, 
2489,瑞軒,5179,3579,2,49969,51567,152500,15,142,,297,424,152500,153, 
2491,吉祥全,28,9,,1598,1617,20502,5,,,14,9,20502,2, 
2492,華新科,1757,1264,4,14142,14631,121451,103,69,,815,781,121451,1797, 
2493,揚博,134,80,,7400,7454,31699,,1,,5,6,31699,1, 
2495,普安,801,546,6,9760,10009,68387,8,5,,27,24,68387,1, 
2496,卓越,,,,40,40,4775,,,,,,4775,, 
2497,怡利電,14,21,,3223,3216,29521,1,1,,2,2,29521,, 
2498,宏達電,1657,1378,10,31247,31516,209016,221,223,,950,952,209016,30, 
2501,國建,44,41,,5117,5120,289890,,,,1,1,289890,, 
2504,國產,155,18,2,3970,4105,295000,,,,1,1,295000,, 
2505,國揚,8,22,3,2808,2791,95000,,,,,,95000,, 
2506,太設,10,,,1909,1919,75125,,,,,,75125,, 
2509,全坤建,15,,,656,671,56137,,,,,,56137,, 
2511,太子,24,12,2,3500,3510,405831,,,,,,405831,, 
2514,龍邦,266,,,15835,16101,98682,,,,,,98682,, 
2515,中工,223,233,,30274,30264,401976,2,7,,46,51,401976,, 
2516,新建,,,,,,,,,,,,,,OX 
2520,冠德,10,28,,4213,4195,152371,,,,168,168,152371,, 
2524,京城,,2,,3188,3186,91495,,,,1,1,91495,, 
2527,宏璟,2,13,,3279,3268,67576,,,,1,1,67576,, 
2528,皇普,5,,2,5765,5768,108999,,25,,,25,108999,, 
2530,華建,152,12,,5449,5589,210313,,,,2,2,210313,, 
2534,宏盛,5,4,,12337,12338,118556,,,,,,118556,, 
2535,達欣工,1,29,,345,317,67698,,,,5,5,67698,, 
2536,宏普,68,20,,6881,6929,83202,,,,,,83202,, 
2537,聯上發,7,8,5,3360,3354,75139,,,,,,75139,, 
2538,基泰,1,22,,2566,2545,111256,,,,,,111256,, 
2539,櫻花建,21,9,,2947,2959,298275,,,,22,22,298275,, 
2540,愛山林,8,13,,2947,2942,236218,1,2,,13,14,236218,1, 
2542,興富發,127,251,,9259,9135,543270,1,2,,262,263,543270,, 
2543,皇昌,25,161,6,12702,12560,132135,,3,,88,91,132135,, 
2545,皇翔,5,2,2,2838,2839,94933,1,,,2,1,94933,, 
2546,根基,,,,73,73,32631,,,,,,32631,, 
2547,日勝生,8,,,12521,12529,258773,,1,,,1,258773,, 
2548,華固,27,13,,1214,1228,79929,,,,4,4,79929,, 
2597,潤弘,4,1,,1104,1107,77679,,,,10,10,77679,, 
2601,益航,,,,1035,1035,,,,,,,,,OX 
2603,長榮,1238,1339,19,13647,13527,541260,,22,,13,35,541260,7, 
2605,新興,294,288,1,10526,10531,146338,6,2,,18,14,146338,10, 
2606,裕民,80,211,,3822,3691,211263,,,,52,52,211263,, 
2607,榮運,4,2,,955,957,133392,,,,1,1,133392,, 
2608,嘉里大榮,,,,1270,1270,116750,,,,11,11,116750,, 
2609,陽明,779,628,15,35800,35936,873026,,5,,100,105,873026,21, 
2610,華航,779,60,16,51429,52132,1536247,8,7,,112,111,1536247,, 
2611,志信,1,1,,2120,2120,47250,,,,4,4,47250,, 
2612,中航,24,20,10,2047,2041,49371,,,,,,49371,, 
2613,中櫃,22,9,6,1985,1992,37105,,,,3,3,37105,, 
2614,東森,10,6,,5498,5502,81816,,,,3,3,81816,, 
2615,萬海,684,686,4,22693,22687,701536,8,15,,149,156,701536,25, 
2616,山隆,17,8,,453,462,34320,,,,2,2,34320,, 
2617,台航,24,10,,2068,2082,104323,,,,,,104323,, 
2618,長榮航,247,87,21,42374,42513,1350111,1,,,34,33,1350111,, 
2630,亞航,102,67,5,6027,6057,52359,10,,,10,,52359,1, 
2633,台灣高鐵,3,4,,2627,2626,657073,,,,,,657073,, 
2634,漢翔,142,193,80,22408,22277,235466,1,5,,6,10,235466,, 
2636,台驊控股,11,1,,728,738,35458,,,,1,1,35458,, 
2637,慧洋-KY,16,93,,4337,4260,186602,,14,2,413,425,186602,, 
2642,宅配通,5,4,,518,519,23866,,,,8,8,23866,, 
2645,長榮航太,42,48,4,3389,3379,93642,,,,,,93642,, 
2646,星宇航空,13,37,,3631,3607,752183,,,,35,35,752183,, 
2701,萬企,4,,,1038,1042,112491,,,,,,112491,, 
2702,華園,,,,422,422,39153,,,,,,39153,, 
2704,國賓,,,,212,212,91730,,,,,,91730,, 
2705,六福,10,,,546,556,46634,,,,,,46634,, 
2706,第一店,3,,,860,863,124999,,,,,,124999,, 
2707,晶華,4,2,,153,155,31850,,,,,,31850,, 
2712,遠雄來,,,,9,9,,,,,,,,,OX 
2722,夏都,1,,,365,366,35792,,,,,,35792,, 
2723,美食-KY,7,4,,2439,2442,45000,,,,2,2,45000,, 
2727,王品,7,1,,462,468,20735,,,,1,1,20735,, 
2731,雄獅,8,1,,886,893,23319,,1,,22,23,23319,, 
2739,寒舍,6,5,,1003,1004,22881,,,,,,22881,, 
2748,雲品,4,10,,917,911,26444,,,,,,26444,, 
2753,八方雲集,3,21,,698,680,16661,,,,,,16661,, 
2762,世界健身-KY,17,22,,226,221,28125,,,,,,28125,, 
2801,彰銀,459,1907,,16563,15115,2941511,,,,10,10,2941511,, 
2812,台中銀,164,9,11,5403,5547,1505406,,,,1,1,1505406,, 
2816,旺旺保,3,3,,305,305,55902,,,,,,55902,, 
2820,華票,51,10,,1000,1041,335740,,,,,,335740,, 
2832,台產,,,,377,377,63385,,,,,,63385,, 
2834,臺企銀,85,41,,8665,8709,2429515,,,,3,3,2429515,, 
2836,高雄銀,4,,,6000,6004,459979,,,,,,459979,, 
2838,聯邦銀,52,,,815,867,1085137,,,,4,4,1085137,, 
2845,遠東銀,256,21,,5707,5942,1216321,,,,28,28,1216321,, 
2849,安泰銀,10,,,89,99,223623,,,,,,223623,, 
2850,新產,3,4,,188,187,78990,,,,,,78990,, 
2851,中再保,119,29,,646,736,200097,,,,1,1,200097,1, 
2852,第一保,61,5,,418,474,75290,,,,,,75290,, 
2855,統一證,39,120,,4454,4373,400353,,,,65,65,400353,, 
2867,三商壽,,,,,,,,,,,,,,OX 
2880,華南金,9,3,,4051,4057,3479241,,,,,,3479241,, 
2881,富邦金,386,273,2,6136,6247,3501841,47,,,145,98,3501841,, 
2882,國泰金,92,79,2,3945,3956,3667302,2,3,400,1412,1013,3667302,, 
2883,凱基金,274,1298,10,15069,14035,4243711,2,3,1,23,23,4243711,, 
2884,玉山金,338,9,10,9933,10252,4043500,,,,4,4,4043500,, 
2885,元大金,30,37,,1457,1450,3332787,,,,35,35,3332787,, 
2886,兆豐金,45,12,,1058,1091,3708344,4,,,26,22,3708344,, 
2887,台新新光金,1100,1389,,48743,48454,6216599,,19,,980,999,6216599,2, 
2889,國票金,53,40,,1767,1780,908390,,,,4,4,908390,, 
2890,永豐金,329,20,,3477,3786,3623080,,,,11,11,3623080,, 
2891,中信金,107,927,2,3058,2236,4919454,,33,,158,191,4919454,4, 
2892,第一金,2272,207,,11100,13165,3594867,6,2,,7,3,3594867,6, 
2897,王道銀行,100,59,,2259,2300,701339,,1,,,1,701339,, 
2901,欣欣,,,,548,548,18260,,,,,,18260,, 
2903,遠百,2,,,1781,1783,354235,,,,,,354235,, 
2904,匯僑,,,,32,32,19458,,,,,,19458,, 
2905,三商,6,50,,9437,9393,277592,,,,,,277592,, 
2906,高林,5,,,608,613,52279,,,,,,52279,, 
2908,特力,174,143,,13927,13958,127471,,,,,,127471,, 
2910,統領,,,,5,5,43850,,,,,,43850,, 
2911,麗嬰房,,,,,,,,,,,,,,OX 
2912,統一超,45,1,,482,526,259905,,,,1,1,259905,, 
2913,農林,6,8,7,6754,6745,176687,10,1,,11,2,176687,, 
2915,潤泰全,67,83,2,9345,9327,276079,,9,,11,20,276079,, 
2929,淘帝-KY,12,9,,2060,2063,27373,,,,,,27373,, 
2939,永邑-KY,,,,215,215,11387,,,,,,11387,, 
3002,歐格,8,53,,2747,2702,25500,1,1,,10,10,25500,, 
3003,健和興,29,34,,3634,3629,38913,,,,11,11,38913,1, 
3004,豐達科,63,135,,2806,2734,16091,11,,,23,12,16091,2, 
3005,神基,78,337,5,5093,4829,156077,3,6,,12,15,156077,1, 
3006,晶豪科,2358,2596,,28374,28136,74531,244,87,,574,417,74531,99, 
3008,大立光,219,110,,1471,1580,33367,1,3,2,34,34,33367,93, 
3010,華立,57,94,2,1583,1544,64859,,,,,,64859,1, 
3011,今皓,18,47,,4297,4268,29304,,,,44,44,29304,, 
3013,晟銘電,215,199,5,11935,11946,51284,4,15,,24,35,51284,1, 
3014,聯陽,460,143,,2697,3014,41496,,2,,1,3,41496,2, 
3015,全漢,75,9,1,1623,1688,46815,,,,1,1,46815,1, 
3016,嘉晶,34,54,6,5993,5967,72135,5,3,1,206,203,72135,49, 
3017,奇鋐,119,74,2,4427,4470,98135,8,,,37,29,98135,1, 
3018,隆銘綠能,,,,6,6,,,,,,,,,OX 
3019,亞光,832,1053,1,14619,14397,69810,126,16,1,295,184,69810,16, 
3021,鴻名,,7,3,883,873,23722,,,,,,23722,, 
3022,威強電,23,26,,4820,4817,44149,,,,4,4,44149,, 
3023,信邦,152,109,2,1655,1696,60017,,2,,17,19,60017,5, 
3024,憶聲,213,127,,8822,8908,69289,,10,,57,67,69289,1, 
3025,星通,14,9,22,2326,2309,14184,,,,,,14184,1, 
3026,禾伸堂,5,687,,11371,10689,41472,11,26,,197,212,41472,305, 
3027,盛達,17,2,,4901,4916,28740,5,,,5,,28740,, 
3028,增你強,530,366,,3378,3542,59310,5,3,,34,32,59310,30, 
3029,零壹,58,28,1,3298,3327,38751,2,2,,9,9,38751,, 
3030,德律,275,465,9,10877,10678,59054,8,1,,146,139,59054,189, 
3031,佰鴻,319,165,,6553,6707,43300,20,5,,69,54,43300,4, 
3032,偉訓,64,113,2,8488,8437,25821,5,,,35,30,25821,4, 
3033,威健,3573,1701,,9833,11705,121318,54,892,,2337,3175,121318,139, 
3034,聯詠,94,74,5,3446,3461,152127,1,6,,20,25,152127,, 
3035,智原,633,489,11,19052,19185,65137,14,7,,159,152,65137,14, 
3036,文曄,1180,1048,,6648,6780,317287,13,21,38,398,368,317287,19, 
3037,欣興,603,415,1,37314,37501,393882,80,45,,248,213,393882,24, 
3038,全台,11,42,,1315,1284,39351,,,,,,39351,, 
3040,遠見,,6,,13885,13879,16556,,1,,7,8,16556,,@ 
3041,揚智,62,60,4,3523,3521,29268,,17,,10,27,29268,1, 
3042,晶技,2297,838,1,14452,15910,79498,5,4,,51,50,79498,15, 
3043,科風,70,77,2,1245,1236,9743,,,,,,9743,, 
3044,健鼎,134,131,,5632,5635,131401,3,1,,26,24,131401,1, 
3045,台灣大,179,77,,342,444,930815,95,,,95,,930815,, 
3046,建碁,13,19,,932,926,19612,,,,,,19612,, 
3047,訊舟,14,44,6,7120,7084,56190,1,1,,9,9,56190,, 
3048,益登,1443,922,160,9076,9437,61207,5,101,,117,213,61207,2, 
3049,精金,,,,,,,,,,,,,,OX 
3050,鈺德,44,5,8,4034,4065,38746,,,,,,38746,, 
3051,力特,19,54,,4718,4683,34159,,,,14,14,34159,, 
3052,夆典,6,5,,1475,1476,58311,,,,,,58311,, 
3054,立萬利,13,16,,922,919,20162,,,,2,2,20162,1, 
3055,蔚華科,897,822,,8522,8597,25610,171,173,,226,228,25610,26, 
3056,富華新,69,88,51,6352,6282,120138,,,,2,2,120138,, 
3057,喬鼎,,,,,,,,,,,,,,OX 
3058,立德,,,,1,1,,,,,,,,,OX 
3059,華晶科,380,270,1,11852,11961,76929,35,17,,48,30,76929,12, 
3060,銘異,28,131,5,7379,7271,34390,,,,56,56,34390,, 
3062,建漢,505,381,9,11790,11905,82522,,8,,148,156,82522,37, 
3090,日電貿,1747,796,,6062,7013,71891,25,664,,234,873,71891,31, 
3092,鴻碩,12,6,,2337,2343,26662,3,,,7,4,26662,1, 
3094,聯傑,972,293,,2507,3186,20779,4,40,,23,59,20779,6, 
3130,一零四,,,,4,4,8297,,,,,,8297,, 
3135,凌航,321,80,,1079,1320,23712,1,1,,66,66,23712,135, 
3138,耀登,215,219,2,3647,3641,14099,5,3,,21,19,14099,94, 
3149,正達,914,1994,1,25949,24868,53533,249,33,,2181,1965,53533,18, 
3150,鈺寶-創,2,,,218,220,11094,,,,,,11094,, 
3164,景岳,2,,,277,279,21502,,,,,,21502,, 
3167,大量,1229,350,,10209,11088,22503,28,72,,142,186,22503,10, 
3168,眾福科,,2,,35,33,18774,,,,,,18774,, 
3189,景碩,2749,3022,2,26400,26125,131731,95,44,,521,470,131731,68, 
3209,全科,466,539,,7599,7526,58847,5,19,,154,168,58847,10, 
3229,晟鈦,,,,,,,,,,,,,,OX 
3231,緯創,1222,595,24,54419,55022,795103,20,20,,390,390,795103,3, 
3257,虹冠電,30,109,,2521,2442,19955,,,,,,19955,,X 
3266,昇陽,16,37,,507,486,88078,,1,,,1,88078,, 
3296,勝德,,13,,1767,1754,24181,,,,,,24181,, 
3305,昇貿,839,1106,6,11996,11723,36161,8,32,,119,143,36161,7, 
3308,聯德,43,4,,637,676,15000,,,,1,1,15000,, 
3311,閎暉,13,3,,3263,3273,25000,,,,,,25000,, 
3312,弘憶股,204,109,2,5002,5095,45656,1,1,,15,15,45656,4, 
3321,同泰,,,,,,,,,,,,,,OX 
3338,泰碩,65,83,,4604,4586,21977,2,,,13,11,21977,, 
3346,麗清,30,5,,3661,3686,30307,,,,,,30307,, 
3356,奇偶,38,42,,1927,1923,19985,,,,66,66,19985,3, 
3376,新日興,301,345,8,11941,11889,48940,,3,,13,16,48940,1, 
3380,明泰,122,100,,6739,6761,135429,,2,,13,15,135429,, 
3406,玉晶光,68,92,2,2178,2152,28185,5,,,43,38,28185,, 
3413,京鼎,86,119,,3454,3421,27690,,,,4,4,27690,,X 
3416,融程電,35,27,,1147,1155,20123,,,,9,9,20123,, 
3419,譁裕,,2,,1522,1520,,,,,,,,,OX 
3432,台端,,,,,,,,,,,,,,OX 
3437,榮創,50,42,,3241,3249,36137,3,,,28,25,36137,, 
3443,創意,383,212,1,4519,4689,33502,2,2,,59,59,33502,8, 
3447,展達,6,18,4,2647,2631,19362,,,,19,19,19362,, 
3450,聯鈞,508,545,10,17261,17214,36420,36,29,,808,801,36420,238, 
3481,群創,29007,54747,103,415000,389157,1997299,2395,1350,7,16933,15881,1997299,1174, 
3494,誠研,,,,,,,,,,,,,,OX 
3501,維熹,2,,20,643,625,29564,,,,5,5,29564,, 
3504,揚明光,847,605,,2868,3110,28514,27,61,,115,149,28514,9, 
3515,華擎,49,19,1,2144,2173,30886,,,,7,7,30886,1, 
3518,柏騰,27,38,4,3725,3710,23440,,5,,50,55,23440,2, 
3528,安馳,80,66,,2553,2567,16659,,,,,,16659,, 
3530,晶相光,21,10,,1307,1318,19368,,,,2,2,19368,, 
3532,台勝科,12,105,2,5870,5775,96962,1,20,30,88,77,96962,1, 
