Date,Code,Name,PEratio,DividendYield,PBratio
1150706,1101,台泥,,3.38,0.76
1150706,1102,亞泥,12.27,6.29,0.73
1150706,1103,嘉泥,17.19,4.00,0.50
1150706,1104,環泥,10.76,6.72,0.76
1150706,1108,幸福,6.98,7.09,1.05
1150706,1109,信大,18.73,6.08,0.60
1150706,1110,東泥,49.69,1.89,0.96
1150706,1201,味全,33.42,1.65,0.83
1150706,1203,味王,24.94,2.33,1.57
1150706,1210,大成,13.93,5.10,1.96
1150706,1213,大飲,,,0.68
1150706,1215,卜蜂,12.18,6.19,3.15
1150706,1216,統一,21.03,3.86,3.05
1150706,1217,愛之味,21.25,2.45,0.68
1150706,1218,泰山,11.23,7.63,0.67
1150706,1219,福壽,26.28,4.05,0.91
1150706,1220,台榮,592.50,1.69,0.91
1150706,1225,福懋油,16.40,3.57,1.69
1150706,1227,佳格,20.99,4.37,1.46
1150706,1229,聯華,16.81,4.58,1.41
1150706,1231,聯華食,20.25,2.81,3.52
1150706,1232,大統益,17.23,4.83,3.80
1150706,1233,天仁,34.33,0.71,1.83
1150706,1234,黑松,19.97,4.95,0.73
1150706,1235,興泰,,2.71,0.59
1150706,1236,宏亞,,6.46,0.90
1150706,1256,鮮活果汁-KY,15.03,3.32,1.70
1150706,1301,台塑,,0.83,0.99
1150706,1303,南亞,80.09,0.43,3.82
1150706,1304,台聚,,1.02,0.90
1150706,1305,華夏,,0.71,1.07
1150706,1307,三芳,12.10,6.64,1.35
1150706,1308,亞聚,,1.29,0.83
1150706,1309,台達化,,0.96,1.08
1150706,1310,台苯,,,0.85
1150706,1312,國喬,,,0.56
1150706,1313,聯成,,0.74,0.63
1150706,1314,中石化,,,0.52
1150706,1315,達新,41.75,7.00,0.60
1150706,1316,上曜,,,0.86
1150706,1319,東陽,14.00,6.41,1.58
1150706,1321,大洋,,,1.22
1150706,1323,永裕,36.61,4.39,0.73
1150706,1324,地球,,,0.89
1150706,1325,恆大,,,0.83
1150706,1326,台化,450.67,0.89,1.06
1150706,1337,再生-KY,,,0.41
1150706,1338,廣華-KY,,1.76,0.24
1150706,1339,昭輝,10.74,5.50,0.83
1150706,1340,勝悅-KY,,,0.34
1150706,1341,富林-KY,14.14,6.93,2.57
1150706,1342,八貫,19.58,5.15,4.34
1150706,1402,遠東新,18.07,4.30,0.66
1150706,1409,新纖,22.41,2.98,1.16
1150706,1410,南染,48.52,0.76,1.55
1150706,1413,宏洲,22.62,,1.13
1150706,1414,東和,67.41,1.02,1.35
1150706,1416,廣豐,13.02,5.09,0.46
1150706,1417,嘉裕,20.22,2.75,0.74
1150706,1418,東華,,,0.85
1150706,1419,新紡,5.19,2.64,1.00
1150706,1423,利華,9.72,9.82,0.99
1150706,1432,大魯閣,2.81,13.07,1.03
1150706,1434,福懋,31.58,2.64,0.70
1150706,1435,中福,,,3.82
1150706,1436,華友聯,10.60,11.07,1.62
1150706,1437,勤益控,11.39,3.04,0.77
1150706,1438,三地開發,8.04,0.90,0.77
1150706,1439,雋揚,7.86,2.07,0.75
1150706,1440,南紡,,2.05,0.87
1150706,1441,大東,,,1.61
1150706,1442,名軒,14.64,8.36,1.30
1150706,1443,立益物流,24.00,,1.56
1150706,1444,力麗,,,0.93
1150706,1445,大宇,,4.15,0.76
1150706,1446,宏和,10.24,8.62,0.84
1150706,1447,力鵬,,,1.05
1150706,1449,佳和,,,0.82
1150706,1451,年興,19.61,5.73,0.47
1150706,1452,宏益,,1.67,0.60
1150706,1453,大將,105.00,2.60,0.91
1150706,1454,台富,,0.76,1.20
1150706,1455,集盛,,1.47,1.01
1150706,1456,怡華,4.14,,0.71
1150706,1457,宜進,16.15,6.80,0.67
1150706,1459,聯發,7.84,1.65,1.09
1150706,1460,宏遠,,,0.95
1150706,1463,強盛新,,0.73,1.17
1150706,1464,得力,30.00,2.25,0.86
1150706,1465,偉全,,2.20,0.90
1150706,1466,聚隆,,1.09,1.30
1150706,1467,南緯,,,0.75
1150706,1468,昶和,102.50,,1.36
1150706,1470,大統新創,24.94,3.00,1.89
1150706,1471,首利,,,1.14
1150706,1472,三洋實業,13.67,6.83,1.95
1150706,1473,台南,,2.40,0.77
1150706,1474,弘裕,45.00,2.31,0.64
1150706,1475,業旺,10.96,5.37,1.22
1150706,1476,儒鴻,15.63,4.64,3.22
1150706,1477,聚陽,16.61,6.52,4.36
1150706,1503,士電,35.99,2.07,3.31
1150706,1504,東元,32.49,2.74,2.04
1150706,1506,正道,150.71,,1.13
1150706,1512,瑞利,26.70,,1.05
1150706,1513,中興電,21.69,3.36,4.10
1150706,1514,亞力,36.88,1.74,5.24
1150706,1515,力山,43.62,1.40,2.00
1150706,1516,川飛,932.50,,3.65
1150706,1517,利奇,,1.76,0.74
1150706,1519,華城,53.13,1.55,29.64
1150706,1521,大億,36.97,2.86,1.09
1150706,1522,堤維西,98.55,3.93,1.04
1150706,1524,耿鼎,19.67,4.75,1.69
1150706,1525,江申,42.50,4.12,0.98
1150706,1526,日馳,,,0.67
1150706,1527,鑽全,37.25,4.42,0.96
1150706,1528,恩德,,,2.14
1150706,1529,樂事綠能,20.35,4.31,1.96
1150706,1530,亞崴,25.87,3.36,0.87
1150706,1531,高林股,,7.60,0.66
1150706,1532,勤美,20.17,3.39,0.66
1150706,1533,車王電,23.01,,1.54
1150706,1535,中宇,12.93,5.96,1.57
1150706,1536,和大,,,1.97
1150706,1537,廣隆,16.64,5.69,2.25
1150706,1538,正峰,,,2.75
1150706,1539,巨庭,402.50,,0.66
1150706,1540,喬福,24.52,4.39,1.29
1150706,1541,錩泰,9.52,,0.79
1150706,1558,伸興,16.51,5.39,1.13
1150706,1560,中砂,73.47,0.67,13.47
1150706,1563,巧新,161.36,2.82,1.88
1150706,1568,倉佑,27.99,2.67,2.09
1150706,1582,信錦,29.85,3.65,1.57
1150706,1583,程泰,17.99,1.99,0.96
1150706,1587,吉茂,70.24,,1.43
1150706,1590,亞德客-KY,30.32,2.10,5.45
1150706,1597,直得,127.31,0.46,5.52
1150706,1598,岱宇,,2.56,0.77
1150706,1603,華電,12.23,6.08,0.69
1150706,1604,聲寶,14.42,6.30,1.02
1150706,1605,華新,26.68,1.37,0.99
1150706,1608,華榮,6.42,5.65,1.54
1150706,1609,大亞,18.31,1.60,1.96
1150706,1611,中電,346.25,5.78,1.14
1150706,1612,宏泰,11.70,7.12,1.36
1150706,1614,三洋電,24.24,3.03,1.49
1150706,1615,大山,9.61,5.71,1.84
1150706,1616,億泰,19.23,5.75,1.97
1150706,1617,榮星,30.34,2.25,1.98
1150706,1618,合機,9.27,4.03,1.26
1150706,1623,大東電,18.98,3.40,3.88
1150706,1626,艾美特-KY,,,0.62
1150706,1702,南僑,47.01,4.73,0.71
1150706,1707,葡萄王,11.65,6.44,1.38
1150706,1708,東鹼,18.31,2.59,2.08
1150706,1709,和益,17.88,4.02,1.36
1150706,1710,東聯,,,1.49
1150706,1711,永光,,,3.14
1150706,1712,興農,16.09,6.27,2.14
1150706,1713,國化,11.05,6.26,1.85
1150706,1714,和桐,32.66,0.86,1.61
1150706,1717,長興,57.70,1.17,3.48
1150706,1718,中纖,63.33,,0.91
1150706,1720,生達,11.83,4.69,1.89
1150706,1721,三晃,,,3.34
1150706,1722,台肥,47.07,4.09,0.87
1150706,1723,中碳,34.31,2.17,2.45
1150706,1725,元禎,22.22,2.97,0.97
1150706,1726,永記,13.20,4.73,1.17
1150706,1727,中華化,274.32,0.15,6.16
1150706,1730,花仙子,11.06,5.86,1.50
1150706,1731,美吾華,14.89,5.85,1.25
1150706,1732,毛寶,29.56,2.26,2.29
1150706,1733,五鼎,16.62,4.30,1.66
1150706,1734,杏輝,19.65,4.73,1.82
1150706,1735,日勝化,30.06,2.67,1.52
1150706,1736,喬山,15.98,3.42,2.83
1150706,1737,臺鹽,16.08,4.38,0.93
1150706,1752,南光,15.96,4.94,1.39
1150706,1760,寶齡富錦,26.47,3.03,3.08
1150706,1762,中化生,,,0.98
1150706,1773,勝一,25.52,2.16,4.68
1150706,1776,展宇,41.12,2.98,1.41
1150706,1783,和康生,13.44,4.93,2.24
1150706,1786,科妍,32.00,3.51,2.19
1150706,1789,神隆,150.36,1.38,1.61
1150706,1795,美時,13.95,1.32,2.24
1150706,1802,台玻,522.31,,3.98
1150706,1805,寶徠,78.46,,0.84
1150706,1806,冠軍,60.86,1.76,0.63
1150706,1808,潤隆,11.75,4.76,2.05
1150706,1809,中釉,273.68,0.48,2.93
1150706,1810,和成,6.27,0.84,0.89
1150706,1817,凱撒衛,9.26,5.67,1.19
1150706,1903,士紙,38.84,,2.39
1150706,1904,正隆,19.59,1.88,0.89
1150706,1905,華紙,,,1.14
1150706,1906,寶隆,,,0.57
1150706,1907,永豐餘,20.50,3.48,0.61
1150706,1909,榮成,,,0.67
1150706,2002,中鋼,,0.79,0.98
1150706,2006,東和鋼鐵,10.35,6.27,1.54
1150706,2007,燁興,,,0.99
1150706,2008,高興昌,40.87,3.26,1.55
1150706,2009,第一銅,69.39,1.01,1.72
1150706,2010,春源,9.36,9.17,1.17
1150706,2012,春雨,,1.82,1.20
1150706,2013,中鋼構,12.85,5.78,1.43
1150706,2014,中鴻,,,2.11
1150706,2015,豐興,15.69,5.30,1.71
1150706,2017,官田鋼,,,0.77
1150706,2020,美亞,11.21,8.28,1.42
1150706,2022,聚亨,,,0.81
1150706,2023,燁輝,,,0.80
1150706,2024,志聯,199.29,,1.20
1150706,2025,千興,84.06,,1.40
1150706,2027,大成鋼,12.08,3.63,1.23
1150706,2028,威致,46.29,1.23,1.10
1150706,2029,盛餘,33.71,2.87,0.67
1150706,2030,彰源,29.09,2.60,1.06
1150706,2031,新光鋼,8.51,6.43,1.18
1150706,2032,新鋼,19.71,2.95,1.26
1150706,2033,佳大,49.70,,1.24
1150706,2034,允強,,4.85,1.13
1150706,2038,海光,,,0.69
1150706,2049,上銀,79.30,0.55,3.43
1150706,2059,川湖,68.62,0.66,23.53
1150706,2062,橋椿,92.14,5.17,0.51
1150706,2069,運錩,10.11,5.38,0.71
1150706,2072,世紀風電,11.29,4.80,1.21
1150706,2101,南港,11.02,2.05,1.83
1150706,2102,泰豐,2.91,,0.89
1150706,2103,台橡,36.12,1.12,0.98
1150706,2104,國際中橡,,,0.47
1150706,2105,正新,20.09,5.53,1.24
1150706,2106,建大,105.29,3.63,0.87
1150706,2107,厚生,17.95,5.42,0.59
1150706,2108,南帝,34.31,3.35,1.03
1150706,2109,華豐,12.46,6.69,1.20
1150706,2114,鑫永銓,15.72,5.53,2.15
1150706,2115,六暉-KY,16.69,7.08,0.66
1150706,2201,裕隆,34.47,1.91,0.48
1150706,2204,中華,10.61,6.26,0.86
1150706,2206,三陽工業,11.22,4.72,1.80
1150706,2207,和泰車,13.96,4.20,3.35
1150706,2208,台船,,,3.52
1150706,2211,長榮鋼,11.83,6.71,1.48
1150706,2227,裕日車,53.76,1.68,0.82
1150706,2228,劍麟,20.56,5.13,1.35
1150706,2231,為升,,0.40,4.87
1150706,2233,宇隆,42.19,1.51,3.99
1150706,2236,百達-KY,,0.35,4.89
1150706,2239,英利-KY,,,0.23
1150706,2241,艾姆勒,,,3.63
1150706,2243,宏旭-KY,26.51,,5.15
1150706,2247,汎德永業,14.86,6.14,1.54
1150706,2248,華勝-KY,9.95,5.28,1.57
1150706,2250,IKKA-KY,20.59,4.32,1.18
1150706,2254,巨鎧精密-創,,,3.67
1150706,2258,鴻華先進-創,,,4.52
1150706,2301,光寶科,32.94,2.23,5.77
1150706,2302,麗正,66.08,0.67,4.86
1150706,2303,聯電,41.71,1.57,5.13
1150706,2305,全友,157.96,,3.68
1150706,2308,台達電,73.56,0.58,17.30
1150706,2312,金寶,34.18,1.69,2.38
