Date,Code,Name,PEratio,DividendYield,PBratio
1150707,1101,台泥,,3.42,0.75
1150707,1102,亞泥,12.18,6.34,0.73
1150707,1103,嘉泥,16.88,4.07,0.49
1150707,1104,環泥,10.76,6.72,0.76
1150707,1108,幸福,6.91,7.17,1.04
1150707,1109,信大,18.61,6.12,0.59
1150707,1110,東泥,49.38,1.90,0.95
1150707,1201,味全,32.76,1.69,0.81
1150707,1203,味王,24.94,2.33,1.57
1150707,1210,大成,13.82,5.15,1.94
1150707,1213,大飲,,,0.68
1150707,1215,卜蜂,12.02,6.28,3.10
1150707,1216,統一,21.08,3.85,3.06
1150707,1217,愛之味,20.83,2.50,0.67
1150707,1218,泰山,11.20,7.65,0.67
1150707,1219,福壽,26.17,4.07,0.91
1150707,1220,台榮,592.50,1.69,0.91
1150707,1225,福懋油,16.49,3.55,1.70
1150707,1227,佳格,20.62,4.45,1.43
1150707,1229,聯華,16.42,4.68,1.37
1150707,1231,聯華食,20.07,2.83,3.49
1150707,1232,大統益,16.94,4.91,3.73
1150707,1233,天仁,34.76,0.70,1.85
1150707,1234,黑松,19.94,4.95,0.73
1150707,1235,興泰,,2.75,0.58
1150707,1236,宏亞,,6.33,0.92
1150707,1256,鮮活果汁-KY,15.11,3.30,1.71
1150707,1301,台塑,,0.87,0.93
1150707,1303,南亞,72.08,0.48,3.44
1150707,1304,台聚,,1.06,0.87
1150707,1305,華夏,,0.73,1.04
1150707,1307,三芳,12.04,6.67,1.34
1150707,1308,亞聚,,1.32,0.81
1150707,1309,台達化,,1.00,1.04
1150707,1310,台苯,,,0.80
1150707,1312,國喬,,,0.55
1150707,1313,聯成,,0.77,0.61
1150707,1314,中石化,,,0.48
1150707,1315,達新,41.23,7.09,0.59
1150707,1316,上曜,,,0.83
1150707,1319,東陽,13.93,6.44,1.57
1150707,1321,大洋,,,1.20
1150707,1323,永裕,35.98,4.47,0.71
1150707,1324,地球,,,0.89
1150707,1325,恆大,,,0.81
1150707,1326,台化,422.00,0.95,0.99
1150707,1337,再生-KY,,,0.38
1150707,1338,廣華-KY,,1.78,0.24
1150707,1339,昭輝,10.69,5.53,0.82
1150707,1340,勝悅-KY,,,0.33
1150707,1341,富林-KY,14.12,6.94,2.57
1150707,1342,八貫,18.99,5.31,4.21
1150707,1402,遠東新,17.61,4.41,0.65
1150707,1409,新纖,23.48,2.84,1.22
1150707,1410,南染,50.00,0.74,1.60
1150707,1413,宏洲,22.45,,1.12
1150707,1414,東和,67.24,1.03,1.34
1150707,1416,廣豐,12.91,5.14,0.46
1150707,1417,嘉裕,20.04,2.77,0.73
1150707,1418,東華,,,0.83
1150707,1419,新紡,5.02,2.73,0.97
1150707,1423,利華,9.84,9.70,1.00
1150707,1432,大魯閣,2.78,13.20,1.02
1150707,1434,福懋,30.25,2.75,0.67
1150707,1435,中福,,,3.82
1150707,1436,華友聯,10.50,11.18,1.61
1150707,1437,勤益控,11.12,3.12,0.75
1150707,1438,三地開發,8.08,0.90,0.77
1150707,1439,雋揚,7.86,2.07,0.75
1150707,1440,南紡,,2.10,0.86
1150707,1441,大東,,,1.58
1150707,1442,名軒,14.49,8.45,1.29
1150707,1443,立益物流,24.27,,1.58
