Date,Code,Name,PEratio,DividendYield,PBratio
1150519,1101,台泥,,3.31,0.77
1150519,1102,亞泥,11.68,6.61,0.70
1150519,1103,嘉泥,16.31,4.21,0.47
1150519,1104,環泥,10.72,6.74,0.75
1150519,1108,幸福,6.83,7.25,1.03
1150519,1109,信大,18.48,6.16,0.59
1150519,1110,東泥,44.38,2.11,0.85
1150519,1201,味全,31.58,1.75,0.78
1150519,1203,味王,23.69,2.45,1.49
1150519,1210,大成,12.68,5.61,1.78
1150519,1213,大飲,,4.27,0.73
1150519,1215,卜蜂,15.25,4.95,3.94
1150519,1216,統一,20.22,4.01,2.94
1150519,1217,愛之味,19.54,2.67,0.63
1150519,1218,泰山,12.05,7.12,0.72
1150519,1219,福壽,26.91,3.95,0.93
1150519,1220,台榮,597.50,1.67,0.91
1150519,1225,福懋油,17.02,3.44,1.75
1150519,1227,佳格,19.52,4.70,1.36
1150519,1229,聯華,14.87,5.17,1.24
1150519,1231,聯華食,19.86,2.86,3.45
1150519,1232,大統益,17.11,4.86,3.77
1150519,1233,天仁,34.94,0.70,1.86
1150519,1234,黑松,20.36,4.85,0.75
1150519,1235,興泰,,2.47,0.64
1150519,1236,宏亞,,6.96,0.84
1150519,1256,鮮活果汁-KY,13.86,3.60,1.57
1150519,1301,台塑,,1.09,0.75
1150519,1303,南亞,35.37,0.98,1.69
1150519,1304,台聚,,1.23,0.74
1150519,1305,華夏,,0.80,0.95
1150519,1307,三芳,11.55,6.95,1.29
1150519,1308,亞聚,,1.52,0.71
1150519,1309,台達化,,0.97,1.07
1150519,1310,台苯,,,0.57
1150519,1312,國喬,,,0.41
1150519,1313,聯成,,0.95,0.49
1150519,1314,中石化,,,0.34
1150519,1315,達新,39.61,7.38,0.57
1150519,1316,上曜,,,0.84
1150519,1319,東陽,14.36,6.25,1.62
1150519,1321,大洋,,1.29,1.12
1150519,1323,永裕,35.71,4.50,0.71
1150519,1324,地球,,1.95,0.86
1150519,1325,恆大,,1.09,0.91
1150519,1326,台化,299.33,1.34,0.70
1150519,1337,再生-KY,,,0.35
1150519,1338,廣華-KY,,1.90,0.22
1150519,1339,昭輝,9.56,6.18,0.74
1150519,1340,勝悅-KY,,,0.32
1150519,1341,富林-KY,14.95,6.56,2.72
1150519,1342,八貫,15.45,6.53,3.43
1150519,1402,遠東新,16.30,4.76,0.60
1150519,1409,新纖,12.37,5.39,0.64
1150519,1410,南染,49.91,0.74,1.60
1150519,1413,宏洲,22.62,,1.13
1150519,1414,東和,54.83,1.26,1.10
1150519,1416,廣豐,12.85,5.16,0.46
1150519,1417,嘉裕,18.38,3.02,0.67
1150519,1418,東華,,,0.82
1150519,1419,新紡,4.79,2.86,0.92
1150519,1423,利華,10.82,8.82,1.10
1150519,1432,大魯閣,2.98,12.31,1.10
1150519,1434,福懋,25.33,3.29,0.56
1150519,1436,華友聯,10.72,10.95,1.64
1150519,1437,勤益控,10.23,3.39,0.69
1150519,1438,三地開發,7.46,,0.71
1150519,1439,雋揚,8.26,1.96,0.79
1150519,1440,南紡,,2.64,0.68
1150519,1441,大東,,,1.59
1150519,1442,名軒,13.37,9.16,1.19
1150519,1443,立益物流,24.09,,1.57
1150519,1444,力麗,,,0.60
1150519,1445,大宇,,4.41,0.72
1150519,1446,宏和,9.12,9.68,0.75
1150519,1447,力鵬,,,0.64
1150519,1449,佳和,,,0.68
1150519,1451,年興,18.76,5.99,0.45
1150519,1452,宏益,,1.85,0.54
1150519,1453,大將,100.91,2.70,0.88
1150519,1454,台富,,0.76,1.20
1150519,1455,集盛,,1.96,0.76
1150519,1456,怡華,3.84,,0.65
1150519,1457,宜進,15.49,7.09,0.64
1150519,1459,聯發,7.61,1.69,1.06
1150519,1460,宏遠,,,0.83
1150519,1463,強盛新,,0.73,1.17
1150519,1464,得力,27.03,2.50,0.77
1150519,1465,偉全,,2.50,0.79
1150519,1466,聚隆,,1.34,1.06
1150519,1467,南緯,,,0.56
1150519,1468,昶和,100.00,,1.32
1150519,1470,大統新創,24.25,3.08,1.84
1150519,1471,首利,,,1.05
1150519,1472,三洋實業,13.76,6.78,1.96
1150519,1473,台南,,2.43,0.76
1150519,1474,弘裕,41.42,2.52,0.59
1150519,1475,業旺,10.24,5.75,1.14
1150519,1476,儒鴻,15.48,4.69,3.19
1150519,1477,聚陽,15.16,7.14,3.98
1150519,1503,士電,27.35,2.72,2.52
1150519,1504,東元,30.18,2.95,1.89
1150519,1506,正道,142.86,,1.07
1150519,1512,瑞利,25.96,,1.02
1150519,1513,中興電,18.23,4.00,3.44
1150519,1514,亞力,33.09,1.94,4.70
1150519,1515,力山,22.35,2.74,1.02
1150519,1516,川飛,1090.00,,4.27
1150519,1517,利奇,,1.99,0.65
1150519,1519,華城,53.81,1.53,30.02
1150519,1521,大億,34.23,3.09,1.01
1150519,1522,堤維西,94.19,4.11,0.99
1150519,1524,耿鼎,18.73,4.98,1.61
1150519,1525,江申,36.25,4.83,0.84
1150519,1526,日馳,,,0.64
1150519,1527,鑽全,35.66,4.62,0.92
1150519,1528,恩德,,0.39,2.28
1150519,1529,樂事綠能,17.98,4.88,1.73
1150519,1530,亞崴,23.74,3.66,0.80
1150519,1531,高林股,,8.13,0.61
1150519,1532,勤美,17.61,3.88,0.57
1150519,1533,車王電,21.20,,1.42
1150519,1535,中宇,12.67,6.09,1.54
1150519,1536,和大,,1.60,1.85
1150519,1537,廣隆,16.58,5.71,2.24
1150519,1538,正峰,,,3.19
1150519,1539,巨庭,385.00,5.52,0.63
1150519,1540,喬福,22.31,4.82,1.18
1150519,1541,錩泰,8.99,2.45,0.74
1150519,1558,伸興,16.07,5.54,1.10
1150519,1560,中砂,63.51,0.78,11.64
1150519,1563,巧新,102.95,4.42,1.20
1150519,1568,倉佑,20.52,3.64,1.54
1150519,1582,信錦,42.55,2.56,2.24
1150519,1583,程泰,17.19,2.09,0.92
1150519,1587,吉茂,68.90,1.77,1.41
1150519,1590,亞德客-KY,31.30,2.00,5.62
1150519,1597,直得,150.84,0.39,6.54
1150519,1598,岱宇,,2.49,0.79
1150519,1603,華電,10.95,6.79,0.62
1150519,1604,聲寶,14.03,6.48,0.99
1150519,1605,華新,24.38,1.50,0.90
1150519,1608,華榮,5.70,6.37,1.37
1150519,1609,大亞,14.12,2.07,1.51
1150519,1611,中電,280.00,7.14,0.92
1150519,1612,宏泰,11.87,7.02,1.38
1150519,1614,三洋電,23.14,3.18,1.42
1150519,1615,大山,9.06,5.82,1.73
1150519,1616,億泰,16.75,6.60,1.72
1150519,1617,榮星,16.25,4.20,1.06
1150519,1618,合機,8.37,4.46,1.14
1150519,1623,大東電,17.81,3.63,3.64
1150519,1626,艾美特-KY,,,0.55
1150519,1702,南僑,45.42,4.89,0.68
1150519,1707,葡萄王,13.19,5.69,1.56
1150519,1708,東鹼,11.82,4.02,1.34
1150519,1709,和益,13.13,5.48,1.00
1150519,1710,東聯,,,0.94
1150519,1711,永光,,0.62,3.19
1150519,1712,興農,16.39,6.15,2.18
1150519,1713,國化,10.51,6.58,1.76
1150519,1714,和桐,15.11,1.86,0.74
1150519,1717,長興,50.34,1.34,3.03
1150519,1718,中纖,27.13,,0.39
1150519,1720,生達,11.44,4.85,1.83
1150519,1721,三晃,,,3.30
1150519,1722,台肥,43.85,4.39,0.81
1150519,1723,中碳,31.49,2.37,2.25
1150519,1725,元禎,18.77,3.52,0.82
1150519,1726,永記,12.97,4.81,1.14
1150519,1727,中華化,236.49,0.17,5.31
1150519,1730,花仙子,11.43,5.67,1.55
1150519,1731,美吾華,15.36,5.67,1.29
1150519,1732,毛寶,30.17,2.21,2.33
1150519,1733,五鼎,16.10,4.44,1.61
1150519,1734,杏輝,17.76,5.24,1.64
1150519,1735,日勝化,30.68,2.62,1.55
1150519,1736,喬山,15.19,3.20,2.69
1150519,1737,臺鹽,15.85,4.44,0.91
1150519,1752,南光,16.01,4.92,1.39
1150519,1760,寶齡富錦,24.62,3.26,2.86
1150519,1762,中化生,,0.51,0.90
1150519,1773,勝一,22.90,2.41,4.20
1150519,1776,展宇,36.12,3.39,1.23
1150519,1783,和康生,12.93,5.12,2.15
1150519,1786,科妍,35.29,3.18,2.41
1150519,1789,神隆,136.43,1.52,1.46
1150519,1795,美時,12.89,1.42,2.07
1150519,1802,台玻,502.31,,3.82
1150519,1805,寶徠,78.46,,0.84
1150519,1806,冠軍,57.71,1.86,0.60
1150519,1808,潤隆,10.80,5.18,1.89
1150519,1809,中釉,201.58,0.65,2.16
1150519,1810,和成,4.92,1.08,0.70
1150519,1817,凱撒衛,9.55,5.50,1.23
1150519,1903,士紙,37.13,,2.29
1150519,1904,正隆,15.41,2.39,0.70
1150519,1905,華紙,,,0.80
1150519,1906,寶隆,,0.95,0.52
1150519,1907,永豐餘,17.43,4.10,0.52
1150519,1909,榮成,,,0.57
1150519,2002,中鋼,,0.82,0.94
1150519,2006,東和鋼鐵,9.89,6.55,1.48
1150519,2007,燁興,,,0.92
1150519,2008,高興昌,37.00,3.60,1.41
1150519,2009,第一銅,65.88,1.07,1.63
1150519,2010,春源,9.64,8.91,1.20
1150519,2012,春雨,,2.06,1.06
1150519,2013,中鋼構,12.96,5.73,1.44
1150519,2014,中鴻,,,2.04
1150519,2015,豐興,15.82,5.25,1.72
1150519,2017,官田鋼,,,0.69
1150519,2020,美亞,10.93,8.49,1.38
1150519,2022,聚亨,,,0.76
1150519,2023,燁輝,,,0.79
1150519,2024,志聯,197.86,,1.19
1150519,2025,千興,73.75,,1.23
1150519,2027,大成鋼,11.70,3.75,1.19
1150519,2028,威致,48.43,1.18,1.15
1150519,2029,盛餘,32.98,2.93,0.66
1150519,2030,彰源,25.45,2.98,0.92
1150519,2031,新光鋼,8.36,6.54,1.16
1150519,2032,新鋼,18.90,3.08,1.21
1150519,2033,佳大,45.45,1.33,1.14
1150519,2034,允強,,5.10,1.08
1150519,2038,海光,,1.50,0.68
1150519,2049,上銀,81.92,0.53,3.54
1150519,2059,川湖,39.22,1.15,13.45
1150519,2062,橋椿,89.52,5.32,0.50
1150519,2069,運錩,10.43,5.21,0.73
1150519,2072,世紀風電,13.35,4.06,1.43
1150519,2101,南港,9.68,2.33,1.61
1150519,2102,泰豐,2.77,,0.85
1150519,2103,台橡,30.22,1.33,0.82
1150519,2104,國際中橡,,,0.41
1150519,2105,正新,20.00,5.56,1.24
1150519,2106,建大,99.12,3.86,0.82
1150519,2107,厚生,17.53,5.54,0.58
1150519,2108,南帝,31.15,3.69,0.93
1150519,2109,華豐,11.67,7.14,1.12
1150519,2114,鑫永銓,15.43,5.64,2.11
1150519,2115,六暉-KY,15.94,5.93,0.63
1150519,2201,裕隆,31.41,2.10,0.44
1150519,2204,中華,9.59,6.92,0.78
1150519,2206,三陽工業,10.35,5.11,1.66
1150519,2207,和泰車,13.72,4.27,3.29
1150519,2208,台船,,,3.16
1150519,2211,長榮鋼,11.34,7.00,1.42
1150519,2227,裕日車,52.58,7.98,0.80
1150519,2228,劍麟,18.95,5.56,1.24
1150519,2231,為升,,0.48,4.14
1150519,2233,宇隆,54.23,1.18,5.13
1150519,2236,百達-KY,,0.49,3.51
1150519,2239,英利-KY,,,0.22
1150519,2241,艾姆勒,,,2.61
1150519,2243,宏旭-KY,8.67,,1.69
1150519,2247,汎德永業,13.00,7.02,1.35
1150519,2248,華勝-KY,9.27,5.61,1.46
1150519,2250,IKKA-KY,18.58,4.79,1.06
1150519,2254,巨鎧精密-創,,,3.63
1150519,2258,鴻華先進-創,,,3.77
1150519,2301,光寶科,30.37,2.42,5.32
1150519,2302,麗正,31.71,1.40,2.33
1150519,2303,聯電,28.39,2.30,3.50
1150519,2305,全友,60.74,,1.41
1150519,2308,台達電,70.61,0.61,16.61
1150519,2312,金寶,26.68,2.16,1.86
1150519,2313,華通,45.15,1.09,6.51
1150519,2314,台揚,,,25.09
1150519,2316,楠梓電,9.00,1.44,1.84
1150519,2317,鴻海,17.40,2.94,1.93
1150519,2321,東訊,,,2.19
1150519,2323,中環,4.33,2.12,0.55
1150519,2324,仁寶,20.90,3.96,0.93
1150519,2327,國巨*,39.13,1.21,6.12
1150519,2328,廣宇,51.63,1.78,1.75
1150519,2329,華泰,23.21,1.95,2.95
1150519,2330,台積電,29.65,1.00,9.71
1150519,2331,精英,37.90,1.11,0.97
1150519,2332,友訊,,0.72,1.00
1150519,2337,旺宏,,,5.63
1150519,2338,光罩,,,2.63
1150519,2340,台亞,,,2.35
1150519,2342,茂矽,,0.78,2.62
1150519,2344,華邦電,34.87,0.43,4.53
1150519,2345,智邦,45.20,0.63,20.45
1150519,2347,聯強,14.35,5.09,1.75
1150519,2348,海悅,16.75,7.91,1.51
1150519,2349,錸德,,,1.56
1150519,2351,順德,76.77,0.63,4.36
1150519,2352,佳世達,40.40,3.99,1.35
1150519,2353,宏碁,21.02,4.68,1.15
1150519,2354,鴻準,27.35,2.60,0.76
1150519,2355,敬鵬,37.51,1.58,1.42
1150519,2356,英業達,19.66,3.87,2.53
1150519,2357,華碩,11.47,6.54,1.66
1150519,2359,所羅門,69.59,0.74,4.03
1150519,2360,致茂,64.81,0.95,31.39
1150519,2362,藍天,17.21,5.19,0.50
1150519,2363,矽統,35.59,0.99,1.53
1150519,2364,倫飛,16.78,4.57,4.40
1150519,2365,昆盈,91.92,0.84,2.56
1150519,2367,燿華,,0.32,3.52
1150519,2368,金像電,58.01,0.78,18.84
1150519,2369,菱生,,1.05,2.20
1150519,2371,大同,,10.95,1.26
1150519,2373,震旦行,14.38,6.60,1.79
1150519,2374,佳能,28.74,2.25,3.01
1150519,2375,凱美,30.85,1.18,1.10
1150519,2376,技嘉,14.25,3.93,3.16
1150519,2377,微星,11.65,3.77,1.72
1150519,2379,瑞昱,19.98,4.50,6.33
1150519,2380,虹光,5.70,,0.63
1150519,2382,廣達,14.58,5.38,5.39
1150519,2383,台光電,98.37,0.55,33.89
1150519,2385,群光,14.05,5.78,2.19
1150519,2387,精元,13.44,10.44,0.72
1150519,2388,威盛,412.78,0.27,1.89
1150519,2390,云辰,,,0.79
1150519,2392,正崴,,2.92,0.71
1150519,2393,億光,14.89,7.21,1.35
1150519,2395,研華,35.80,2.43,8.08
1150519,2397,友通,25.39,4.16,2.09
1150519,2399,映泰,27.56,,3.11
1150519,2401,凌陽,,,1.79
1150519,2402,毅嘉,32.36,3.17,2.73
1150519,2404,漢唐,19.14,3.88,13.52
1150519,2405,輔信,,0.67,1.49
1150519,2406,國碩,,,3.03
1150519,2408,南亞科,24.57,0.55,4.41
1150519,2409,友達,59.84,2.09,0.97
1150519,2412,中華電,28.33,3.65,2.79
1150519,2413,環科,64.87,1.00,3.07
1150519,2414,精技,13.60,6.25,2.27
1150519,2415,錩新,13.70,6.05,1.34
1150519,2417,圓剛,180.77,0.53,2.17
1150519,2419,仲琦,,,2.02
1150519,2420,新巨,15.05,5.06,2.18
1150519,2421,建準,17.70,3.79,3.66
1150519,2423,固緯,20.67,3.40,3.80
1150519,2424,隴華,,,4.30
1150519,2425,承啟,,0.31,1.25
1150519,2426,鼎元,,0.15,5.18
1150519,2427,三商電,15.82,3.46,1.16
1150519,2428,興勤,19.45,2.76,2.33
1150519,2429,銘旺科,,,5.80
1150519,2430,燦坤,37.81,4.41,0.49
1150519,2431,聯昌,,,1.05
1150519,2432,倚天酷碁-創,13.59,6.51,1.47
1150519,2433,互盛電,14.70,6.02,2.11
1150519,2434,統懋,,,2.37
1150519,2436,偉詮電,20.62,2.88,3.16
1150519,2438,翔耀,,,3.49
1150519,2439,美律,17.32,4.69,1.27
1150519,2440,太空梭,,,1.26
1150519,2441,超豐,21.84,2.94,2.30
1150519,2442,新美齊,3.48,14.79,0.79
1150519,2444,兆勁,,,1.76
1150519,2449,京元電子,39.21,0.52,6.49
1150519,2450,神腦,19.02,5.33,1.23
1150519,2451,創見,9.91,3.85,5.04
1150519,2453,凌群,17.36,5.14,2.67
1150519,2454,聯發科,50.28,1.70,12.90
1150519,2455,全新,120.82,0.69,19.31
1150519,2457,飛宏,,,1.13
1150519,2458,義隆,16.19,4.81,4.35
1150519,2459,敦吉,12.64,6.35,1.26
1150519,2460,建通,,,3.33
1150519,2461,光群雷,,6.27,0.90
1150519,2462,良得電,282.86,1.01,0.89
1150519,2464,盟立,,0.37,5.54
1150519,2465,麗臺,57.27,,5.90
1150519,2466,冠西電,63.51,,4.00
1150519,2467,志聖,76.60,0.95,10.80
1150519,2468,華經,25.43,3.07,1.76
1150519,2471,資通,13.02,6.64,2.43
1150519,2472,立隆電,26.82,1.51,3.98
1150519,2474,可成,17.62,5.52,0.72
1150519,2476,鉅祥,26.32,2.61,2.70
1150519,2477,美隆電,12.69,6.81,0.80
1150519,2478,大毅,25.96,1.89,1.89
1150519,2480,敦陽科,17.46,5.32,5.22
1150519,2481,強茂,42.86,1.33,3.56
1150519,2482,連宇,,0.61,1.20
1150519,2483,百容,25.87,1.26,0.99
1150519,2484,希華,54.46,1.74,1.57
1150519,2485,兆赫,1810.00,,4.36
1150519,2486,一詮,493.14,0.20,11.16
1150519,2488,漢平,11.16,5.79,1.42
1150519,2489,瑞軒,38.07,2.89,1.95
1150519,2491,吉祥全,5.83,,1.64
1150519,2492,華新科,42.15,1.09,1.99
1150519,2493,揚博,31.09,3.04,5.74
1150519,2495,普安,31.64,2.24,2.09
1150519,2496,卓越,10.08,7.75,1.43
1150519,2497,怡利電,24.69,3.58,2.36
1150519,2498,宏達電,22.05,,1.41
1150519,2501,國建,5.74,5.41,0.82
1150519,2504,國產,10.53,7.50,1.45
1150519,2505,國揚,8.97,5.60,0.64
1150519,2506,太設,,2.31,0.40
1150519,2509,全坤建,,,0.74
1150519,2511,太子,21.71,3.95,0.47
1150519,2514,龍邦,7.39,,0.36
1150519,2515,中工,25.52,4.08,0.86
1150519,2516,新建,10.55,,1.33
1150519,2520,冠德,12.61,5.26,0.75
1150519,2524,京城,60.44,,0.60
1150519,2527,宏璟,6.56,4.51,0.40
1150519,2528,皇普,9.25,13.57,1.34
1150519,2530,華建,10.56,8.94,1.73
1150519,2534,宏盛,16.99,8.57,0.55
1150519,2535,達欣工,8.75,6.30,1.92
1150519,2536,宏普,6.09,2.48,0.53
1150519,2537,聯上發,30.22,,0.64
1150519,2538,基泰,25.72,7.56,0.72
1150519,2539,櫻花建,13.48,7.34,2.43
1150519,2540,愛山林,92.50,7.21,3.20
1150519,2542,興富發,13.45,9.15,1.67
1150519,2543,皇昌,15.56,12.95,2.03
1150519,2545,皇翔,25.10,7.54,0.94
1150519,2546,根基,8.85,7.13,1.77
1150519,2547,日勝生,71.43,8.00,0.72
1150519,2548,華固,9.71,6.83,1.93
1150519,2597,潤弘,14.30,5.95,5.42
1150519,2601,益航,,,0.55
1150519,2603,長榮,8.61,8.12,0.73
1150519,2605,新興,14.50,3.30,1.00
1150519,2606,裕民,12.19,4.41,1.32
1150519,2607,榮運,10.04,5.68,0.81
1150519,2608,嘉里大榮,14.50,5.66,1.07
1150519,2609,陽明,16.07,4.04,0.53
1150519,2610,華航,7.19,4.46,1.09
1150519,2611,志信,9.85,4.03,0.92
1150519,2612,中航,9.96,4.02,0.79
1150519,2613,中櫃,19.82,4.63,0.94
1150519,2614,東森,8.90,6.61,1.38
1150519,2615,萬海,7.42,3.73,0.79
1150519,2616,山隆,,2.21,0.72
1150519,2617,台航,8.72,5.20,0.66
1150519,2618,長榮航,6.54,5.81,1.37
1150519,2630,亞航,45.48,2.11,2.65
1150519,2633,台灣高鐵,21.45,4.43,1.95
1150519,2634,漢翔,57.25,1.70,2.38
1150519,2636,台驊控股,9.41,7.78,0.93
1150519,2637,慧洋-KY,9.96,4.94,1.05
1150519,2642,宅配通,,2.46,1.08
1150519,2645,長榮航太,23.21,3.29,4.50
1150519,2646,星宇航空,225.00,,1.91
1150519,2701,萬企,18.07,2.72,0.55
1150519,2702,華園,,,0.62
1150519,2704,國賓,23.41,1.19,0.58
1150519,2705,六福,17.25,,0.59
1150519,2706,第一店,17.84,2.93,0.59
1150519,2707,晶華,12.43,6.18,6.27
1150519,2712,遠雄來,,,1.56
1150519,2722,夏都,,0.67,1.34
1150519,2723,美食-KY,,4.76,1.09
1150519,2727,王品,14.06,6.89,5.06
1150519,2731,雄獅,9.39,7.98,2.80
1150519,2739,寒舍,11.45,7.44,2.12
1150519,2748,雲品,18.92,4.45,1.41
1150519,2753,八方雲集,12.92,6.90,3.27
1150519,2762,世界健身-KY,15.94,7.04,3.46
1150519,2801,彰銀,12.81,4.88,1.07
1150519,2812,台中銀,12.35,5.54,1.23
1150519,2816,旺旺保,4.98,4.78,0.83
1150519,2820,華票,11.09,5.34,0.81
1150519,2832,台產,10.17,6.62,1.10
1150519,2834,臺企銀,12.25,6.23,1.05
1150519,2836,高雄銀,16.01,3.80,0.82
1150519,2838,聯邦銀,14.47,5.20,1.10
1150519,2845,遠東銀,13.69,5.23,0.82
1150519,2849,安泰銀,15.47,2.86,0.71
1150519,2850,新產,9.67,5.37,1.96
1150519,2851,中再保,6.76,6.29,1.19
1150519,2852,第一保,8.77,6.15,0.86
1150519,2855,統一證,8.80,5.36,1.51
1150519,2867,三商壽,55.36,,0.59
1150519,2880,華南金,16.95,4.50,1.90
1150519,2881,富邦金,12.54,4.37,1.54
1150519,2882,國泰金,11.77,4.50,1.36
1150519,2883,凱基金,13.36,4.62,1.23
1150519,2884,玉山金,14.55,4.38,1.82
1150519,2885,元大金,19.96,4.02,2.14
1150519,2886,兆豐金,17.22,4.31,1.54
1150519,2887,台新新光金,16.62,4.66,1.28
1150519,2889,國票金,23.25,4.03,1.15
1150519,2890,永豐金,16.45,4.32,1.71
1150519,2891,中信金,13.85,4.51,2.16
1150519,2892,第一金,15.51,4.14,1.43
1150519,2897,王道銀行,14.78,5.17,0.68
1150519,2901,欣欣,55.37,1.63,1.86
1150519,2903,遠百,13.67,5.64,1.00
1150519,2904,匯僑,24.40,4.95,0.89
1150519,2905,三商,21.11,2.26,0.48
1150519,2906,高林,28.56,4.67,0.80
1150519,2908,特力,52.25,2.63,1.54
1150519,2910,統領,17.42,4.89,1.41
1150519,2911,麗嬰房,1.70,,0.48
1150519,2912,統一超,20.74,3.96,5.09
1150519,2913,農林,,,0.70
1150519,2915,潤泰全,5.25,4.24,0.42
1150519,2923,鼎固-KY,,0.56,0.81
1150519,2929,淘帝-KY,,,0.21
1150519,2939,永邑-KY,,,1.93
1150519,2945,三商家購,18.44,3.61,1.46
1150519,3002,歐格,50.00,2.00,1.32
1150519,3003,健和興,57.72,1.72,1.41
1150519,3004,豐達科,23.31,2.05,2.20
1150519,3005,神基,12.09,6.89,2.62
1150519,3006,晶豪科,28.06,0.42,5.14
1150519,3008,大立光,21.00,2.38,2.38
1150519,3010,華立,13.11,4.31,1.35
1150519,3011,今皓,,,1.25
1150519,3013,晟銘電,21.86,0.80,3.72
1150519,3014,聯陽,14.49,6.34,3.59
1150519,3015,全漢,24.98,4.34,0.80
1150519,3016,嘉晶,250.00,0.49,6.04
1150519,3017,奇鋐,39.27,0.88,20.77
1150519,3018,隆銘綠能,,,1.37
1150519,3019,亞光,21.79,3.08,2.92
1150519,3021,鴻名,28.88,3.58,1.01
1150519,3022,威強電,19.18,5.17,1.04
1150519,3023,信邦,24.08,3.25,4.22
1150519,3024,憶聲,193.33,1.26,1.59
1150519,3025,星通,14.63,5.47,3.61
1150519,3026,禾伸堂,47.04,1.59,6.25
1150519,3027,盛達,,,1.05
