日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150706,台灣旗艦動能50指數,10253.72,-,83.01,-0.80,
1150706,特選臺灣動能趨勢指數,16689.78,-,132.43,-0.79,
1150706,特選臺灣動能優息指數,7056.31,+,43.48,0.62,
1150706,金融類日報酬兩倍指數,96714.43,+,"2,068.36",2.19,
1150706,金融類日報酬反向一倍指數,2246.11,-,24.81,-1.09,
1150706,漲升股利150指數,22106.29,-,175.20,-0.79,
1150706,藍籌30指數,27868.64,-,595.65,-2.09,
1150706,工業菁英30指數,24826.33,-,390.03,-1.55,
1150706,低波動股利精選30指數,12742.12,+,46.58,0.37,
1150706,中小型A級動能50指數,35323.95,-,807.32,-2.23,
1150706,特選高息低波指數,12119.85,+,97.31,0.81,
1150706,臺灣永續指數,25740.42,-,263.79,-1.01,
1150706,存股雙十等權重指數,21432.71,-,408.71,-1.87,
1150706,特選大蘋果指數,31228.75,-,566.00,-1.78,
1150706,中小型300指數,18490.55,-,32.19,-0.17,
1150706,微波高息精選20指數,14240.09,-,142.00,-0.99,
1150706,特選世代行動通訊指數,19926.74,-,301.71,-1.49,
1150706,智慧投資多因子30指數,8117.02,+,28.97,0.36,
1150706,臺股期貨指數,25552.92,-,43.60,-0.17,
1150706,臺灣上櫃永續指數,14580.82,-,206.18,-1.39,
1150706,特選台股領航指數,25269.88,-,407.73,-1.59,
1150706,特選Smart多因子指數,19938.81,-,215.96,-1.07,
1150706,特選ESG高股息指數,13185.53,-,23.92,-0.18,
1150706,特選上櫃ESG成長指數,10365.29,-,259.42,-2.44,
1150706,臺灣優息存股指數,5658.92,+,47.34,0.84,
1150706,特選上櫃ESG永續高股息指數,16580.63,+,187.95,1.15,
1150706,特選臺灣金融高股息存股指數,9848.66,+,91.86,0.94,
1150706,特選臺灣產業龍頭存股等權重指數,9358.19,-,11.59,-0.12,
1150706,上櫃ESG 30指數,16204.17,-,420.40,-2.53,
1150706,臺灣ESG低碳50指數,17282.02,-,170.48,-0.98,
1150706,臺灣創新板指數,23197.73,-,205.51,-0.88,
1150706,特選上櫃ESG龍頭指數,16042.94,+,201.40,1.27,
1150706,臺灣市值動能50指數,11157.45,-,90.28,-0.80,
1150706,臺灣護城河概念優選50指數,10662.24,-,55.30,-0.52,
1150706,特選臺灣中小型精選動能100指數,7550.58,-,61.52,-0.81,
1150706,特選臺灣大型股25指數,11883.24,-,28.49,-0.24,
1150706,特選臺灣TOP 50指數,9152.92,-,89.11,-0.96,
1150706,特選臺灣市值領航50指數,6406.31,-,84.82,-1.31,
1150706,寶島股價報酬指數,80199.65,-,416.55,-0.52,
1150706,發行量加權股價報酬指數,106844.47,-,499.88,-0.47,
1150706,臺灣公司治理100報酬指數,43534.85,-,92.64,-0.21,
1150706,臺灣50報酬指數,98824.31,-,458.89,-0.46,
1150706,臺灣50權重上限30%報酬指數,84703.12,-,998.26,-1.16,
1150706,臺灣中型100報酬指數,81264.72,-,36.34,-0.04,
1150706,臺灣資訊科技股報酬指數,194716.82,-,634.19,-0.32,
1150706,臺灣發達報酬指數,40967.00,-,840.23,-2.01,
1150706,臺灣高股息報酬指數,47526.11,+,146.08,0.31,
1150706,臺灣就業99報酬指數,51370.06,-,337.05,-0.65,
1150706,臺灣高薪100報酬指數,37353.09,+,61.20,0.16,
1150706,未含金融電子報酬指數,39330.86,+,13.20,0.03,
1150706,小型股300報酬指數,22293.57,+,135.87,0.61,
1150706,水泥類報酬指數,279.17,+,0.78,0.28,
1150706,食品類報酬指數,3479.72,+,46.89,1.37,
1150706,塑膠類報酬指數,658.59,-,30.15,-4.38,
1150706,紡織纖維類報酬指數,955.50,-,3.04,-0.32,
1150706,電機機械類報酬指數,930.52,+,5.90,0.64,
1150706,電器電纜類報酬指數,190.72,+,4.32,2.32,
1150706,化學生技醫療類報酬指數,302.38,+,5.51,1.86,
1150706,化學類報酬指數,414.28,+,5.73,1.40,
1150706,生技醫療類報酬指數,146.68,+,2.98,2.07,
1150706,玻璃陶瓷類報酬指數,206.23,-,2.63,-1.26,
1150706,造紙類報酬指數,477.31,+,8.38,1.79,
1150706,鋼鐵類報酬指數,220.90,+,0.34,0.15,
1150706,橡膠類報酬指數,368.82,+,4.56,1.25,
1150706,汽車類報酬指數,541.96,+,3.10,0.58,
1150706,電子工業類報酬指數,6151.19,-,41.59,-0.67,
1150706,半導體類報酬指數,3036.72,+,3.33,0.11,
1150706,電腦及週邊設備類報酬指數,1028.37,-,8.36,-0.81,
1150706,光電類報酬指數,117.59,+,1.61,1.39,
1150706,通信網路類報酬指數,600.67,-,8.85,-1.45,
1150706,電子零組件類報酬指數,1985.82,-,92.11,-4.43,
1150706,電子通路類報酬指數,1088.97,-,4.79,-0.44,
1150706,資訊服務類報酬指數,573.88,+,5.66,1.00,
1150706,其他電子類報酬指數,507.88,-,3.45,-0.67,
1150706,建材營造類報酬指數,1072.11,+,7.61,0.71,
1150706,航運類報酬指數,423.97,+,3.17,0.75,
1150706,觀光餐旅類報酬指數,163.11,+,0.34,0.21,
1150706,金融保險類報酬指數,6040.71,+,65.30,1.09,
1150706,貿易百貨類報酬指數,427.53,+,11.66,2.80,
1150706,油電燃氣類報酬指數,149.00,+,2.35,1.60,
1150706,綠能環保類報酬指數,160.87,+,0.49,0.31,
1150706,數位雲端類報酬指數,48.11,-,1.04,-2.12,
1150706,運動休閒類報酬指數,67.59,+,0.27,0.40,
1150706,居家生活類報酬指數,117.80,+,0.20,0.17,
1150706,其他類報酬指數,539.92,+,1.68,0.31,
1150706,臺灣生技報酬指數,5088.71,+,100.91,2.02,
1150706,臺灣中小型公司治理報酬指數,30372.89,+,16.95,0.06,
1150706,臺灣IPO報酬指數,11915.39,-,20.06,-0.17,
1150706,智慧中立報酬指數,4361.83,+,16.87,0.39,
1150706,加權指數掩護性臺指買權價外5%報酬指數,16997.03,-,19.31,-0.11,
1150706,臺灣企業社會責任中小型報酬指數,23880.33,+,187.26,0.79,
1150706,特選臺灣電動車代表報酬指數,25851.55,-,302.07,-1.15,
1150706,臺灣科技龍頭通訊報酬指數,30945.66,-,497.05,-1.58,
1150706,臺灣全市場報酬指數,19286.13,-,138.99,-0.72,
1150706,臺灣全市場半導體報酬指數,25511.65,-,196.46,-0.76,
1150706,臺灣智慧移動與電動車報酬指數,20229.45,-,675.67,-3.23,
1150706,特選小資高價30報酬指數,25664.18,-,765.41,-2.90,
1150706,特選臺灣綠能及電動車報酬指數,14370.60,-,68.72,-0.48,
1150706,特選臺灣智能車供應鏈聯盟報酬指數,22067.52,-,336.04,-1.50,
1150706,臺灣全市場半導體精選30報酬指數,19499.33,-,119.54,-0.61,
