日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150707,寶島股價指數,50657.41,-,"1,290.35",-2.48,
1150707,發行量加權股價指數,45479.11,-,"1,077.28",-2.31,
1150707,臺灣公司治理100指數,28264.58,-,407.06,-1.42,
1150707,臺灣50指數,42129.08,-,825.98,-1.92,
1150707,臺灣50權重上限30%指數,34903.43,-,954.12,-2.66,
1150707,臺灣中型100指數,36350.56,-,"1,341.81",-3.56,
1150707,臺灣資訊科技指數,88874.38,-,"1,882.01",-2.07,
1150707,臺灣發達指數,18123.91,-,794.67,-4.20,
1150707,臺灣高股息指數,14498.90,-,278.94,-1.89,
1150707,臺灣就業99指數,28497.98,-,950.18,-3.23,
1150707,臺灣高薪100指數,21698.42,-,197.07,-0.90,
1150707,未含金融指數,40864.71,-,"1,088.99",-2.60,
1150707,未含電子指數,23776.99,-,258.91,-1.08,
1150707,未含金融電子指數,15812.76,-,429.16,-2.64,
1150707,小型股300指數,14556.33,-,428.65,-2.86,
1150707,水泥窯製類指數,645.17,-,15.49,-2.34,
1150707,塑膠化工類指數,1042.02,-,43.67,-4.02,
1150707,機電類指數,16031.24,-,429.63,-2.61,
1150707,水泥類指數,121.86,-,1.20,-0.98,
1150707,食品類指數,1982.37,-,8.77,-0.44,
1150707,塑膠類指數,305.00,-,27.07,-8.15,
1150707,紡織纖維類指數,511.65,-,0.75,-0.15,
1150707,電機機械類指數,552.29,-,22.05,-3.84,
1150707,電器電纜類指數,106.63,-,3.66,-3.32,
1150707,化學生技醫療類指數,178.73,+,1.38,0.78,
1150707,化學類指數,207.36,-,10.69,-4.90,
1150707,生技醫療類指數,101.25,+,3.34,3.41,
1150707,玻璃陶瓷類指數,152.79,-,7.33,-4.58,
1150707,造紙類指數,282.45,-,4.28,-1.49,
1150707,鋼鐵類指數,116.04,-,1.84,-1.56,
1150707,橡膠類指數,199.25,-,0.76,-0.38,
1150707,汽車類指數,298.36,-,5.04,-1.66,
1150707,電子工業類指數,2912.67,-,77.43,-2.59,
1150707,半導體類指數,1561.91,-,27.51,-1.73,
1150707,電腦及週邊設備類指數,400.03,-,12.93,-3.13,
1150707,光電類指數,67.65,-,4.32,-6.00,
1150707,通信網路類指數,249.58,-,8.81,-3.41,
1150707,電子零組件類指數,921.43,-,55.90,-5.72,
1150707,電子通路類指數,374.47,-,6.72,-1.76,
1150707,資訊服務類指數,207.67,-,3.12,-1.48,
1150707,其他電子類指數,266.91,-,9.53,-3.45,
1150707,建材營造類指數,459.78,-,6.99,-1.50,
1150707,航運類指數,184.81,-,5.83,-3.06,
1150707,觀光餐旅類指數,102.64,-,0.73,-0.71,
1150707,金融保險類指數,3135.85,+,35.57,1.15,
1150707,貿易百貨類指數,246.10,-,0.73,-0.30,
1150707,油電燃氣類指數,83.73,-,2.06,-2.40,
1150707,綠能環保類指數,141.40,-,4.37,-3.00,
1150707,數位雲端類指數,43.27,-,0.87,-1.97,
1150707,運動休閒類指數,58.42,-,0.45,-0.76,
1150707,居家生活類指數,100.61,-,0.25,-0.25,
1150707,其他類指數,276.77,-,3.99,-1.42,
1150707,臺指日報酬兩倍指數,221007.85,-,"10,724.21",-4.63,
1150707,臺指反向一倍指數,1284.84,+,29.06,2.31,
1150707,電子類兩倍槓桿指數,372173.76,-,"20,328.03",-5.18,
1150707,電子類反向指數,786.77,+,19.86,2.59,
1150707,臺灣生技指數,4476.57,+,117.83,2.70,
1150707,臺灣中小型公司治理指數,20340.14,-,329.14,-1.59,
1150707,臺灣IPO指數,9251.91,-,349.98,-3.64,
1150707,智慧中立指數,3139.36,-,8.35,-0.27,
1150707,臺灣企業社會責任中小型指數,17040.70,-,701.09,-3.95,
1150707,特選臺灣電動車代表指數,19844.64,-,911.75,-4.39,
1150707,臺灣科技龍頭通訊指數,24780.66,-,738.77,-2.89,
1150707,臺灣全市場指數,15748.02,-,446.68,-2.76,
1150707,臺灣全市場半導體指數,20432.84,-,737.07,-3.48,
1150707,臺灣智慧移動與電動車指數,15962.61,-,736.98,-4.41,
1150707,特選小資高價30指數,21259.35,-,793.53,-3.60,
1150707,特選臺灣綠能及電動車指數,11454.27,-,440.30,-3.70,
1150707,特選臺灣智能車供應鏈聯盟指數,17771.00,-,671.41,-3.64,
1150707,臺灣全市場半導體精選30指數,15988.19,-,513.86,-3.11,
1150707,特選臺灣高股息30指數,6954.96,-,148.69,-2.09,
1150707,臺灣友善環境指數,13129.72,-,311.47,-2.32,
1150707,台灣永續價值指數,13295.93,-,257.05,-1.90,
1150707,特選臺灣IC設計指數,7302.83,-,191.20,-2.55,
1150707,特選臺灣環境永續高股息指數,7934.26,-,299.10,-3.63,
1150707,特選臺灣IC設計產業代表指數,9747.64,-,291.91,-2.91,
1150707,特選臺灣綠能指數,9396.89,-,307.51,-3.17,
1150707,特選臺灣智慧50指數,10399.54,-,218.75,-2.06,
1150707,臺灣晶圓製造指數,16898.89,-,808.60,-4.57,
1150707,臺灣精選高息指數,7964.97,-,6.21,-0.08,
