日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150519,寶島股價指數,44989.82,-,839.78,-1.83,
1150519,發行量加權股價指數,40175.56,-,716.26,-1.75,
1150519,臺灣公司治理100指數,25155.09,-,432.03,-1.69,
1150519,臺灣50指數,37206.95,-,730.95,-1.93,
1150519,臺灣50權重上限30%指數,30139.59,-,687.19,-2.23,
1150519,臺灣中型100指數,32362.31,-,491.80,-1.50,
1150519,臺灣資訊科技指數,78795.72,-,"1,654.00",-2.06,
1150519,臺灣發達指數,16587.59,-,418.28,-2.46,
1150519,臺灣高股息指數,12295.64,-,124.75,-1.00,
1150519,臺灣就業99指數,23499.94,-,396.47,-1.66,
1150519,臺灣高薪100指數,18565.53,-,314.63,-1.67,
1150519,未含金融指數,36353.21,-,732.42,-1.97,
1150519,未含電子指數,20207.37,+,76.73,0.38,
1150519,未含金融電子指數,13902.33,-,26.84,-0.19,
1150519,小型股300指數,13004.85,-,84.60,-0.65,
1150519,水泥窯製類指數,642.66,+,5.31,0.83,
1150519,塑膠化工類指數,734.59,-,4.17,-0.56,
1150519,機電類指數,14307.68,-,320.63,-2.19,
1150519,水泥類指數,121.60,+,1.01,0.84,
1150519,食品類指數,1928.51,+,5.81,0.30,
1150519,塑膠類指數,184.46,-,3.04,-1.62,
1150519,紡織纖維類指數,447.57,-,1.91,-0.42,
1150519,電機機械類指數,545.16,-,9.62,-1.73,
1150519,電器電纜類指數,98.90,-,2.25,-2.22,
1150519,化學生技醫療類指數,141.85,+,0.48,0.34,
1150519,化學類指數,188.58,-,0.63,-0.33,
1150519,生技醫療類指數,75.27,+,0.53,0.71,
1150519,玻璃陶瓷類指數,151.75,+,1.24,0.82,
1150519,造紙類指數,240.29,+,0.11,0.05,
1150519,鋼鐵類指數,113.20,+,0.28,0.25,
1150519,橡膠類指數,189.48,-,0.23,-0.12,
1150519,汽車類指數,277.77,+,2.88,1.05,
1150519,電子工業類指數,2595.13,-,58.36,-2.20,
1150519,半導體類指數,1375.89,-,34.87,-2.47,
1150519,電腦及週邊設備類指數,361.20,-,6.32,-1.72,
1150519,光電類指數,56.42,+,0.19,0.34,
1150519,通信網路類指數,250.57,-,0.51,-0.20,
1150519,電子零組件類指數,804.09,-,17.13,-2.09,
1150519,電子通路類指數,376.19,-,0.64,-0.17,
1150519,資訊服務類指數,194.61,-,0.42,-0.22,
1150519,其他電子類指數,265.84,-,5.42,-2.00,
1150519,建材營造類指數,447.68,-,2.44,-0.54,
1150519,航運類指數,174.34,+,1.58,0.91,
1150519,觀光餐旅類指數,100.04,+,0.20,0.20,
1150519,金融保險類指數,2539.81,+,31.13,1.24,
1150519,貿易百貨類指數,230.48,+,1.74,0.76,
1150519,油電燃氣類指數,73.57,+,0.10,0.14,
1150519,綠能環保類指數,116.24,-,1.31,-1.11,
1150519,數位雲端類指數,36.01,+,0.54,1.52,
1150519,運動休閒類指數,57.21,-,0.08,-0.14,
1150519,居家生活類指數,90.55,+,0.17,0.19,
1150519,其他類指數,262.34,+,0.94,0.36,
1150519,臺指日報酬兩倍指數,174883.31,-,"6,348.92",-3.50,
