日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150519,臺指反向一倍指數,1474.94,+,25.39,1.75,
1150519,電子類兩倍槓桿指數,300504.37,-,"13,826.59",-4.40,
1150519,電子類反向指數,898.26,+,19.33,2.20,
1150519,臺灣生技指數,3484.13,+,27.77,0.80,
1150519,臺灣中小型公司治理指數,19390.58,-,794.27,-3.93,
1150519,臺灣IPO指數,8991.89,-,144.20,-1.58,
1150519,智慧中立指數,3056.17,+,60.91,2.03,
1150519,臺灣企業社會責任中小型指數,14917.72,-,364.14,-2.38,
1150519,特選臺灣電動車代表指數,18976.23,-,536.66,-2.75,
1150519,臺灣科技龍頭通訊指數,22312.06,-,520.84,-2.28,
1150519,臺灣全市場指數,13891.04,-,275.88,-1.95,
1150519,臺灣全市場半導體指數,17380.38,-,775.25,-4.27,
1150519,臺灣智慧移動與電動車指數,14214.08,-,203.22,-1.41,
1150519,特選小資高價30指數,19452.47,-,586.32,-2.93,
1150519,特選臺灣綠能及電動車指數,10219.55,-,262.31,-2.50,
1150519,特選臺灣智能車供應鏈聯盟指數,15443.65,-,484.42,-3.04,
1150519,臺灣全市場半導體精選30指數,14057.66,-,545.74,-3.74,
1150519,特選臺灣高股息30指數,6090.36,-,47.67,-0.78,
1150519,臺灣友善環境指數,11758.82,-,185.65,-1.55,
1150519,台灣永續價值指數,11454.54,-,188.80,-1.62,
1150519,特選臺灣IC設計指數,6852.71,-,339.93,-4.73,
1150519,特選臺灣環境永續高股息指數,6972.73,-,30.65,-0.44,
1150519,臺灣友善環境50指數,10813.71,-,270.82,-2.44,
1150519,特選臺灣IC設計產業代表指數,8820.34,-,231.98,-2.56,
1150519,特選臺灣綠能指數,8789.15,-,193.70,-2.16,
1150519,特選臺灣智慧50指數,8996.36,-,215.17,-2.34,
1150519,臺灣晶圓製造指數,13746.32,-,550.86,-3.85,
1150519,臺灣精選高息指數,6836.90,+,38.80,0.57,
1150519,臺灣多因子優選高股息30指數,9672.90,+,75.97,0.79,
1150519,特選臺灣優利高填息30指數,9271.28,-,0.52,-0.01,
1150519,特選臺灣科技優息指數,12712.51,-,217.21,-1.68,
1150519,臺灣半導體收益指數,13793.89,-,527.44,-3.68,
1150519,臺灣優選成長高股息指數,10317.52,-,177.59,-1.69,
1150519,特選臺灣ESG低碳高息40指數,9803.67,-,62.61,-0.63,
1150519,臺灣優選多因子30指數,12456.23,-,24.61,-0.20,
1150519,臺灣創新科技50指數,18895.00,-,695.84,-3.55,
1150519,臺灣全市場新經濟產業指數,3583.55,-,6.95,-0.19,
1150519,臺灣ESG永續高股息等權重指數,6692.48,-,2.29,-0.03,
1150519,臺灣永續高息中小型指數,6931.32,-,15.24,-0.22,
1150519,特選臺灣高息動能指數,8329.25,-,15.52,-0.19,
1150519,臺灣電子成長高息等權重指數,7938.65,+,50.30,0.64,
1150519,特選臺灣優利成長指數,6648.79,-,41.61,-0.62,
1150519,臺灣價值高息指數,6440.14,-,23.33,-0.36,
1150519,特選臺灣IC設計動能指數,11597.50,-,764.74,-6.19,
1150519,臺灣趨勢動能高股息指數,7185.76,-,22.22,-0.31,
1150519,特選臺灣科技高息成長指數,7384.93,+,0.21,--,
1150519,特選臺灣AI優息動能指數,6562.87,-,116.77,-1.75,
1150519,臺灣優選AI 50指數,8387.81,-,184.60,-2.15,
1150519,臺灣AI供應鏈聯盟指數,15194.14,-,460.09,-2.94,
1150519,台灣旗艦動能50指數,8799.60,-,316.84,-3.48,
1150519,特選臺灣動能趨勢指數,13766.57,-,359.76,-2.55,
1150519,金融類日報酬兩倍指數,65675.36,+,"1,590.45",2.48,
1150519,金融類日報酬反向一倍指數,2776.04,-,34.88,-1.24,
1150519,漲升股利150指數,18239.35,-,335.32,-1.81,
1150519,藍籌30指數,23586.45,-,610.47,-2.52,
1150519,工業菁英30指數,21322.42,-,456.55,-2.10,
1150519,低波動股利精選30指數,10535.34,+,143.34,1.38,
1150519,中小型A級動能50指數,30572.55,-,571.78,-1.84,
1150519,特選高息低波指數,10873.08,+,82.33,0.76,
1150519,臺灣永續指數,21855.07,-,443.88,-1.99,
1150519,存股雙十等權重指數,16865.52,-,280.29,-1.63,
1150519,特選大蘋果指數,24621.22,-,628.59,-2.49,
1150519,中小型300指數,16065.39,-,154.07,-0.95,
1150519,微波高息精選20指數,11214.84,+,86.30,0.78,
1150519,特選世代行動通訊指數,18798.19,-,355.82,-1.86,
1150519,智慧投資多因子30指數,7695.82,+,114.14,1.51,
1150519,臺股期貨指數,22061.41,-,315.64,-1.41,
1150519,臺灣上櫃永續指數,13074.20,-,465.02,-3.43,
1150519,特選台股領航指數,21570.71,-,756.55,-3.39,
1150519,特選Smart多因子指數,16762.94,-,421.54,-2.45,
1150519,特選ESG高股息指數,10208.19,-,214.27,-2.06,
1150519,特選上櫃ESG成長指數,9456.95,-,374.23,-3.81,
1150519,臺灣優息存股指數,5024.33,+,31.49,0.63,
1150519,特選上櫃ESG永續高股息指數,13846.77,-,709.98,-4.88,
1150519,特選臺灣金融高股息存股指數,8034.44,+,109.43,1.38,
1150519,特選臺灣產業龍頭存股等權重指數,8095.18,-,100.58,-1.23,
1150519,上櫃ESG 30指數,14594.22,-,550.22,-3.63,
1150519,臺灣ESG低碳50指數,14814.10,-,342.87,-2.26,
1150519,臺灣創新板指數,15370.33,+,14.26,0.09,
1150519,特選上櫃ESG龍頭指數,12410.82,-,249.72,-1.97,
1150519,臺灣市值動能50指數,9667.83,-,243.98,-2.46,
1150519,臺灣護城河概念優選50指數,9038.97,-,196.29,-2.13,
1150519,特選臺灣中小型精選動能100指數,6593.38,-,66.57,-1.00,
1150519,特選臺灣大型股25指數,10340.09,-,203.00,-1.93,
1150519,特選臺灣TOP 50指數,7870.18,-,158.32,-1.97,
1150519,寶島股價報酬指數,69047.72,-,"1,288.78",-1.83,
1150519,發行量加權股價報酬指數,91652.74,-,"1,634.03",-1.75,
1150519,臺灣公司治理100報酬指數,37981.72,-,652.33,-1.69,
1150519,臺灣50報酬指數,85193.16,-,"1,673.66",-1.93,
1150519,臺灣50權重上限30%報酬指數,70763.72,-,"1,613.45",-2.23,
1150519,臺灣中型100報酬指數,69285.52,-,"1,052.90",-1.50,
1150519,臺灣資訊科技股報酬指數,168364.52,-,"3,534.12",-2.06,
1150519,臺灣發達報酬指數,35689.56,-,899.97,-2.46,
1150519,臺灣高股息報酬指數,39123.73,-,396.96,-1.00,
1150519,臺灣就業99報酬指數,40680.24,-,686.33,-1.66,
1150519,臺灣高薪100報酬指數,31265.95,-,529.85,-1.67,
1150519,未含金融電子報酬指數,33252.09,-,64.20,-0.19,
1150519,小型股300報酬指數,19104.71,-,124.27,-0.65,
1150519,水泥類報酬指數,270.23,+,2.26,0.84,
1150519,食品類報酬指數,3342.90,+,10.07,0.30,
1150519,塑膠類報酬指數,364.42,-,6.01,-1.62,
1150519,紡織纖維類報酬指數,826.94,-,3.54,-0.43,
1150519,電機機械類報酬指數,880.67,-,15.53,-1.73,
1150519,電器電纜類報酬指數,168.98,-,3.85,-2.23,
1150519,化學生技醫療類報酬指數,240.65,+,0.82,0.34,
1150519,化學類報酬指數,355.20,-,1.20,-0.34,
1150519,生技醫療類報酬指數,112.41,+,0.79,0.71,
1150519,玻璃陶瓷類報酬指數,195.24,+,1.59,0.82,
1150519,造紙類報酬指數,398.46,+,0.19,0.05,
1150519,鋼鐵類報酬指數,211.24,+,0.54,0.26,
1150519,橡膠類報酬指數,337.75,-,0.41,-0.12,
1150519,汽車類報酬指數,486.32,+,5.03,1.05,
1150519,電子工業類報酬指數,5315.17,-,119.52,-2.20,
1150519,半導體類報酬指數,2621.89,-,66.44,-2.47,
1150519,電腦及週邊設備類報酬指數,889.35,-,15.57,-1.72,
1150519,光電類報酬指數,91.49,+,0.31,0.34,
1150519,通信網路類報酬指數,581.84,-,1.19,-0.20,
1150519,電子零組件類報酬指數,1626.19,-,34.64,-2.09,
1150519,電子通路類報酬指數,1057.52,-,1.80,-0.17,
1150519,資訊服務類報酬指數,517.87,-,1.10,-0.21,
1150519,其他電子類報酬指數,479.04,-,9.77,-2.00,
1150519,建材營造類報酬指數,1010.28,-,5.50,-0.54,
1150519,航運類報酬指數,376.63,+,3.40,0.91,
1150519,觀光餐旅類報酬指數,154.83,+,0.31,0.20,
1150519,金融保險類報酬指數,4879.63,+,59.82,1.24,
1150519,貿易百貨類報酬指數,396.93,+,2.99,0.76,
1150519,油電燃氣類報酬指數,125.08,+,0.16,0.13,
1150519,綠能環保類報酬指數,126.91,-,1.42,-1.11,
1150519,數位雲端類報酬指數,38.54,+,0.58,1.53,
1150519,運動休閒類報酬指數,63.84,-,0.08,-0.13,
1150519,居家生活類報酬指數,105.00,+,0.19,0.18,
1150519,其他類報酬指數,498.07,+,1.77,0.36,
1150519,臺灣生技報酬指數,4056.82,+,32.68,0.81,
1150519,臺灣中小型公司治理報酬指數,28154.34,-,"1,153.25",-3.93,
1150519,臺灣IPO報酬指數,11131.49,-,178.51,-1.58,
1150519,智慧中立報酬指數,4202.47,+,83.76,2.03,
1150519,加權指數掩護性臺指買權價外5%報酬指數,15234.35,-,329.30,-2.12,
1150519,臺灣企業社會責任中小型報酬指數,19865.05,-,484.90,-2.38,
1150519,特選臺灣電動車代表報酬指數,23434.40,-,662.74,-2.75,
1150519,臺灣科技龍頭通訊報酬指數,26953.01,-,629.17,-2.28,
1150519,臺灣全市場報酬指數,16440.14,-,326.50,-1.95,
1150519,臺灣全市場半導體報酬指數,20888.77,-,931.74,-4.27,
1150519,臺灣智慧移動與電動車報酬指數,17148.57,-,245.19,-1.41,
1150519,特選小資高價30報酬指數,22568.76,-,680.25,-2.93,
1150519,特選臺灣綠能及電動車報酬指數,12265.23,-,314.82,-2.50,
1150519,特選臺灣智能車供應鏈聯盟報酬指數,18381.69,-,576.58,-3.04,
1150519,臺灣全市場半導體精選30報酬指數,16559.53,-,642.87,-3.74,
1150519,特選臺灣高股息30報酬指數,9196.70,-,71.99,-0.78,
1150519,臺灣友善環境報酬指數,13935.31,-,220.01,-1.55,
1150519,台灣永續價值報酬指數,13128.52,-,216.38,-1.62,
1150519,特選臺灣IC設計報酬指數,8350.69,-,414.23,-4.73,
1150519,特選臺灣環境永續高股息報酬指數,10369.50,-,45.59,-0.44,
1150519,臺灣友善環境50報酬指數,12779.06,-,320.04,-2.44,
1150519,特選臺灣IC設計產業代表報酬指數,10774.87,-,283.39,-2.56,
1150519,特選臺灣綠能報酬指數,10077.36,-,222.08,-2.16,
1150519,特選臺灣智慧50報酬指數,10826.27,-,258.93,-2.34,
1150519,臺灣晶圓製造報酬指數,16174.64,-,648.17,-3.85,
1150519,臺灣精選高息報酬指數,9964.03,+,56.55,0.57,
1150519,臺灣多因子優選高股息30報酬指數,12159.36,+,95.51,0.79,
1150519,特選臺灣優利高填息30報酬指數,12208.44,-,0.69,-0.01,
1150519,特選臺灣科技優息報酬指數,14931.85,-,255.13,-1.68,
1150519,臺灣半導體收益報酬指數,15920.37,-,608.75,-3.68,
1150519,臺灣優選成長高股息報酬指數,12038.25,-,207.22,-1.69,
1150519,特選臺灣ESG低碳高息40報酬指數,11428.20,-,72.99,-0.63,
1150519,臺灣優選多因子30報酬指數,13820.13,-,27.31,-0.20,
1150519,臺灣創新科技50報酬指數,20834.69,-,767.27,-3.55,
1150519,臺灣全市場新經濟產業報酬指數,4007.30,-,7.67,-0.19,
1150519,臺灣ESG永續高股息等權重報酬指數,7731.38,-,2.66,-0.03,
1150519,臺灣永續高息中小型報酬指數,7799.91,-,17.15,-0.22,
1150519,特選臺灣高息動能報酬指數,9276.77,-,17.29,-0.19,
1150519,臺灣電子成長高息等權重報酬指數,8780.86,+,55.63,0.64,
1150519,特選臺灣優利成長報酬指數,7409.25,-,46.37,-0.62,
1150519,臺灣價值高息報酬指數,7186.28,-,26.03,-0.36,
1150519,特選臺灣IC設計動能報酬指數,12198.02,-,804.34,-6.19,
1150519,臺灣趨勢動能高股息報酬指數,8004.20,-,24.74,-0.31,
1150519,特選臺灣科技高息成長報酬指數,8194.40,+,0.24,--,
1150519,特選臺灣AI優息動能報酬指數,7063.84,-,125.68,-1.75,
1150519,臺灣優選AI 50報酬指數,9029.86,-,198.73,-2.15,
1150519,臺灣AI供應鏈聯盟報酬指數,15678.19,-,474.75,-2.94,
1150519,台灣旗艦動能50報酬指數,9264.14,-,333.57,-3.48,
1150519,特選臺灣動能趨勢報酬指數,14753.37,-,385.55,-2.55,
1150519,漲升股利150報酬指數,28051.30,-,515.71,-1.81,
1150519,藍籌30報酬指數,33375.12,-,863.83,-2.52,
1150519,工業菁英30報酬指數,30546.29,-,654.05,-2.10,
1150519,低波動股利精選30報酬指數,15262.54,+,207.65,1.38,
1150519,中小型A級動能50報酬指數,40123.88,-,750.41,-1.84,
1150519,特選高息低波報酬指數,17476.27,+,132.33,0.76,
1150519,臺灣永續報酬指數,30868.11,-,626.93,-1.99,
1150519,存股雙十等權重報酬指數,24833.65,-,412.72,-1.63,
1150519,特選大蘋果報酬指數,32944.01,-,841.07,-2.49,
1150519,中小型300報酬指數,20685.44,-,198.38,-0.95,
1150519,微波高息精選20報酬指數,14937.08,+,114.94,0.78,
1150519,特選世代行動通訊報酬指數,23724.92,-,449.08,-1.86,
1150519,智慧投資多因子30報酬指數,10533.46,+,156.23,1.51,
1150519,特選大蘋果報酬正向兩倍指數,170459.04,-,"8,931.77",-4.98,
1150519,特選大蘋果報酬反向一倍指數,1324.86,+,32.18,2.49,
1150519,臺灣上櫃永續報酬指數,16305.12,-,579.95,-3.43,
1150519,特選台股領航報酬指數,28012.34,-,982.48,-3.39,
1150519,特選Smart多因子報酬指數,20534.43,-,516.38,-2.45,
1150519,特選ESG高股息報酬指數,14269.02,-,299.50,-2.06,
1150519,特選上櫃ESG成長報酬指數,10989.63,-,434.87,-3.81,
1150519,臺灣優息存股報酬指數,6279.54,+,39.36,0.63,
1150519,特選上櫃ESG永續高股息報酬指數,16401.67,-,840.98,-4.88,
1150519,特選臺灣金融高股息存股報酬指數,9262.78,+,126.16,1.38,
1150519,特選臺灣產業龍頭存股等權重報酬指數,9282.61,-,115.34,-1.23,
1150519,上櫃ESG 30報酬指數,16197.21,-,610.65,-3.63,
1150519,臺灣ESG低碳50報酬指數,16530.28,-,382.59,-2.26,
1150519,臺灣創新板報酬指數,15809.78,+,14.67,0.09,
1150519,特選上櫃ESG龍頭報酬指數,13432.19,-,270.27,-1.97,
1150519,臺灣市值動能50報酬指數,10096.04,-,254.80,-2.46,
1150519,臺灣護城河概念優選50報酬指數,9386.46,-,203.83,-2.13,
1150519,特選臺灣中小型精選動能100報酬指數,6830.07,-,68.95,-1.00,
1150519,特選臺灣大型股25報酬指數,10645.26,-,208.99,-1.93,
1150519,特選臺灣TOP 50報酬指數,7899.09,-,158.91,-1.97,
