日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150520,寶島股價指數,44814.50,-,175.32,-0.39,
1150520,發行量加權股價指數,40020.82,-,154.74,-0.39,
1150520,臺灣公司治理100指數,25020.03,-,135.06,-0.54,
1150520,臺灣50指數,36980.73,-,226.22,-0.61,
1150520,臺灣50權重上限30%指數,30031.71,-,107.88,-0.36,
1150520,臺灣中型100指數,32440.82,+,78.51,0.24,
1150520,臺灣資訊科技指數,78332.77,-,462.95,-0.59,
1150520,臺灣發達指數,16513.94,-,73.65,-0.44,
1150520,臺灣高股息指數,12332.94,+,37.30,0.30,
1150520,臺灣就業99指數,23429.14,-,70.80,-0.30,
1150520,臺灣高薪100指數,18547.25,-,18.28,-0.10,
1150520,未含金融指數,36203.07,-,150.14,-0.41,
1150520,未含電子指數,20183.78,-,23.59,-0.12,
1150520,未含金融電子指數,13877.36,-,24.97,-0.18,
1150520,小型股300指數,13010.61,+,5.76,0.04,
1150520,水泥窯製類指數,635.97,-,6.69,-1.04,
1150520,塑膠化工類指數,729.74,-,4.85,-0.66,
1150520,機電類指數,14242.57,-,65.11,-0.46,
1150520,水泥類指數,121.02,-,0.58,-0.48,
1150520,食品類指數,1904.46,-,24.05,-1.25,
1150520,塑膠類指數,182.70,-,1.76,-0.95,
1150520,紡織纖維類指數,452.79,+,5.22,1.17,
1150520,電機機械類指數,538.75,-,6.41,-1.18,
1150520,電器電纜類指數,98.40,-,0.50,-0.51,
1150520,化學生技醫療類指數,141.21,-,0.64,-0.45,
1150520,化學類指數,187.50,-,1.08,-0.57,
1150520,生技醫療類指數,74.98,-,0.29,-0.39,
1150520,玻璃陶瓷類指數,148.71,-,3.04,-2.00,
1150520,造紙類指數,237.84,-,2.45,-1.02,
1150520,鋼鐵類指數,113.05,-,0.15,-0.13,
1150520,橡膠類指數,188.98,-,0.50,-0.26,
1150520,汽車類指數,276.98,-,0.79,-0.28,
1150520,電子工業類指數,2583.64,-,11.49,-0.44,
1150520,半導體類指數,1369.36,-,6.53,-0.47,
1150520,電腦及週邊設備類指數,359.57,-,1.63,-0.45,
1150520,光電類指數,55.28,-,1.14,-2.02,
1150520,通信網路類指數,247.08,-,3.49,-1.39,
1150520,電子零組件類指數,806.74,+,2.65,0.33,
1150520,電子通路類指數,392.93,+,16.74,4.45,
1150520,資訊服務類指數,194.64,+,0.03,0.02,
1150520,其他電子類指數,261.66,-,4.18,-1.57,
1150520,建材營造類指數,448.92,+,1.24,0.28,
1150520,航運類指數,178.29,+,3.95,2.27,
1150520,觀光餐旅類指數,99.81,-,0.23,-0.23,
1150520,金融保險類指數,2539.21,-,0.60,-0.02,
1150520,貿易百貨類指數,226.31,-,4.17,-1.81,
1150520,油電燃氣類指數,73.73,+,0.16,0.22,
1150520,綠能環保類指數,117.68,+,1.44,1.24,
1150520,數位雲端類指數,35.72,-,0.29,-0.81,
1150520,運動休閒類指數,56.80,-,0.41,-0.72,
1150520,居家生活類指數,89.04,-,1.51,-1.67,
1150520,其他類指數,262.34,,--,--,
1150520,臺指日報酬兩倍指數,173536.15,-,"1,347.16",-0.77,
1150520,臺指反向一倍指數,1480.62,+,5.68,0.39,
1150520,電子類兩倍槓桿指數,297843.39,-,"2,660.98",-0.89,
1150520,電子類反向指數,902.24,+,3.98,0.44,
1150520,臺灣生技指數,3469.26,-,14.87,-0.43,
1150520,臺灣中小型公司治理指數,19281.55,-,109.03,-0.56,
1150520,臺灣IPO指數,9137.19,+,145.30,1.62,
1150520,智慧中立指數,3035.81,-,20.36,-0.67,
1150520,臺灣企業社會責任中小型指數,14865.79,-,51.93,-0.35,
