Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150520,6552,易華電,126057,3531439,27.85,28.25,27.60,28.00,0.0000,138
1150520,6558,興能高,2847075,90939867,30.40,32.85,30.40,32.20,1.9500,2254
1150520,6573,虹揚-KY,90585,1196741,13.50,13.65,13.00,13.10,-0.3000,65
1150520,6579,研揚,586507,87552123,149.00,151.50,147.50,149.00,0.0000,691
1150520,6581,鋼聯,21798,2332655,107.00,107.50,106.50,107.00,-0.5000,41
1150520,6582,申豐,42990,1313741,30.50,30.60,30.50,30.60,0.1000,71
1150520,6585,鼎基,63504,5914091,94.00,94.00,92.50,92.90,-1.1000,389
1150520,6589,台康生技,701456,30675369,43.90,44.60,43.35,43.60,-0.3000,534
1150520,6591,動力-KY,157953,8155443,52.00,52.30,51.30,51.80,-0.2000,193
1150520,6592,和潤企業,353173,21510018,61.50,61.50,60.60,61.00,-0.1000,402
1150520,6592A,和潤企業甲特,2084,202048,97.00,97.00,96.90,96.90,-0.1000,4
1150520,6592B,和潤企業乙特,14362,1399214,97.50,97.50,97.40,97.40,0.1000,18
1150520,6598,ABC-KY,254450,6227912,25.00,25.00,24.10,24.20,-0.4500,209
1150520,6605,帝寶,201257,26063049,130.50,131.50,128.50,129.50,-0.5000,296
1150520,6606,建德工業,61908,1509346,24.50,24.70,24.00,24.40,-0.1500,65
1150520,6614,資拓宏宇,65632,2578403,39.30,39.40,39.10,39.35,0.0000,73
1150520,6625,必應,75254,5452835,72.30,73.60,72.10,72.20,-0.3000,126
1150520,6641,基士德-KY,17319,316997,18.45,18.45,18.25,18.25,-0.2000,21
1150520,6645,金萬林-創,22592,269153,12.00,12.05,11.80,11.95,-0.0500,22
1150520,6655,科定,7016,932977,133.00,133.00,133.00,133.00,1.0000,7
1150520,6657,華安,108584,4244999,39.65,39.70,38.60,39.00,-0.6500,105
1150520,6658,聯策,2804248,481410392,173.00,180.50,165.50,170.00,-13.0000,3561
1150520,6666,羅麗芬-KY,16289,660848,41.30,41.30,40.30,40.35,-0.6500,39
1150520,6668,中揚光,698624,27099944,38.40,39.85,37.60,37.85,-0.5500,631
1150520,6669,緯穎,1739872,8489261155,4890.00,4960.00,4775.00,4910.00,20.0000,13593
1150520,6670,復盛應用,232996,60531116,264.00,264.00,258.00,259.00,-3.5000,626
1150520,6671,三能-KY,21224,598628,28.50,28.50,28.00,28.30,0.3000,24
1150520,6672,騰輝電子-KY,1485391,263783296,179.00,181.50,176.00,176.50,-2.5000,2357
1150520,6674,鋐寶科技,18009,304550,17.20,17.20,16.85,16.90,0.0500,20
1150520,6689,伊雲谷,130574,8433342,64.60,65.60,64.30,64.30,-0.3000,173
1150520,6691,洋基工程,339001,208860526,620.00,625.00,609.00,613.00,-7.0000,1026
1150520,6695,芯鼎,1342950,67636723,49.50,51.50,49.05,50.60,1.2500,1214
1150520,6698,旭暉應材,107082,3349139,30.75,31.45,30.75,31.35,0.4500,135
1150520,6706,惠特,8013250,1336753712,174.50,175.00,160.50,160.50,-12.5000,6759
1150520,6715,嘉基,961160,454835531,478.50,485.00,453.00,481.00,-3.0000,1596
1150520,6719,力智,4707267,1058337869,210.00,232.00,207.50,232.00,21.0000,7196
1150520,6722,輝創,50110,1875874,37.30,37.70,37.10,37.20,-0.1000,29
1150520,6742,澤米,11288669,629356689,53.60,57.40,52.50,56.10,3.9000,8282
1150520,6743,安普新,257451,7298504,28.05,29.00,28.05,28.85,0.5000,177
1150520,6753,龍德造船,1308263,165521447,125.50,130.00,124.00,124.50,0.5000,1195
1150520,6754,匯僑設計,27575,1206775,43.95,44.00,43.30,43.30,-0.3500,26
1150520,6756,威鋒電子,410008,39920750,95.50,99.50,93.50,96.20,2.2000,683
1150520,6757,台灣虎航,680594,35543224,52.50,52.80,51.80,52.40,0.0000,976
1150520,6768,志強-KY,515477,43382343,85.40,85.50,83.00,84.30,-1.1000,548
1150520,6770,力積電,84341651,4872619629,58.70,59.40,56.60,57.80,-0.7000,44609
1150520,6771,平和環保-創,17062,721918,42.25,42.35,42.10,42.10,-0.2000,13
1150520,6776,展碁國際,271353,15614670,57.00,58.00,56.60,57.30,0.5000,232
1150520,6781,AES-KY,1086314,1196940880,1125.00,1130.00,1080.00,1090.00,-35.0000,4232
1150520,6782,視陽,226689,43427444,193.00,194.50,190.50,190.50,-2.5000,336
1150520,6789,采鈺,3974079,2050213587,523.00,525.00,506.00,519.00,0.0000,7782
1150520,6790,永豐實,174167,6882969,39.95,39.95,39.40,39.45,-0.3500,153
1150520,6792,詠業,135594,8680662,62.60,65.50,62.60,63.90,0.9000,147
1150520,6794,向榮生技,36850,2915715,81.70,81.70,78.50,78.50,-1.7000,42
1150520,6796,晉弘,42429,2632863,62.00,63.00,61.20,62.90,0.4000,42
1150520,6799,來頡,522537,49144999,92.10,95.70,91.00,94.70,2.6000,554
1150520,6805,富世達,1087686,1905455945,1770.00,1810.00,1710.00,1720.00,-50.0000,3928
1150520,6806,森崴能源,173810,1981406,11.40,11.40,11.40,11.40,-1.2500,192
1150520,6807,峰源-KY,22000,733500,33.60,33.60,33.00,33.00,-0.4500,19
1150520,6830,汎銓,1979727,1389173702,712.00,737.00,678.00,684.00,-28.0000,5526
1150520,6831,邁科,659967,471437107,726.00,728.00,700.00,720.00,-13.0000,1278
1150520,6834,天二科技,6293048,379732970,56.40,60.60,56.00,60.60,5.5000,1813
1150520,6835,圓裕,158246,5998614,37.85,38.10,37.60,38.05,0.2000,92
1150520,6838,台新藥,115202,2968783,26.00,26.00,25.60,25.90,-0.1500,110
1150520,6854,錼創科技-KY創,763181,113023062,148.00,152.50,145.00,145.50,-4.0000,880
1150520,6861,睿生光電,284156,114858735,410.00,418.00,391.00,407.00,-2.5000,598
1150520,6862,三集瑞-KY,928568,156835261,162.50,172.50,162.50,166.00,4.5000,1021
1150520,6863,永道-KY,244522,26221265,106.00,110.00,104.50,109.50,3.5000,208
1150520,6869,雲豹能源,404128,31834347,77.50,79.40,77.50,78.80,1.6000,510
1150520,6873,泓德能源,698921,59194742,82.70,85.90,82.70,84.90,2.2000,937
1150520,6885,全福生技,197466,4348267,21.90,22.20,21.80,22.20,0.3000,138
1150520,6887,寶綠特-KY,33463,1161171,34.50,35.60,34.35,34.95,0.0000,46
1150520,6890,來億-KY,782442,131871981,167.50,174.00,164.00,165.50,-1.5000,815
1150520,6901,鑽石投資,643504,8670603,13.65,13.65,13.35,13.45,-0.2000,467
1150520,6902,GOGOLOOK,757882,98113827,129.00,135.50,124.50,128.00,1.0000,792
1150520,6906,現觀科,188337,13145909,69.80,69.80,69.80,69.80,6.3000,157
1150520,6908,宏碁遊戲-創,5001,194138,39.00,39.00,38.10,38.10,-0.1000,6
1150520,6909,創控,602870,30649586,50.60,51.80,49.60,50.70,0.2000,734
1150520,6914,阜爾運通,45710,6525716,143.00,143.50,142.50,143.00,0.5000,120
1150520,6916,華凌,39217,663582,17.05,17.05,16.85,16.85,-0.2000,35
1150520,6918,愛派司,18215,1351123,75.70,75.70,73.60,74.50,0.9000,25
1150520,6919,康霈*,14298496,1496124690,107.00,109.00,100.50,101.00,-3.0000,10138
1150520,6921,嘉雨思-創,2651,201471,75.90,75.90,75.90,75.90,0.0000,6
1150520,6923,中台,119863,9215705,78.00,78.40,75.60,77.60,0.3000,124
1150520,6924,榮惠-KY創,148733,23781589,153.00,166.50,153.00,163.00,3.5000,197
1150520,6928,攸泰科技,59557,2739664,45.80,46.30,45.80,45.85,0.0500,84
1150520,6931,青松健康,168260,6823945,41.00,41.25,40.15,40.55,-0.6500,173
1150520,6933,AMAX-KY,129495,20388258,156.00,160.50,154.50,155.50,0.5000,178
1150520,6934,心誠鎂,55741,4195550,71.80,76.80,71.80,75.00,3.5000,67
1150520,6936,永鴻生技,27860,928012,33.30,33.40,33.25,33.40,0.1500,34
1150520,6937,天虹,564452,160620364,285.00,295.50,278.00,279.50,-1.5000,834
1150520,6944,兆聯實業,516708,462139905,902.00,914.00,886.00,886.00,-12.0000,3178
1150520,6949,沛爾生醫-創,55505,37453142,668.00,688.00,662.00,687.00,18.0000,103
1150520,6951,青新-創,33414,2694408,80.10,81.00,80.10,81.00,0.7000,54
1150520,6952,大武山,14095,522305,37.50,38.00,36.80,36.85,-0.1000,21
1150520,6955,邦睿生技-創,,,,,,,0.0000,
1150520,6957,裕慶-KY,44101,7052651,160.00,161.00,159.00,160.00,0.0000,43
1150520,6958,日盛台駿,99967,1678945,16.70,17.05,16.40,17.00,0.3000,86
1150520,6958A,日盛台駿甲特,4059,75412,18.55,18.60,18.55,18.60,0.0000,4
1150520,6962,奕力-KY,7138794,269775983,36.10,38.70,36.00,38.10,2.1500,4406
1150520,6965,中傑-KY,75197,5653157,75.10,76.10,74.60,76.10,0.1000,80
1150520,6969,成信實業*-創,14100,395300,28.05,28.20,27.95,28.05,0.0000,14
1150520,6988,威力暘-創,80000,1367050,17.20,17.40,16.75,16.90,0.0500,46
1150520,6994,富威電力,325875,17128275,53.30,53.30,52.00,52.00,-0.3000,317
1150520,7610,聯友金屬-創,790400,863233705,1020.00,1120.00,1005.00,1120.00,100.0000,2349
1150520,7631,聚賢研發-創,3729,453530,122.00,122.00,122.00,122.00,-1.5000,14
1150520,7705,三商餐飲,191068,5890038,30.30,31.30,30.20,31.00,0.5500,208
1150520,7711,永擎,785500,280117158,370.50,370.50,349.50,350.00,-20.5000,1945
1150520,7721,微程式,259516,18567528,71.80,73.00,70.10,71.40,-0.6000,266
1150520,7722,LINEPAY,120303,30374305,253.50,255.50,251.00,253.50,0.5000,401
1150520,7730,暉盛-創,479936,110726544,239.00,239.50,222.50,226.00,7.5000,843
1150520,7732,金興精密,6001,208234,35.00,35.00,34.30,34.50,-0.5000,7
1150520,7736,虎山,18153,1299398,72.00,72.00,71.30,71.90,0.0000,20
1150520,7740,熙特爾-創,122250,19795427,165.50,165.50,160.00,160.00,-4.5000,157
1150520,7749,意騰-KY,365965,175973190,483.00,488.00,475.50,475.50,-6.5000,747
1150520,7750,新代,2366132,5708247930,2410.00,2520.00,2330.00,2495.00,145.0000,3671
1150520,7760,享溫馨,180724,6073916,34.05,34.05,33.50,33.65,-0.4000,114
1150520,7765,中華資安,30621,7489023,244.00,246.50,243.00,243.50,-1.5000,1399
1150520,7768,頌勝科技,198162,73153342,365.00,375.00,364.00,369.00,5.5000,455
1150520,7769,鴻勁,453843,3101349925,6470.00,6995.00,6470.00,6980.00,380.0000,4532
1150520,7780,大研生醫*,1227672,22652834,18.50,18.60,18.30,18.50,0.0500,720
1150520,7786,東方風能,180297,20756823,117.00,117.00,114.00,114.50,-2.5000,255
1150520,7788,松川精密,1806866,347533387,207.00,207.00,187.00,187.00,-20.5000,2890
1150520,7791,皇家可口,28259,1776256,62.80,63.10,62.80,62.90,0.1000,32
1150520,7795,長廣,118411,40867469,344.00,347.00,340.00,345.00,1.5000,282
1150520,7799,禾榮科,138697,42097842,303.00,307.00,300.50,307.00,4.0000,571
1150520,7803,雲象科技-創,920496,21115098,22.25,24.30,20.00,22.95,0.0000,564
1150520,7818,溢泰實業,699837,47379417,68.80,69.20,66.70,67.10,0.1000,673
1150520,7821,神數,97944,4255246,43.60,43.90,43.20,43.55,0.1500,123
1150520,7822,倍利科,219215,229660325,1080.00,1080.00,1025.00,1040.00,-35.0000,2040
1150520,7823,奧義賽博-KY創,227915,23666591,100.00,108.50,97.10,107.00,7.0000,241
1150520,8011,台通,2507815,44490832,17.90,18.25,17.55,17.80,-0.0500,881
1150520,8016,矽創,3570495,1028986687,280.50,294.00,276.00,285.50,5.0000,6380
1150520,8021,尖點,16228105,5978366927,390.00,399.50,353.00,361.00,-31.0000,25581
1150520,8028,昇陽半導體,7566033,1970080832,264.50,267.00,254.50,258.50,-3.5000,12114
1150520,8033,雷虎,5458827,741736474,133.50,142.00,132.50,133.00,0.5000,4978
1150520,8039,台虹,9143802,1173747818,133.50,134.00,125.50,126.50,-7.0000,8258
1150520,8045,達運光電,110041,7800323,71.50,71.70,70.10,71.40,-0.5000,150
1150520,8046,南電,12893086,10512473088,807.00,843.00,783.00,829.00,31.0000,20200
1150520,8070,長華*,3681851,158867321,42.80,44.05,42.40,42.80,0.1500,2443
1150520,8072,陞泰,151530,4133019,26.75,27.60,26.75,27.25,0.4500,156
1150520,8081,致新,3219270,888293672,262.50,283.50,262.50,272.00,8.0000,3682
1150520,8101,華冠,1203,15765,13.15,13.15,13.15,13.15,0.0500,7
1150520,8103,瀚荃,910307,94365008,104.50,104.50,102.50,104.00,0.0000,871
1150520,8104,錸寶,371544,12496724,33.55,34.05,33.30,33.60,0.0500,281
1150520,8105,凌巨,2928632,45241615,15.70,15.75,15.15,15.45,-0.2500,1433
1150520,8110,華東,7135942,330026054,47.50,47.60,45.65,46.25,-1.1000,5250
1150520,8112,至上,37657749,3192106286,85.70,86.50,83.60,84.00,0.4000,24792
1150520,8112A,至上甲特,25973,1201249,46.25,46.25,46.25,46.25,0.0000,28
1150520,8114,振樺電,968502,223423804,218.50,237.00,218.50,237.00,21.5000,1492
1150520,8131,福懋科,3044437,183664931,60.40,61.90,58.50,60.90,0.7000,2450
1150520,8150,南茂,15031169,1133779331,77.60,77.60,74.20,74.40,-3.2000,12659
1150520,8162,微矽電子-創,378400,20477407,53.50,55.10,53.20,54.10,0.6000,293
1150520,8163,達方,6584051,221918697,33.00,34.85,32.80,33.00,0.1500,3983
1150520,8201,無敵,94651,1155740,12.15,12.60,12.00,12.60,0.4500,75
1150520,8210,勤誠,1156965,1504721325,1330.00,1345.00,1270.00,1285.00,-40.0000,4151
1150520,8213,志超,498431,18377328,36.75,37.20,36.60,36.70,-0.0500,424
1150520,8215,明基材,1090271,29066339,26.95,27.05,26.30,26.65,-0.3500,865
1150520,8222,寶一,219150,7794298,35.55,36.05,35.30,35.30,0.1000,230
1150520,8249,菱光,2004393,103324865,52.90,53.10,50.90,51.00,-2.5000,1829
1150520,8261,富鼎,11264130,1638573949,136.50,149.00,135.50,149.00,13.5000,8581
1150520,8271,宇瞻,3163400,686742712,221.50,222.00,211.50,215.00,-6.5000,3662
1150520,8341,日友,165667,12569171,76.30,76.30,75.60,76.00,-0.2000,242
1150520,8367,建新國際,21286,884308,41.50,41.75,41.35,41.55,-0.2500,25
1150520,8374,羅昇,3041794,298260930,102.00,102.00,95.30,96.90,-5.1000,2903
1150520,8404,百和興業-KY,341056,5583342,16.50,16.50,16.30,16.30,-0.1000,195
1150520,8411,福貞-KY,72287,859897,12.00,12.00,11.85,11.85,-0.1500,82
1150520,8422,可寧衛*,6124303,156861808,25.55,25.95,25.40,25.70,0.1500,3927
1150520,8429,金麗-KY,300823,1848399,6.03,6.22,6.03,6.04,-0.0300,165
1150520,8438,昶昕,762978,67684455,84.20,90.70,84.20,88.70,3.8000,965
1150520,8442,威宏-KY,108282,4359854,41.00,41.05,40.00,40.30,-0.7000,111
1150520,8443,阿瘦,21004,237393,11.35,11.40,11.15,11.40,-0.0500,70
