Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150519,00400A,主動國泰動能高息,45976795,590833935,13.04,13.10,12.70,12.70,-0.3500,13755
1150519,00401A,主動摩根台灣鑫收,12454171,151930156,12.35,12.45,12.14,12.15,-0.2000,1371
1150519,00403A,主動統一升級50,984439002,9628425104,9.85,9.92,9.72,9.72,-0.1200,282739
1150519,0050,元大台灣50,135939820,12740872880,94.35,94.70,93.10,93.10,-1.8000,304750
1150519,0051,元大中型100,87842,11329472,130.20,130.30,127.45,127.75,-1.5500,616
1150519,0052,富邦科技,32719343,1805274171,55.40,55.75,54.75,54.80,-1.0500,35807
1150519,0053,元大電子,17252,3714286,217.50,217.50,212.25,212.25,-5.9500,178
1150519,0055,元大MSCI金融,304237,10363979,33.65,34.30,33.64,33.91,0.4200,579
1150519,0056,元大高股息,55685573,2473462047,44.50,45.10,44.00,44.01,-0.4900,35422
1150519,0057,富邦摩台,18476,5168142,281.10,281.50,276.95,276.95,-5.0000,146
1150519,0061,元大寶滬深,145887,3597619,24.80,24.80,24.60,24.65,-0.1500,182
1150519,006203,元大MSCI台灣,91261,15547195,171.15,172.00,168.70,168.70,-3.6000,140
1150519,006204,永豐臺灣加權,10745,2168818,203.25,203.25,200.45,201.00,-2.8000,118
1150519,006205,富邦上証,636888,25989306,40.80,41.00,40.74,40.92,0.0200,255
1150519,006206,元大上證50,71892,2645743,36.90,36.90,36.73,36.77,-0.1500,121
1150519,006207,復華滬深,132102,4353960,33.13,33.13,32.80,32.99,-0.1500,111
1150519,006208,富邦台50,4228697,917668832,218.90,219.15,215.60,215.65,-3.7500,23044
1150519,00625K,富邦上証+R,,,,,,,0.0000,
1150519,00631L,元大台灣50正2,218924740,6618386637,30.58,30.83,29.91,29.93,-0.9800,101928
1150519,00632R,元大台灣50反1,124759373,1447061008,11.52,11.68,11.47,11.66,0.1900,12371
1150519,00633L,富邦上証正2,1888404,96104707,51.55,51.55,50.35,50.90,-0.6000,445
1150519,00634R,富邦上証反1,269000,836440,3.10,3.12,3.10,3.12,0.0200,21
1150519,00635U,期元大S&P黃金,2163824,103172340,47.75,47.84,47.50,47.55,-0.0700,2248
1150519,00636,國泰中國A50,476149,13435951,28.36,28.36,28.12,28.23,-0.1300,293
1150519,00636K,國泰中國A50+U,200,1796,8.98,8.98,8.98,8.98,-0.0200,2
1150519,00637L,元大滬深300正2,34636515,729614921,21.40,21.40,20.83,21.03,-0.2600,2811
1150519,00638R,元大滬深300反1,196450,1308351,6.60,6.68,6.60,6.67,0.0400,24
1150519,00639,富邦深100,676505,11872531,17.71,17.77,17.39,17.57,-0.1400,356
1150519,00640L,富邦日本正2,215759,20941690,96.90,97.80,96.50,97.05,0.5000,113
1150519,00641R,富邦日本反1,2331076,9199789,3.94,3.96,3.93,3.95,0.0000,70
1150519,00642U,期元大S&P石油,3868618,125529096,32.47,32.64,32.30,32.59,-0.0300,1235
1150519,00643,群益深証中小,2709558,54369921,20.13,20.17,19.85,20.12,-0.0100,196
1150519,00643K,群益深証中小+R,,,,,,,0.0000,
1150519,00645,富邦日本,372331,20133247,54.00,54.25,53.90,54.10,0.1500,398
1150519,00646,元大S&P500,4691851,344882333,73.25,73.65,73.25,73.40,0.1000,3188
1150519,00647L,元大S&P500正2,32688,4289008,131.30,131.55,131.00,131.00,0.6500,95
1150519,00648R,元大S&P500反1,861980,3496179,4.06,4.06,4.04,4.06,-0.0100,77
1150519,00650L,復華香港正2,2708067,46980033,17.19,17.48,17.18,17.33,0.0800,461
1150519,00651R,復華香港反1,51359,268209,5.21,5.24,5.21,5.23,-0.0100,17
1150519,00652,富邦印度,215123,6933004,32.21,32.33,32.17,32.32,0.3300,282
1150519,00653L,富邦印度正2,243003,11006501,44.80,45.46,44.80,45.46,1.0100,133
1150519,00654R,富邦印度反1,183845,1259635,6.86,6.89,6.84,6.86,-0.1000,17
1150519,00655L,國泰中國A50正2,1359898,48262473,35.87,35.90,35.06,35.47,-0.4400,265
1150519,00656R,國泰中國A50反1,176000,1039500,5.86,5.92,5.86,5.91,0.0500,12
1150519,00657,國泰日經225,79470,5677230,71.50,71.80,70.95,71.15,-0.5500,91
1150519,00657K,國泰日經225+U,200,4496,22.48,22.48,22.48,22.48,-0.1500,2
1150519,00660,元大歐洲50,45895,1953809,42.90,42.90,42.54,42.55,0.5100,111
1150519,00661,元大日經225,199322,15611749,78.55,78.80,77.85,78.15,-0.7500,222
1150519,00662,富邦NASDAQ,7645994,897270404,117.65,117.80,117.05,117.20,-0.6000,5789
1150519,00663L,國泰臺灣加權正2,9123742,791212544,87.65,88.45,85.55,85.95,-2.4500,5155
1150519,00664R,國泰臺灣加權反1,16655097,31248703,1.87,1.89,1.85,1.88,0.0200,749
1150519,00665L,富邦恒生國企正2,9945484,97276833,9.75,9.86,9.69,9.78,0.0300,812
1150519,00666R,富邦恒生國企反1,13330,120586,9.04,9.05,9.02,9.05,-0.0300,6
1150519,00668,國泰美國道瓊,24114,1380093,57.25,57.35,57.15,57.15,0.4500,118
1150519,00668K,國泰美國道瓊+U,200,3628,18.14,18.14,18.14,18.14,0.0500,2
1150519,00669R,國泰美國道瓊反1,2144000,11904159,5.55,5.56,5.53,5.55,-0.0500,96
1150519,00670L,富邦NASDAQ正2,1214544,243231168,201.40,201.95,199.40,200.00,-1.5000,1118
1150519,00671R,富邦NASDAQ反1,4867300,12169170,2.48,2.51,2.48,2.51,0.0100,189
