Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150706,00400A,主動國泰動能高息,68129433,1030726137,15.47,15.50,14.91,15.00,-0.3000,17277
1150706,00401A,主動摩根台灣鑫收,4718526,65156081,13.87,14.05,13.66,13.72,-0.1400,809
1150706,00402A,主動安聯美國科技,7528548,73765377,9.83,9.84,9.77,9.80,-0.0400,2236
1150706,00403A,主動統一升級50,238256447,2628209710,11.24,11.26,10.88,10.93,-0.2100,50108
1150706,00404A,主動聯博動能50,13289785,137088648,10.35,10.41,10.19,10.26,-0.0100,1461
1150706,00405A,主動富邦台灣龍耀,107022109,991997216,9.51,9.54,9.11,9.15,-0.2900,21413
1150706,00406A,主動中信台灣收益,17193077,177313613,10.55,10.57,10.17,10.23,-0.2500,4257
1150706,00407A,主動凱基台灣,164235969,1627123822,10.10,10.11,9.79,9.85,-0.1700,27425
1150706,0050,元大台灣50,75784190,8237066196,109.05,109.60,107.70,108.25,-0.1000,115863
1150706,0051,元大中型100,69132,10394987,150.50,151.60,149.30,149.50,0.1500,831
1150706,0052,富邦科技,16521834,1054291586,63.95,64.40,63.20,63.55,0.0000,14700
1150706,0053,元大電子,69924,17259572,247.45,249.25,245.50,246.55,-0.8500,2174
1150706,0055,元大MSCI金融,382359,16073313,41.54,42.17,41.54,42.09,0.5500,607
1150706,0056,元大高股息,55408378,2965784412,53.40,53.95,53.10,53.25,0.4000,34242
1150706,0057,富邦摩台,8478,2726082,323.45,323.70,322.45,322.45,-0.1500,447
1150706,0061,元大寶滬深,545250,13797318,25.27,25.47,25.12,25.22,-0.0500,251
1150706,006203,元大MSCI台灣,51362,10123471,198.50,199.05,196.40,196.65,-1.3000,126
1150706,006204,永豐臺灣加權,7212,1703265,236.25,236.90,234.80,234.80,-1.4500,114
1150706,006205,富邦上証,316679,13201313,41.66,41.92,41.42,41.73,0.2900,277
1150706,006206,元大上證50,33647,1275987,38.00,38.00,37.48,37.95,0.4800,240
1150706,006207,復華滬深,490355,16605489,33.82,34.02,33.60,33.86,0.0300,184
1150706,006208,富邦台50,4129918,1042850904,252.95,254.05,250.40,251.35,0.0000,13629
1150706,00625K,富邦上証+R,0,0,0.00,0.00,0.00,0.00,0.0000,0
1150706,00631L,元大台灣50正2,237352697,9278629838,39.40,39.76,38.38,38.75,-0.0500,72928
1150706,00632R,元大台灣50反1,81776764,808350371,9.83,9.98,9.80,9.92,0.0400,8687
1150706,00633L,富邦上証正2,3509057,173711168,49.64,50.15,48.86,49.73,0.0900,802
1150706,00634R,富邦上証反1,491000,1530000,3.12,3.13,3.10,3.11,0.0100,20
1150706,00635U,期元大S&P黃金,5320148,232104648,43.98,44.00,43.34,43.35,-0.2500,4087
1150706,00636,國泰中國A50,428732,12101103,28.23,28.44,28.06,28.29,0.0600,275
1150706,00636K,國泰中國A50+U,200,1778,8.89,8.89,8.89,8.89,-0.0200,2
1150706,00637L,元大滬深300正2,27290299,559860201,20.56,20.75,20.23,20.61,0.0600,3127
1150706,00638R,元大滬深300反1,285000,1909560,6.69,6.75,6.68,6.70,0.0100,19
1150706,00639,富邦深100,914081,16569661,18.25,18.34,17.88,18.10,-0.1600,400
1150706,00640L,富邦日本正2,99213,10739975,108.45,108.80,107.65,108.50,1.6000,114
1150706,00641R,富邦日本反1,1281174,4777436,3.72,3.75,3.72,3.72,-0.0200,95
1150706,00642U,期元大S&P石油,1193501,26777863,22.34,22.60,22.34,22.48,-0.1100,546
1150706,00643,群益深証中小,2666880,54342147,20.47,20.60,20.15,20.31,-0.0900,239
1150706,00643K,群益深証中小+R,20000,87720,4.39,4.40,4.37,4.37,0.0000,20
1150706,00645,富邦日本,134623,7771161,57.75,57.85,57.50,57.85,0.4000,468
1150706,00646,元大S&P500,2743482,207283066,75.40,75.70,75.35,75.65,0.4500,4241
1150706,00647L,元大S&P500正2,82129,11056914,134.75,134.80,134.40,134.70,0.2000,74
1150706,00648R,元大S&P500反1,353798,1420592,4.02,4.03,4.00,4.02,0.0000,57
1150706,00650L,復華香港正2,5785802,85356464,14.57,14.97,14.42,14.81,0.3300,970
1150706,00651R,復華香港反1,220399,1246742,5.69,5.69,5.60,5.62,-0.0500,19
1150706,00652,富邦印度,761340,25459270,33.46,33.65,33.28,33.65,0.1700,476
1150706,00653L,富邦印度正2,204223,9774274,47.94,48.12,47.50,48.07,0.2900,99
1150706,00654R,富邦印度反1,53100,355119,6.69,6.70,6.66,6.66,0.0000,11
1150706,00655L,國泰中國A50正2,2527695,87144541,34.41,34.86,33.92,34.59,0.1500,410
1150706,00656R,國泰中國A50反1,48000,284140,5.94,5.95,5.90,5.90,0.0000,10
1150706,00657,國泰日經225,135370,10996403,81.50,81.60,80.70,81.20,-0.0500,96
1150706,00657K,國泰日經225+U,200,5064,25.32,25.32,25.32,25.32,-0.1800,2
1150706,00660,元大歐洲50,17509,820249,46.80,46.95,46.73,46.95,0.1500,127
1150706,00661,元大日經225,268427,24056050,90.00,90.00,88.85,89.70,0.0500,337
1150706,00662,富邦NASDAQ,3915777,476628355,122.00,122.00,121.35,121.70,0.1500,4432
1150706,00663L,國泰臺灣加權正2,14147081,1603958778,114.50,115.10,110.95,112.15,-0.6500,4838
1150706,00664R,國泰臺灣加權反1,21014917,33660851,1.59,1.62,1.58,1.61,0.0100,589
1150706,00665L,富邦恒生國企正2,20122597,161972546,7.87,8.19,7.82,8.09,0.2300,1850
1150706,00666R,富邦恒生國企反1,87530,866126,10.00,10.03,9.84,9.90,-0.0400,29
1150706,00668,國泰美國道瓊,15643,969688,62.00,62.05,61.95,62.05,0.1000,122
1150706,00668K,國泰美國道瓊+U,200,3868,19.34,19.34,19.34,19.34,-0.0300,2
1150706,00669R,國泰美國道瓊反1,267027,1395430,5.21,5.24,5.21,5.22,0.0100,51
1150706,00670L,富邦NASDAQ正2,871331,179130142,207.65,207.65,204.15,205.25,-0.6500,982
1150706,00671R,富邦NASDAQ反1,1796959,4380573,2.42,2.45,2.42,2.44,0.0200,103
1150706,00673R,期元大S&P原油反1,17458620,281977873,16.23,16.23,16.04,16.17,0.1100,838
1150706,00674R,期元大S&P黃金反1,338488,9974723,29.37,29.66,29.29,29.66,0.2100,81
