Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150707,00400A,主動國泰動能高息,124304652,1817008012,15.00,15.01,14.30,14.35,-0.6500,32041
1150707,00401A,主動摩根台灣鑫收,4862907,65445628,13.73,14.00,13.24,13.25,-0.4700,1220
1150707,00402A,主動安聯美國科技,8164452,79821861,9.80,9.83,9.74,9.74,-0.0600,2265
1150707,00403A,主動統一升級50,422831712,4487849426,10.98,10.98,10.41,10.45,-0.4800,106655
1150707,00404A,主動聯博動能50,10163730,102578057,10.27,10.29,9.96,9.99,-0.2700,2158
1150707,00405A,主動富邦台灣龍耀,286915853,2532735975,9.20,9.20,8.65,8.65,-0.5000,73370
1150707,00406A,主動中信台灣收益,37201515,370911755,10.24,10.26,9.83,9.86,-0.3700,9361
1150707,00407A,主動凱基台灣,191979713,1849735731,9.87,9.88,9.49,9.50,-0.3500,45075
1150707,0050,元大台灣50,124629074,13347653985,108.55,109.05,105.85,106.20,-2.0500,235518
1150707,0051,元大中型100,91823,13446747,149.50,149.50,144.00,144.00,-5.5000,874
1150707,0052,富邦科技,24464406,1540385749,63.80,64.00,62.05,62.20,-1.3500,24068
1150707,0053,元大電子,65655,15993918,246.40,247.50,237.65,237.65,-8.9000,1967
1150707,0055,元大MSCI金融,569715,24246333,42.09,42.89,42.09,42.37,0.2800,750
1150707,0056,元大高股息,90628906,4763279755,53.25,53.60,51.95,52.15,-1.1000,75167
1150707,0057,富邦摩台,23982,7630556,320.75,321.60,315.40,316.05,-6.4000,1286
1150707,0061,元大寶滬深,115843,2913590,25.22,25.22,24.90,24.91,-0.3100,169
1150707,006203,元大MSCI台灣,65836,12868169,197.00,198.20,193.00,193.40,-3.2500,131
1150707,006204,永豐臺灣加權,3432,793008,230.20,230.20,229.40,229.40,-5.4000,124
1150707,006205,富邦上証,139160,5753238,41.70,41.70,40.95,41.05,-0.6800,238
1150707,006206,元大上證50,22773,857757,37.46,37.92,37.40,37.40,-0.5500,91
1150707,006207,復華滬深,362553,12156081,33.69,33.69,33.20,33.35,-0.5100,143
1150707,006208,富邦台50,5087336,1266173811,251.60,253.15,246.05,246.50,-4.8500,22832
1150707,00625K,富邦上証+R,0,0,0.00,0.00,0.00,0.00,0.0000,0
1150707,00631L,元大台灣50正2,363737617,13881390830,39.00,39.35,37.06,37.19,-1.5600,134689
1150707,00632R,元大台灣50反1,170735671,1715260019,9.90,10.18,9.87,10.18,0.2600,18107
1150707,00633L,富邦上証正2,2360911,116422774,49.73,50.00,48.55,49.10,-0.6300,619
1150707,00634R,富邦上証反1,288999,902046,3.12,3.14,3.10,3.14,0.0300,27
1150707,00635U,期元大S&P黃金,2933519,126414969,43.27,43.27,42.98,43.00,-0.3500,2706
1150707,00636,國泰中國A50,350588,9871760,28.16,28.37,27.91,28.10,-0.1900,244
1150707,00636K,國泰中國A50+U,200,1766,8.83,8.83,8.83,8.83,-0.0600,2
1150707,00637L,元大滬深300正2,19370639,396180621,20.61,20.74,20.13,20.39,-0.2200,2405
1150707,00638R,元大滬深300反1,180216,1210707,6.71,6.78,6.68,6.74,0.0400,26
1150707,00639,富邦深100,1426814,25515313,18.00,18.05,17.63,17.79,-0.3100,408
1150707,00640L,富邦日本正2,128083,13841469,109.40,109.40,106.85,107.20,-1.3000,124
1150707,00641R,富邦日本反1,2957599,11080813,3.71,3.83,3.71,3.83,0.1100,152
1150707,00642U,期元大S&P石油,2949285,66512007,22.51,22.66,22.45,22.65,0.1700,542
1150707,00643,群益深証中小,2262598,45437637,20.20,20.27,19.88,20.02,-0.2900,179
1150707,00643K,群益深証中小+R,0,0,0.00,0.00,0.00,0.00,0.0000,0
1150707,00645,富邦日本,428765,24644625,57.80,58.00,57.20,57.30,-0.5500,343
1150707,00646,元大S&P500,2559271,194287018,75.75,76.05,75.75,75.90,0.2500,2568
1150707,00647L,元大S&P500正2,73870,9999646,135.30,135.80,135.25,135.35,0.6500,90
1150707,00648R,元大S&P500反1,1867513,7493482,4.01,4.02,4.00,4.02,0.0000,86
1150707,00650L,復華香港正2,6723922,100341322,14.85,15.15,14.69,14.77,-0.0400,964
1150707,00651R,復華香港反1,458497,2583010,5.61,5.66,5.58,5.66,0.0400,28
1150707,00652,富邦印度,312838,10539318,33.61,33.74,33.61,33.66,0.0100,294
1150707,00653L,富邦印度正2,233379,11276011,48.19,48.50,48.01,48.28,0.2100,118
1150707,00654R,富邦印度反1,48000,318450,6.52,6.67,6.52,6.63,-0.0300,10
1150707,00655L,國泰中國A50正2,993863,34037197,34.42,34.80,33.75,34.23,-0.3600,223
1150707,00656R,國泰中國A50反1,364000,2159210,5.93,5.98,5.90,5.98,0.0800,10
1150707,00657,國泰日經225,109437,8842340,80.85,80.90,79.70,79.70,-1.5000,85
1150707,00657K,國泰日經225+U,200,5002,25.01,25.01,25.01,25.01,-0.3100,2
